"taxon","lfc_Case_statusPD","se_Case_statusPD","W_Case_statusPD","p_Case_statusPD","q_Case_statusPD"
"PWY-5505: L-glutamate and L-glutamine biosynthesis",-0.48359435300486,0.043938278422372,-11.0062198695211,3.5665597418228e-28,1.26969526808892e-25
"PWY-6863: pyruvate fermentation to hexanol (engineered)",-0.669200123825151,0.0728173612715789,-9.19011774306555,3.92411596584629e-20,6.98492641920639e-18
"METH-ACETATE-PWY: methanogenesis from acetate",-0.691317782278173,0.0774873451571695,-8.92168625568415,4.59241654195908e-19,5.44966762979145e-17
"PWY-5121: superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP)",-0.330972599524427,0.0452104731631882,-7.32070638433209,2.4666902331605e-13,2.19535430751285e-11
"SALVADEHYPOX-PWY: adenosine nucleotides degradation II",-0.327022101827032,0.0455064675055777,-7.18627746236179,6.65816707560486e-13,4.74061495783066e-11
"PWY-6527: stachyose degradation",-0.415082750443339,0.0591624981835192,-7.01597740439853,2.28346958484597e-12,1.35485862034194e-10
"PWY66-422",-0.40257616589772,0.0576440575642874,-6.98382769895662,2.87244319140159e-12,1.46084253734138e-10
"PWY-7323: superpathway of GDP-mannose-derived O-antigen building blocks biosynthesis",-0.433043422426855,0.0635355331173588,-6.81576751118095,9.37618230252974e-12,4.17240112462573e-10
"PWY-6317: D-galactose degradation I (Leloir pathway)",-0.382961938064603,0.0567591046887777,-6.74714550492764,1.50782049595958e-11,5.96426773957346e-10
"PWY-6168: flavin biosynthesis III (fungi)",-0.361888376653633,0.0549545904193164,-6.58522561795731,4.54195145403949e-11,1.61693471763806e-09
"PWY-5667: CDP-diacylglycerol biosynthesis I",-0.34572957105746,0.0536098400100245,-6.44899464338659,1.1259454215042e-10,3.34030475046246e-09
"PWY0-1319: CDP-diacylglycerol biosynthesis II",-0.345753313320071,0.0536105293368084,-6.44935458756384,1.12327475821835e-10,3.34030475046246e-09
"FASYN-INITIAL-PWY: superpathway of fatty acid biosynthesis initiation (E. coli)",-0.338701824859179,0.0533488335152388,-6.34881407036633,2.16981083252875e-10,5.94194351061719e-09
"PWY-7357: thiamine phosphate formation from pyrithiamine and oxythiamine (yeast)",-0.342656689281994,0.0542334637278176,-6.31817821929447,2.64664693627902e-10,6.73004506653809e-09
