"taxon","lfc_(Intercept)","lfc_diagnosis2IBD","lfc_reads_filtered","se_(Intercept)","se_diagnosis2IBD","se_reads_filtered","W_(Intercept)","W_diagnosis2IBD","W_reads_filtered","p_(Intercept)","p_diagnosis2IBD","p_reads_filtered","q_(Intercept)","q_diagnosis2IBD","q_reads_filtered","diff_(Intercept)","diff_diagnosis2IBD","diff_reads_filtered"
"Bifidobacterium_adolescentis",1.86425809213424,-3.2353438081832,-0.310661370933144,0.472509413038277,0.63580033328725,0.27871333152677,3.94544117152481,-5.08861609344501,-1.11462687927903,7.96531868391615e-05,3.60685949648031e-07,0.265010346919135,0.000688431114824181,3.35715383903167e-06,0.525676261921563,TRUE,TRUE,FALSE
"Bacteroides_eggerthii",1.78768781230683,-3.10501964504261,0.0226544086413905,0.567880520304711,0.76065062414386,0.341294610717576,3.14799988446091,-4.08205757871746,0.0663778680646591,0.00164391758331039,4.46387334853286e-05,0.947076990061565,0.0073948691494439,0.000213612626214576,0.967303210090568,TRUE,TRUE,FALSE
"Bacteroides_fragilis",1.47322869624988,-2.56980387680427,0.614989109842337,0.586933766937585,0.78559718869455,0.353786403587261,2.51004249412446,-3.27114698701327,1.73830623112301,0.0120716633921954,0.00107112222573668,0.0821568690105954,0.0356261285476987,0.00316111681253995,0.314249422174176,TRUE,TRUE,FALSE
"Bacteroides_massiliensis",1.72799622600255,-3.00342335926211,0.511560009190305,0.627262594256871,0.83840711348506,0.380210986450179,2.75482109378727,-3.58229708569335,1.34546351215797,0.00587242365406718,0.000340586147611983,0.178475596869852,0.0203910688746046,0.00118431193182398,0.441763332054214,TRUE,TRUE,FALSE
"Bacteroides_nordii",0.923140362110482,-1.63354241920338,-0.0401256597329405,0.423572881431515,0.571725254392684,0.246613831214275,2.17941327827839,-2.85721578092368,-0.162706444871198,0.0293009806041612,0.00427375191049553,0.870749572342074,0.0695180128059512,0.0105535506361216,0.92460927867507,FALSE,TRUE,FALSE
"Bacteroides_thetaiotaomicron",1.23208364146754,-2.15937012194746,0.531040512734199,0.504053116499696,0.677092758027958,0.299417901866043,2.44435278968915,-3.18917917278669,1.7735763607474,0.0145112288150219,0.00142677414740417,0.0761332507235534,0.0408339229445964,0.00401487608920709,0.314249422174176,TRUE,TRUE,FALSE
"Bacteroidales_bacterium_ph8",2.1725225722163,-3.76001618084813,0.376468716483179,0.528821273784918,0.709515673975461,0.315672684403362,4.10823595780662,-5.29941242845351,1.19259199507466,3.98692667735373e-05,1.16175940578513e-07,0.233029202409866,0.000402015106633168,1.17144073416668e-06,0.494676026168313,TRUE,TRUE,FALSE
"Barnesiella_intestinihominis",2.63632855236973,-4.54942332888704,0.34286046853731,0.588508381148245,0.787658935397075,0.354818547859242,4.47967885729334,-5.77587979319194,0.966298043340521,7.47554268586533e-06,7.65520137954078e-09,0.333895064875914,0.000113067583123713,1.15784920865554e-07,0.555040027908724,TRUE,TRUE,FALSE
"Coprobacter_fastidiosus",0.948344664198701,-1.67644065053535,0.294852737870194,0.381880877926254,0.517087221092975,0.219357980603686,2.48335205823486,-3.2420848594785,1.34416234621937,0.0130152384451317,0.00118658684520458,0.178895894798814,0.037496282187165,0.0034185001968989,0.441763332054214,TRUE,TRUE,FALSE
"Odoribacter_laneus",1.48455120511556,-2.58907501563121,0.255949566102623,0.40416653590858,0.546302039749878,0.233909090708501,3.67311757213703,-4.73927393135235,1.09422667296667,0.000239609168871012,2.14485382347895e-06,0.27385557594048,0.00161070607963292,1.52663125082913e-05,0.525976582361875,TRUE,TRUE,FALSE
