"taxon","lfc_(Intercept)","lfc_diagnosis2IBD","lfc_reads_filtered","se_(Intercept)","se_diagnosis2IBD","se_reads_filtered","W_(Intercept)","W_diagnosis2IBD","W_reads_filtered","p_(Intercept)","p_diagnosis2IBD","p_reads_filtered","q_(Intercept)","q_diagnosis2IBD","q_reads_filtered","diff_(Intercept)","diff_diagnosis2IBD","diff_reads_filtered"
"Propionibacteriaceae_unclassified",-0.39056851702129,1.38623990917166,-0.414507303110284,0.518690107436022,0.610494299407473,0.26679597911819,-0.752990102224892,2.27068444458384,-1.55364898856537,0.451455861799467,0.0231660873562257,0.120268167131619,0.609374643488634,0.0463321747124514,0.439162743315889,FALSE,TRUE,FALSE
"Eggerthella",-1.0594775031449,2.52473651686689,-0.504094392148632,0.480165891199733,0.559364449790796,0.24126957582653,-2.20648222325353,4.51358057847821,-2.08934089771464,0.0273502535710874,6.37422156061573e-06,0.0366770473553647,0.114096185576707,4.14324401440022e-05,0.272458066068424,FALSE,TRUE,FALSE
"Bacteroides",-0.520333335802219,1.60710225224829,0.0484520790881167,0.44455118695383,0.512352997631592,0.217948280686737,-1.17046889328463,3.13670898711883,0.222309985357298,0.241812325241175,0.00170855621340061,0.824072579395149,0.449080032590754,0.00492062010108219,0.913460163025862,FALSE,TRUE,FALSE
"Paraprevotella",-0.456164875000359,1.49788623563098,-0.576392023598957,0.480685493710866,0.560052629505562,0.24161234857007,-0.948988228204665,2.67454549218593,-2.38560664225239,0.342626599255676,0.00748306229323484,0.0170509779778258,0.539896459433187,0.0169182277934005,0.14777514247449,FALSE,TRUE,FALSE
"Clostridiaceae_noname",-1.05106211607054,2.51041335805851,-0.213566252682253,0.438539368115533,0.504458643215333,0.214057739272358,-2.39673377691747,4.97645028353081,-0.997703953186761,0.0165419375353676,6.47608998598894e-07,0.31842293571241,0.0860180751839114,4.8108097038775e-06,0.636845871424821,FALSE,TRUE,FALSE
"Clostridium",-2.50332452612277,4.98219331860196,-0.443038802231291,0.547350748529675,0.648621564817486,0.285875796234303,-4.57352900831386,7.6812020889313,-1.54975974904912,4.79577245407389e-06,1.57602626555795e-14,0.121199191294781,0.000249380167611842,8.19533658090136e-13,0.439162743315889,TRUE,TRUE,FALSE
"Clostridiales_noname",-1.69292211905171,3.60287205000122,-0.311597204276675,0.526124629373943,0.620379573708313,0.271740600552623,-3.21772071584292,5.80752849173464,-1.14667150820671,0.00129213567882061,6.34017651311594e-09,0.251517410216735,0.0134382110597343,6.59378357364058e-08,0.567178817289163,TRUE,TRUE,FALSE
"Flavonifractor",-2.32899210520513,4.68547601633304,-0.396005613584744,0.558724005492743,0.663762102138001,0.293456893674407,-4.16841245822466,7.05896887038437,-1.3494507102093,3.06728521505731e-05,1.67742641608758e-12,0.177192242058205,0.000797494155914901,4.3613086818277e-11,0.484947188790877,TRUE,TRUE,FALSE
"Pseudoflavonifractor",-0.802358187117441,2.08711424665854,0.0194652666844187,0.489226942381646,0.571372079377186,0.247254321929205,-1.64005314836386,3.65281105253439,0.0787256883218084,0.100994116705565,0.000259385097660865,0.937250812562667,0.262584703434468,0.000963430362740355,0.961342667722943,FALSE,TRUE,FALSE
"Anaerostipes",-0.815840093586594,2.11006072383078,-0.254555788302166,0.541537419256513,0.640884487923156,0.282002407965252,-1.50652579965144,3.29241971617791,-0.902672392547556,0.131932249223398,0.000993292527620952,0.366699792801829,0.298281606939855,0.00303830655507585,0.706236637988708,FALSE,TRUE,FALSE
"Blautia",-0.695782577462736,1.90572040598361,0.0980222430397098,0.439723790443593,0.506012724093329,0.214822839605573,-1.5823173378016,3.76615115637314,0.456293396082485,0.113577144697613,0.000165783445970675,0.648179012158512,0.281238644013137,0.000663133783882701,0.817677530033689,FALSE,TRUE,FALSE
"Lachnospiraceae_noname",-0.789348945532905,2.0649722546687,0.0897006074376131,0.423136980203353,0.484313488542732,0.204181958705411,-1.86546906194197,4.26370998024867,0.439317009232098,0.0621156848474009,2.0106037739443e-05,0.660431851181057,0.199452713373798,0.000104551396245104,0.817677530033689,FALSE,TRUE,FALSE
"Oscillibacter",-0.80818880698278,2.09703807945965,0.221370477938925,0.521739842880097,0.614548860226708,0.268823831176447,-1.54902643149014,3.4123211597627,0.823477877575611,0.121375366334492,0.000644121767240108,0.410236292465447,0.286887229517891,0.00223295545976571,0.718217300824574,FALSE,TRUE,FALSE
"Ruminococcaceae_noname",-0.915765084639312,2.2801350772892,-0.0502244637937135,0.499269267105311,0.584695036183615,0.253903002617482,-1.83421080562155,3.89969973436401,-0.19780964886571,0.0666227080534855,9.63120567352155e-05,0.843193996639257,0.199452713373798,0.0004173522458526,0.913460163025862,FALSE,TRUE,FALSE
"Coprobacillus",-1.65176919678874,3.53282894493746,-0.401946668456088,0.460254028592833,0.533036756103208,0.228182152485827,-3.58882072545635,6.6277398406151,-1.76151668339203,0.00033217716003445,3.40865527696148e-11,0.0781509917934279,0.00575773744059713,5.90833581339989e-10,0.439162743315889,TRUE,TRUE,FALSE
"Holdemania",-0.706869421457082,1.92459043843863,-0.346971002260258,0.553427737653604,0.656710967130661,0.289926102177403,-1.27725694496997,2.93065067399082,-1.19675668956481,0.20151154865252,0.00338252912470133,0.231401403915029,0.388096315923372,0.00879457572422346,0.54694877289007,FALSE,TRUE,FALSE
"Acidaminococcaceae_unclassified",-0.888953807225222,2.23450174148845,-0.595367486368262,0.488933351273439,0.570982799621166,0.247060178562329,-1.81814925267405,3.9134309176581,-2.40980756118923,0.0690413238601607,9.09939411040338e-05,0.0159609368086261,0.199452713373798,0.0004173522458526,0.14777514247449,FALSE,TRUE,FALSE
"Acidaminococcus",-2.13359474146502,4.35290575582589,-0.555577912415689,0.619968880716449,0.745327904793308,0.334301882768468,-3.44145457591258,5.84025598375124,-1.66190482630477,0.000578595608558941,5.21206745646014e-09,0.0965318588456545,0.00752174291126623,6.59378357364058e-08,0.439162743315889,TRUE,TRUE,FALSE
"Dialister",-0.891025175087755,2.2380272514363,-0.859569712949144,0.643107966023639,0.776142290147382,0.349725365033074,-1.38549858213855,2.88352700251821,-2.45784206378011,0.165900065755323,0.00393248930620763,0.013977462861263,0.359450142469865,0.0092949747237635,0.14777514247449,FALSE,TRUE,FALSE
"Burkholderiales_noname",-1.366925040244,3.04801843607092,-0.19635988367262,0.592302180848115,0.708478981815052,0.315851057384825,-2.30781699686925,4.30220022655041,-0.621685060352291,0.0210093171632159,1.6911038387771e-05,0.534148977089447,0.0993167720442932,9.77082217960105e-05,0.793592765961464,FALSE,TRUE,FALSE
"Parasutterella",-0.539709644570303,1.64008112121215,-0.58078653884361,0.564233837533254,0.671098379450178,0.297130709729938,-0.956535409024444,2.44387584806246,-1.95464999013898,0.338801803842505,0.0145304258415769,0.0506243965914686,0.539896459433187,0.03022328575048,0.329058577844546,FALSE,TRUE,FALSE
"Escherichia",-1.92606248868999,3.99968166903201,-0.527734943194419,0.636812651061154,0.767759431926107,0.345530134473067,-3.02453552937507,5.20955067787036,-1.52731958964799,0.00249015221541059,1.89298498999978e-07,0.126681560571891,0.018498273600193,1.64058699133314e-06,0.439162743315889,TRUE,TRUE,FALSE
"Klebsiella",-0.691408837546561,1.8982762122879,-0.737756737752905,0.516877425332248,0.60808473298935,0.265591030977386,-1.33766499301479,3.12172976775121,-2.77779236383823,0.181005667487284,0.00179791888308772,0.00547295790344302,0.362011334974568,0.00492062010108219,0.094864603659679,FALSE,TRUE,FALSE
