"taxon","lfc_(Intercept)","lfc_diagnosis2IBD","lfc_reads_filtered","se_(Intercept)","se_diagnosis2IBD","se_reads_filtered","W_(Intercept)","W_diagnosis2IBD","W_reads_filtered","p_(Intercept)","p_diagnosis2IBD","p_reads_filtered","q_(Intercept)","q_diagnosis2IBD","q_reads_filtered","diff_(Intercept)","diff_diagnosis2IBD","diff_reads_filtered"
"ANAEROFRUCAT-PWY: homolactic fermentation",-0.126518241580762,0.237777015547742,0.0462803963762283,0.0784526157793782,0.10631361427666,0.0475929496200472,-1.61267078635788,2.23656224243279,0.972421267135206,0.10681605063809,0.025314964998849,0.330841016019593,0.185822005252062,0.0459419735164297,0.555812906912917,FALSE,TRUE,FALSE
"AST-PWY: L-arginine degradation II (AST pathway)",-0.489478030828976,0.858924696116851,-0.423362089673958,0.13452806574485,0.179978003217381,0.0842491954022476,-3.63848263274173,4.77238707376603,-5.02511730411924,0.000274249118356042,1.82055188951142e-06,5.03124911270639e-07,0.00212182212622833,1.57424192798928e-05,3.23155784701256e-05,TRUE,TRUE,TRUE
"BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I",-0.49219484025052,0.863574081312482,-0.0307419544913171,0.163285031774878,0.217753848681331,0.103045600445191,-3.01432920642177,3.96582694883279,-0.298333498553084,0.00257548175271131,7.31419163840036e-05,0.765448639539221,0.00883786178018093,0.00026268585678908,0.878463806714263,TRUE,TRUE,FALSE
"CITRULBIO-PWY: L-citrulline biosynthesis",-0.260555839252282,0.467160945583538,0.128494760945609,0.131511089058142,0.176015989572391,0.0822757497482461,-1.9812461528403,2.65408243147936,1.56175739921893,0.0475636757618006,0.00795243973563597,0.118345151087034,0.0977882564613243,0.0169421542193984,0.254690841808408,FALSE,TRUE,FALSE
"COLANSYN-PWY: colanic acid building blocks biosynthesis",-0.276008010348288,0.493604867252993,-0.0123236848579039,0.113247445272458,0.15203522206613,0.0703241437305101,-2.43721180362391,3.24664811577867,-0.175241164757435,0.014801007136174,0.0011677266862005,0.860890139960837,0.0368770855765692,0.00298531865863432,0.917035149088718,TRUE,TRUE,FALSE
"ENTBACSYN-PWY: enterobactin biosynthesis",-0.6308568674167,1.10087198347316,-0.483034646444405,0.178523360276328,0.237779027549855,0.112996348232174,-3.53374968093938,4.62981110999096,-4.27478103497568,0.000409708907604049,3.65999447359853e-06,1.91325233586872e-05,0.00263659032039749,2.75907275702043e-05,0.000220558391133894,TRUE,TRUE,TRUE
"FASYN-ELONG-PWY: fatty acid elongation -- saturated",-0.528851626019716,0.926306312628837,-0.0282945324344655,0.165134205989531,0.220183640208098,0.104253448811467,-3.20255650760355,4.20697156134478,-0.271401404529396,0.00136213573573782,2.58815696574855e-05,0.786082321911457,0.00645915977914387,0.000128969177615267,0.894540465355445,TRUE,TRUE,FALSE
"FASYN-INITIAL-PWY: superpathway of fatty acid biosynthesis initiation (E. coli)",-0.506902898767337,0.888744573207242,-0.0440222251103399,0.160277385505114,0.213802005295636,0.101080857049994,-3.16266014179002,4.15685798633331,-0.435514956987024,0.00156334724015775,3.22654416250729e-05,0.66318868478057,0.00686006102397578,0.000148845846950264,0.824832426621463,TRUE,TRUE,FALSE
"GALACTARDEG-PWY: D-galactarate degradation I",-0.463441262027184,0.814366926827186,-0.422439820626422,0.132349285237978,0.177116720944626,0.0828240527598554,-3.50165292690373,4.59791104128328,-5.1004485599282,0.000462381527002443,4.26748122997873e-06,3.38849466487352e-07,0.00277428916201466,3.06009629661889e-05,3.23155784701256e-05,TRUE,TRUE,TRUE
"GLUCARDEG-PWY: D-glucarate degradation I",-0.499410241493083,0.875922087562641,-0.400813029454095,0.13954768901453,0.186570451053043,0.0875319836401397,-3.57877830166778,4.69485967696788,-4.57904657001619,0.000345204141646889,2.66789799560283e-06,4.6710020127956e-06,0.00247987771864126,2.17878336307564e-05,7.22776100927319e-05,TRUE,TRUE,TRUE
"GLUCARGALACTSUPER-PWY: superpathway of D-glucarate and D-galactarate degradation",-0.463441262027184,0.814366926827186,-0.422439820626422,0.132349285237978,0.177116720944626,0.0828240527598554,-3.50165292690373,4.59791104128328,-5.1004485599282,0.000462381527002443,4.26748122997873e-06,3.38849466487352e-07,0.00277428916201466,3.06009629661889e-05,3.23155784701256e-05,TRUE,TRUE,TRUE
"GLUCOSE1PMETAB-PWY: glucose and glucose-1-phosphate degradation",-0.481673507055717,0.845568500793542,-0.412399266062413,0.17768878309198,0.236682157180333,0.112451513597015,-2.71077047562637,3.57259081490154,-3.66735184677284,0.00671270751893955,0.000353466843918111,0.00024507546223388,0.0184641033821762,0.00100892477778568,0.00147045277340328,TRUE,TRUE,TRUE
"GLYCOCAT-PWY: glycogen degradation I (bacterial)",-0.478001597959291,0.839284615123369,0.00054320439042125,0.167739491686256,0.223607081931684,0.105955019523806,-2.84966642711281,3.7533901335906,0.00512674522512077,0.00437651022719362,0.000174459014251624,0.995909467056646,0.0129537872338488,0.000539904738841869,0.995909467056646,TRUE,TRUE,FALSE
"GLYCOL-GLYOXDEG-PWY: superpathway of glycol metabolism and degradation",-0.540767415443493,0.946698282158188,-0.464449556677866,0.147511930895437,0.197031434846108,0.0927389266852051,-3.66592323862138,4.80480834389502,-5.00814030611334,0.000246447847367367,1.54899812133633e-06,5.49584667859279e-07,0.00205836515165845,1.46904983120284e-05,3.23155784701256e-05,TRUE,TRUE,TRUE
"GLYCOLYSIS-TCA-GLYOX-BYPASS: superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass",-0.490763109352015,0.861123902661433,-0.411703968880769,0.185362288499942,0.246767825859472,0.117460374217409,-2.64758874808653,3.48961174197734,-3.50504560898761,0.00810680779893094,0.000483722777576478,0.00045652906709311,0.0212803704721937,0.00134164619441023,0.00239836176759041,TRUE,TRUE,TRUE
"GLYCOLYSIS: glycolysis I (from glucose 6-phosphate)",-0.253741482257528,0.455499262479115,0.0106011284921859,0.0908684486386886,0.122647120710352,0.0556819137322101,-2.79240469116465,3.71390098553425,0.190387287031292,0.00523178776726501,0.000204088672153689,0.849005658960697,0.0148511897454291,0.000606081511244288,0.914517762452653,TRUE,TRUE,FALSE
"GLYOXYLATE-BYPASS: glyoxylate cycle",-0.430184472421513,0.757453245646346,-0.465390023221478,0.173628540149284,0.231346051463944,0.109800635796561,-2.47761383037399,3.27411356646559,-4.23850025863014,0.0132264211386534,0.00105994003262446,2.25017923818214e-05,0.0334549000105098,0.00278234258563921,0.000245019517046499,TRUE,TRUE,TRUE
"HEME-BIOSYNTHESIS-II: heme biosynthesis I (aerobic)",-0.309028753764201,0.550114593098781,-0.258668116668005,0.157048417794513,0.209559593375086,0.0989712518373935,-1.96772917616109,2.62509859004233,-2.61356820153177,0.0490992069501899,0.00866238809545406,0.00896021983750012,0.099848110185824,0.0181910150004535,0.0309918192026475,FALSE,TRUE,TRUE
"KDO-NAGLIPASYN-PWY: superpathway of (Kdo)2-lipid A biosynthesis",-0.517831801918322,0.90744764457903,-0.456164620432825,0.14007986953417,0.187269418311851,0.0878799792384058,-3.69668963599375,4.84567983795358,-5.19076841376254,0.000218429110289742,1.26178855494898e-06,2.09427977400744e-07,0.00194600480076315,1.26397024798206e-05,3.23155784701256e-05,TRUE,TRUE,TRUE
"KETOGLUCONMET-PWY: ketogluconate metabolism",-0.436713067835252,0.768625893467797,-0.318798098578654,0.144355202939834,0.192884904752118,0.0906753233230654,-3.02526725009884,3.98489396801465,-3.51581981618984,0.00248413518688762,6.75102641666343e-05,0.000438398399724409,0.00883786178018093,0.000254461764935775,0.00238683573183289,TRUE,TRUE,TRUE
"METHGLYUT-PWY: superpathway of methylglyoxal degradation",-0.267222322175608,0.478569565844075,-0.402919607625513,0.146646127349117,0.195894131417862,0.0921729675562552,-1.82222556439855,2.44300103520324,-4.37134246957604,0.0684207671360949,0.0145656955009017,1.23484927750718e-05,0.127314592012734,0.0285487631817672,0.000157845951124831,FALSE,TRUE,TRUE
"NAD-BIOSYNTHESIS-II: NAD salvage pathway II",-0.500040736473427,0.877001078972302,-0.347070186890408,0.188403654045091,0.250765552379417,0.119445250159033,-2.65409255997631,3.49729486626364,-2.90568428990108,0.00795220103107518,0.000470002021032017,0.00366450983486055,0.0210625865147397,0.00131600565888965,0.0149445779804202,TRUE,TRUE,TRUE
"P105-PWY: TCA cycle IV (2-oxoglutarate decarboxylase)",-0.511720855877109,0.896989736920873,-0.402997108827826,0.179197007041431,0.23866439997511,0.113436111027229,-2.85563282738755,3.75837258097319,-3.55263509281531,0.00429511526824596,0.000171022092225623,0.000381393127721245,0.0128853458047379,0.000534898884195034,0.00215633806827011,TRUE,TRUE,TRUE
"PHOSLIPSYN-PWY: superpathway of phospholipid biosynthesis I (bacteria)",-0.237716607653417,0.428075250270018,0.0294473424398722,0.134119850536091,0.179441906360629,0.0839821923423463,-1.77241927054972,2.38559241234154,0.350637934287695,0.0763249852656614,0.0170516376661721,0.725859993758156,0.141129218038393,0.0327658919859777,0.853611352659592,FALSE,TRUE,FALSE
"POLYISOPRENSYN-PWY: polyisoprenoid biosynthesis (E. coli)",-0.512716985762854,0.89869445404493,-0.447945149966861,0.153244178837305,0.204561671392589,0.0964854137403856,-3.34575179072342,4.39326902213357,-4.64262039827234,0.00082059816590761,1.11658813177986e-05,3.44018050139359e-06,0.00455199737314787,6.83910230715162e-05,7.22776100927319e-05,TRUE,TRUE,TRUE
"PWY-2723: trehalose degradation V",-0.469076588006764,0.824010886751003,-0.419511385452528,0.143100419881034,0.191236748660009,0.0898549663716712,-3.27795395986069,4.30885220819131,-4.668761253744,0.00104562448624072,1.6410397858941e-05,3.03021266794485e-06,0.00539322103429422,9.103126359488e-05,7.22776100927319e-05,TRUE,TRUE,TRUE
"PWY-4041: &gamma;-glutamyl cycle",-0.551671677407305,0.96535918407564,-0.410266535623122,0.173940168692325,0.231755592012195,0.110004108247001,-3.17161746797621,4.16541916289487,-3.72955648803512,0.00151592545253618,3.10781031089293e-05,0.000191817101973967,0.00685664743147135,0.000147370359903632,0.0011998771910712,TRUE,TRUE,TRUE
"PWY-4984: urea cycle",-0.294637904405421,0.525486953989941,0.130991969343753,0.130559949302942,0.17476695839729,0.0816535398640957,-2.25672502155897,3.00678663065917,1.60424115796788,0.0240252623503584,0.00264025011749906,0.108660905720829,0.0555408015126672,0.00631084174426606,0.238405270760624,FALSE,TRUE,FALSE
"PWY-5083: NAD/NADH phosphorylation and dephosphorylation",-0.383505339998161,0.677569369540403,-0.430947311085016,0.176275464613727,0.234824689071198,0.111528822748314,-2.17560249146719,2.88542645247565,-3.86399946189276,0.0295849968885444,0.00390883780995996,0.000111545466861548,0.0658938567063034,0.00919358652902583,0.000799862616031585,FALSE,TRUE,TRUE
"PWY-5173: superpathway of acetyl-CoA biosynthesis",-0.355903121861738,0.63033258386364,-0.38318067785372,0.131309509067386,0.175751274197911,0.0821438838062396,-2.71041392500443,3.58650363555164,-4.66474994970489,0.00671992878194847,0.000335141394083387,3.08992541990154e-06,0.0184641033821762,0.000965995782946234,7.22776100927319e-05,TRUE,TRUE,TRUE
"PWY-5189: tetrapyrrole biosynthesis II (from glycine)",-0.575205323532078,1.00563325888711,-0.245594201722906,0.176294491961297,0.234849695686727,0.11154124515262,-3.26275266534337,4.28202921850301,-2.20182410001667,0.00110335769023286,1.85196656657621e-05,0.0276777360200667,0.00559288208497345,0.000100577538875095,0.0821944887868647,TRUE,TRUE,FALSE
"PWY-5484: glycolysis II (from fructose 6-phosphate)",-0.270191053643475,0.483650075366404,0.0121512889594643,0.0895096233202504,0.120861458465485,0.0547942884687214,-3.01856988803066,4.00168988118344,0.221761962771006,0.00253970815695418,6.28916947962439e-05,0.824499191487081,0.00883786178018093,0.00024329155618547,0.911288580064668,TRUE,TRUE,FALSE
"PWY-5505: L-glutamate and L-glutamine biosynthesis",-0.40468845609809,0.713820887814508,-0.364054328630649,0.15524536719294,0.207190743796211,0.0977931210346741,-2.60676671655613,3.44523541320267,-3.72269874178131,0.00914016083686035,0.000570562243449722,0.000197104649458218,0.0237805954516544,0.00154014933450301,0.00120726597793159,TRUE,TRUE,TRUE
"PWY-561: superpathway of glyoxylate cycle and fatty acid degradation",-0.31425499207859,0.559058464853304,-0.356803191886445,0.138524711764609,0.185226889555859,0.0868630288636544,-2.26858434192301,3.01823599259171,-4.10765312416754,0.0232936146970346,0.00254250826615557,3.99699784521743e-05,0.0547865817674253,0.00612702811680113,0.000379070118223847,FALSE,TRUE,TRUE
"PWY-5705: allantoin degradation to glyoxylate III",-0.429255553688839,0.755863549670842,-0.374069219119345,0.130127662387814,0.174199288454087,0.0813707406737221,-3.29872638770337,4.33907369185416,-4.59709738441827,0.000971245287198647,1.43084540959532e-05,4.2841740839779e-06,0.00519174753520731,8.41337100842047e-05,7.22776100927319e-05,TRUE,TRUE,TRUE
