"taxon","lfc_(Intercept)","lfc_diagnosis2IBD","lfc_reads_filtered","se_(Intercept)","se_diagnosis2IBD","se_reads_filtered","W_(Intercept)","W_diagnosis2IBD","W_reads_filtered","p_(Intercept)","p_diagnosis2IBD","p_reads_filtered","q_(Intercept)","q_diagnosis2IBD","q_reads_filtered","diff_(Intercept)","diff_diagnosis2IBD","diff_reads_filtered"
"Bacteroides_stercoris",-1.29445054489277,2.14084210433246,-0.650500385375326,0.615829755399193,0.823434985345194,0.372722118825801,-2.10196167616759,2.59989208915503,-1.74526906915162,0.0355566330430481,0.00932530795808749,0.0809380433759036,0.0754798701440144,0.0201493261237248,0.314249422174176,FALSE,TRUE,FALSE
"Parabacteroides_distasonis",-1.13433698856531,1.86832559684582,-0.212908844653978,0.56224452661394,0.753271750416232,0.337598622018083,-2.01751539565309,2.48028098201405,-0.630656734856499,0.0436417560265095,0.013127888639781,0.528264993880925,0.0895025843933501,0.0264745754235584,0.694783307169477,FALSE,TRUE,FALSE
"Parabacteroides_unclassified",-1.19687172797165,1.97476098664349,0.482035325475426,0.591224961339138,0.791215967915446,0.356599161951359,-2.02439309270825,2.4958558304204,1.35175675354273,0.0429297218989443,0.0125653659213963,0.176453142891802,0.0895025843933501,0.0257696487540501,0.441763332054214,FALSE,TRUE,FALSE
"Clostridium_asparagiforme",-0.993617611633455,1.62881837449211,-0.00133882865123755,0.441764653542777,0.595548553869806,0.25853988285621,-2.24920125153752,2.73498837988647,-0.00517842213142085,0.0244996948904105,0.00623824782117509,0.995868235398299,0.0623419858219151,0.0139002836771958,0.995868235398299,FALSE,TRUE,FALSE
"Clostridium_bolteae",-2.42370585699998,4.06285745877756,-0.481224674768957,0.486425239134286,0.654017157709434,0.287847314656701,-4.98268934669913,6.2121572972289,-1.67180532965154,6.27065796950136e-07,5.22620712291449e-10,0.0945627155279338,1.51749922861933e-05,1.26474212374531e-08,0.341215816522703,TRUE,TRUE,FALSE
"Clostridium_clostridioforme",-1.98830392769357,3.32179457909948,-0.357650525349366,0.494194492505924,0.664187452629882,0.292946974037116,-4.02332271574179,5.00129077408294,-1.22087120553105,5.73827823563217e-05,5.69477465281609e-07,0.222134788292805,0.000534101281931918,4.92191237850533e-06,0.494676026168313,TRUE,TRUE,FALSE
"Clostridium_hathewayi",-1.47793181161524,2.45313092698636,-0.383202988446751,0.4708529806512,0.63363188897195,0.27762615146824,-3.1388392393125,3.87153956371497,-1.3802841930422,0.00169618474631579,0.000108150098763001,0.167499159923609,0.0073948691494439,0.000451246963804247,0.441763332054214,TRUE,TRUE,FALSE
"Clostridium_symbiosum",-0.99401275883366,1.62949092300963,-0.243126350641218,0.442652346576956,0.59671089219019,0.259122105273811,-2.24558339410237,2.73078796505404,-0.938269432414148,0.0247307051194374,0.0063183107623617,0.348105964453851,0.0623419858219151,0.0139002836771958,0.559721511004253,FALSE,TRUE,FALSE
"Clostridiales_bacterium_1_7_47FAA",-0.852820870251464,1.38917947628135,-0.14122694813024,0.444690374186085,0.599379425723784,0.260458888126433,-1.91778576680995,2.31769629830693,-0.542223569892861,0.0551381812507258,0.0204658323515936,0.587664500102783,0.10760838598932,0.0393073922943306,0.748498994867756,FALSE,TRUE,FALSE
"Flavonifractor_plautii",-1.48889085640488,2.47178344261318,-0.225635357438309,0.47800468648604,0.642994129576555,0.282320203119128,-3.11480388895385,3.84417730880525,-0.799217891406445,0.00184067243602057,0.000120957530546381,0.424164079417969,0.00742404549194963,0.000487862039870404,0.609856056978069,TRUE,TRUE,FALSE
"Ruminococcus_gnavus",-1.77052854119261,2.95113647177209,-0.113965100738856,0.480678466633414,0.646494298308454,0.284075209558789,-3.68339475157495,4.56482985154503,-0.401179324714258,0.000230148333178917,4.99899621587944e-06,0.688288101669494,0.00161070607963292,3.02439271060706e-05,0.800796733673161,TRUE,TRUE,FALSE
"Coprobacillus_unclassified",-0.811667947988487,1.31913637121759,-0.231576412309653,0.377713643390664,0.511620981505736,0.216643760687053,-2.14889761646494,2.57834689917385,-1.0689272175448,0.0316425168113026,0.00992742807027999,0.285102466569015,0.0736297025801464,0.0210740139737523,0.530960019909082,FALSE,TRUE,FALSE
"Escherichia_coli",-1.12811911044097,1.85774264266449,-0.460558785691564,0.576947094428457,0.772521308427469,0.347239474525077,-1.95532505724553,2.40477851212425,-1.32634340125493,0.0505447154694215,0.0161822701751507,0.184725977008474,0.101931842863333,0.0315815272773103,0.447036864360508,FALSE,TRUE,FALSE
