"taxon","lfc_(Intercept)","lfc_Case_statusPD","lfc_total_sequences","lfc_collection_methodswab","se_(Intercept)","se_Case_statusPD","se_total_sequences","se_collection_methodswab","W_(Intercept)","W_Case_statusPD","W_total_sequences","W_collection_methodswab","p_(Intercept)","p_Case_statusPD","p_total_sequences","p_collection_methodswab","q_(Intercept)","q_Case_statusPD","q_total_sequences","q_collection_methodswab","diff_(Intercept)","diff_Case_statusPD","diff_total_sequences","diff_collection_methodswab"
"Actinomyces_graevenitzii",0.150673337003982,0.122917865912538,-0.127281460241406,-2.02403570483579,0.297508150821426,0.367829357547493,0.16584023103419,2.56291921831425,0.506451122727123,0.334170895798244,-0.767494470115431,-0.789738392990433,0.61253999369907,0.738250604622554,0.442787579778686,0.429680564585243,0.859318696196537,0.866019894013358,0.779103199183644,0.99099372334903,FALSE,FALSE,FALSE,FALSE
"Actinomyces_naeslundii",-0.180143929552715,0.605571293453891,-0.309411696270312,-1.28658881543785,0.26117109721262,0.323705514776484,0.145224235677104,2.24188798472302,-0.689754461635772,1.87074753382572,-2.13057892732359,-0.573886306633116,0.490348610497452,0.0613800828924136,0.0331238471304305,0.566044739922646,0.81197917486987,0.202866375661367,0.280832616975389,0.99099372334903,FALSE,FALSE,FALSE,FALSE
"Actinomyces_odontolyticus",0.41337399301989,-0.253482211827903,0.0906501626462446,-3.71378628845551,0.323803757898317,0.399728519160709,0.180773652671137,2.79555929020328,1.27661888701644,-0.63413591894851,0.501456718425418,-1.32845913927494,0.20173683056288,0.525992123318525,0.616049731173312,0.184026473577091,0.587144506862114,0.719009453907887,0.853563174532368,0.99099372334903,FALSE,FALSE,FALSE,FALSE
"Actinomyces_oris",-1.17451038638573,2.07388673645195,0.0927916427060307,-1.69933477594326,0.335294988126728,0.413665130468991,0.18730111327246,2.897257348364,-3.50291661962395,5.01344344421945,0.495414261478788,-0.586532217064815,0.000460193492781957,5.34644870922392e-07,0.620307729798772,0.557517918045022,0.0299125770308272,0.000104255749829867,0.853563174532368,0.99099372334903,TRUE,TRUE,FALSE,FALSE
"Actinomyces_sp_HMSC035G02",0.26820059660099,-0.0510911303708765,-0.0305286843244407,-1.86310395073784,0.284701448193271,0.352286571648026,0.158570436629214,2.44968829277474,0.94204156074022,-0.145027186622152,-0.192524438813435,-0.760547354629972,0.346171362136643,0.88468940688687,0.847331426563486,0.446927474543341,0.690285112266416,0.927496958833008,0.956251818025619,0.99099372334903,FALSE,FALSE,FALSE,FALSE
"Actinomyces_sp_HPA0247",-0.443429199832841,0.983120936673697,-0.111631253861779,0.460746325524987,0.295877017869422,0.365850077901407,0.164914154800599,2.54849404638902,-1.49869429882025,2.68722352695149,-0.676905229855827,0.180791603644443,0.13395295642592,0.00720487198671095,0.498466085675282,0.856531153831208,0.503025478567272,0.0792698157820273,0.779103199183644,0.999792517773655,FALSE,FALSE,FALSE,FALSE
"Actinomyces_sp_ICM47",0.737359920585625,-0.739052415246815,0.00304737411187371,-2.398652419124,0.319520442066413,0.394533308502525,0.178340737713468,2.7576555302,2.30770812601832,-1.87323199162051,0.017087369666317,-0.869815824658142,0.0210153758129276,0.0610363564281403,0.986366914989018,0.384401062043872,0.177893207003563,0.202866375661367,0.992915613903353,0.99099372334903,FALSE,FALSE,FALSE,FALSE
"Bifidobacterium_adolescentis",-0.384411239081755,0.875970616725525,-0.175734938624562,3.74217214848714,0.437986986120396,0.538200289529597,0.24563793993374,3.80616878865444,-0.877677308375748,1.62759224357005,-0.715422620267724,0.983186074049561,0.38011886218321,0.103611374884838,0.47434793920061,0.325515867402642,0.705935029768818,0.280614140313104,0.779103199183644,0.99099372334903,FALSE,FALSE,FALSE,FALSE
"Bifidobacterium_bifidum",-0.520179061056143,1.09922948949019,-0.0203574217292502,-0.00954044412757157,0.399788141226539,0.491873922420563,0.223939362978394,3.46810529901697,-1.30113679575449,2.23477895327479,-0.0909059553376256,-0.00275090959039675,0.193211634836034,0.0254318642480385,0.927567318113842,0.997805094477984,0.570852557470099,0.125441004031658,0.977015062277539,0.999792517773655,FALSE,FALSE,FALSE,FALSE
"Bifidobacterium_breve",-0.226566479950233,0.659414504789827,0.0336064580772608,1.17773052984412,0.323325795750732,0.399148813560091,0.180502165676211,2.79132960468655,-0.700737407679356,1.65205177214075,0.186183129445355,0.421924565220371,0.483466906426714,0.0985239972579723,0.85230115340037,0.673080078963131,0.81197917486987,0.274459706647208,0.956251818025619,0.99099372334903,FALSE,FALSE,FALSE,FALSE
