"taxon","lfc_diagnosis2IBD","se_diagnosis2IBD","W_diagnosis2IBD","p_diagnosis2IBD","q_diagnosis2IBD"
"PWY-7323: superpathway of GDP-mannose-derived O-antigen building blocks biosynthesis",1.00441758010401,0.178255320973754,5.63471303194312,1.75350079600328e-08,7.3647033432138e-07
"PWY-7315: dTDP-N-acetylthomosamine biosynthesis",1.2299205640907,0.220163123727364,5.58640585792992,2.31817120614344e-08,8.51927918257713e-07
"AST-PWY: L-arginine degradation II (AST pathway)",0.937668758660209,0.176396105488656,5.31569989066743,1.06248140260853e-07,2.83972302151734e-06
"GLYCOL-GLYOXDEG-PWY: superpathway of glycol metabolism and degradation",1.0279085266623,0.19300872033528,5.32571028333172,1.00559303802351e-07,2.83972302151734e-06
"PWY0-1338: polymyxin resistance",0.972348813604128,0.182181458419275,5.33725452656302,9.43645296356906e-08,2.83972302151734e-06
"KDO-NAGLIPASYN-PWY: superpathway of (Kdo)2-lipid A biosynthesis",0.978400726192971,0.186735921621702,5.23948856597103,1.61022222331688e-07,3.50463665223911e-06
"PWY0-1533: methylphosphonate degradation I",1.00886360609548,0.19326447627181,5.22011921464866,1.78807992461179e-07,3.50463665223911e-06
"PWY-7269: NAD/NADP-NADH/NADPH mitochondrial interconversion (yeast)",1.09255164872511,0.21193488757225,5.15512882867221,2.53456615242972e-07,4.38330852243728e-06
"ENTBACSYN-PWY: enterobactin biosynthesis",1.19044698209207,0.232018672636116,5.13082403483575,2.88476493305889e-07,4.58012503900479e-06
"GLUCARDEG-PWY: D-glucarate degradation I",0.938311411245262,0.188685049843104,4.97289749254375,6.59595426922474e-07,8.43135023979163e-06
"PWY0-1415: superpathway of heme biosynthesis from uroporphyrinogen-III",0.906057140907951,0.18411641021981,4.92111018146748,8.6054664199707e-07,1.03918619007546e-05
"GALACTARDEG-PWY: D-galactarate degradation I",0.875804333348374,0.17955866685624,4.87753862669057,1.07417817604719e-06,1.12788708484955e-05
"GLUCARGALACTSUPER-PWY: superpathway of D-glucarate and D-galactarate degradation",0.875804333348374,0.17955866685624,4.87753862669057,1.07417817604719e-06,1.12788708484955e-05
"POLYISOPRENSYN-PWY: polyisoprenoid biosynthesis (E. coli)",0.97876124997541,0.201178618568516,4.86513555436344,1.14378388440547e-06,1.1400596500776e-05
"PWY-2723: trehalose degradation V",0.899143342446472,0.189315889249595,4.74943411253261,2.03986641228872e-06,1.76388448592025e-05
"PWY-7388: octanoyl-[acyl-carrier protein] biosynthesis (mitochondria, yeast)",0.989391225074805,0.208303410483967,4.74976008686597,2.03658115042646e-06,1.76388448592025e-05
"PWY-5705: allantoin degradation to glyoxylate III",0.824327286336409,0.174393379932922,4.72682671012785,2.2805572876303e-06,1.91566812160945e-05
"PWY-5189: tetrapyrrole biosynthesis II (from glycine)",1.08864656275123,0.231220884326601,4.70825360746183,2.49848132621787e-06,2.02441381502386e-05
"PWY-5723: Rubisco shunt",1.09416547549703,0.232589746470379,4.70427218783859,2.5477316719688e-06,2.02441381502386e-05
"PWY-7409: phospholipid remodeling (phosphatidylethanolamine, yeast)",0.948970818429641,0.202152169447928,4.69433902698772,2.67470131485936e-06,2.04836203440562e-05
"FASYN-ELONG-PWY: fatty acid elongation -- saturated",1.00722869247933,0.216892753753661,4.64390199786619,3.41889784864262e-06,2.44292526958431e-05
"FASYN-INITIAL-PWY: superpathway of fatty acid biosynthesis initiation (E. coli)",0.969769761430676,0.210318758215121,4.6109522976489,4.00828517327501e-06,2.61874631320634e-05
"PWY-4041: &gamma;-glutamyl cycle",1.05007255653523,0.227486577570924,4.61597588634804,3.91252377827801e-06,2.61874631320634e-05
"PWY-5913: TCA cycle VI (obligate autotrophs)",1.0882652294793,0.236274872480867,4.60592875599766,4.10628969656982e-06,2.62445471911201e-05
"PWY-6859: all-trans-farnesol biosynthesis",0.894241588685505,0.19531876182947,4.57837014892741,4.68612922085877e-06,2.93132338496272e-05
"PWY-5860: superpathway of demethylmenaquinol-6 biosynthesis I",1.00269665878386,0.220917253607327,4.53878835813397,5.65783865728405e-06,3.19885493315675e-05
"PWY-5862: superpathway of demethylmenaquinol-9 biosynthesis",1.00269665878386,0.220917253607327,4.53878835813397,5.65783865728405e-06,3.19885493315675e-05
"UBISYN-PWY: superpathway of ubiquinol-8 biosynthesis (prokaryotic)",0.892337518225352,0.19658169655848,4.53927061291739,5.64491522200147e-06,3.19885493315675e-05
"PWY-7204: pyridoxal 5'-phosphate salvage II (plants)",1.01646045925031,0.224978921174999,4.51802530628931,6.24190255805085e-06,3.42482660594395e-05
"PWY0-862: (5Z)-dodec-5-enoate biosynthesis",0.960891694965531,0.212860086429106,4.51419385891098,6.35580596992983e-06,3.42482660594395e-05
"PWY-7254: TCA cycle VII (acetate-producers)",0.960785256177063,0.213313707547363,4.50409524649856,6.66563080281315e-06,3.43806220355626e-05
"PWY-7664: oleate biosynthesis IV (anaerobic)",0.975524676075349,0.21657305458079,4.50436771999927,6.65708487643068e-06,3.43806220355626e-05
"PWY-6519: 8-amino-7-oxononanoate biosynthesis I",0.950361283479959,0.212949755829095,4.46284279491111,8.08793919809507e-06,4.04944072092251e-05
"PWY-6629: superpathway of L-tryptophan biosynthesis",1.03959069841599,0.232996703851368,4.46182577363481,8.12642865763361e-06,4.04944072092251e-05
"PWY-5845: superpathway of menaquinol-9 biosynthesis",1.02943837712725,0.23223997000947,4.43264945773663,9.30821355366909e-06,4.1463860375435e-05
"PWY-5850: superpathway of menaquinol-6 biosynthesis I",1.02943837712725,0.23223997000947,4.43264945773663,9.30821355366909e-06,4.1463860375435e-05
"PWY-5861: superpathway of demethylmenaquinol-8 biosynthesis",1.01010102546868,0.227254982435324,4.44479154931687,8.79771270842963e-06,4.1463860375435e-05
"PWY-5896: superpathway of menaquinol-10 biosynthesis",1.02943837712725,0.23223997000947,4.43264945773663,9.30821355366909e-06,4.1463860375435e-05
"PWY-5855: ubiquinol-7 biosynthesis (prokaryotic)",0.902779503667775,0.204747282492618,4.40923802590798,1.03734960821681e-05,4.3568683545106e-05
"PWY-5856: ubiquinol-9 biosynthesis (prokaryotic)",0.902779503667775,0.204747282492618,4.40923802590798,1.03734960821681e-05,4.3568683545106e-05
"PWY-5857: ubiquinol-10 biosynthesis (prokaryotic)",0.902779503667775,0.204747282492618,4.40923802590798,1.03734960821681e-05,4.3568683545106e-05
"PWY-6708: ubiquinol-8 biosynthesis (prokaryotic)",0.902779503667775,0.204747282492618,4.40923802590798,1.03734960821681e-05,4.3568683545106e-05
"BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I",0.940640435951158,0.215673268749233,4.36141410294503,1.29224527754097e-05,5.35098748728233e-05
"PWY-5838: superpathway of menaquinol-8 biosynthesis I",1.04016175557681,0.239393998067562,4.34497842039988,1.39289355429978e-05,5.68764868005744e-05
"TCA-GLYOX-BYPASS: superpathway of glyoxylate bypass and TCA",0.98456570205879,0.228711346442535,4.30483977893143,1.67106632227238e-05,6.73004792805587e-05
"KETOGLUCONMET-PWY: ketogluconate metabolism",0.830770333871492,0.195038698911695,4.25951536032153,2.04870620747255e-05,8.13945439185039e-05
"PWY-6282: palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)",0.903535102018816,0.213006750305905,4.24181440598114,2.21720010074905e-05,8.57706354763447e-05
"P105-PWY: TCA cycle IV (2-oxoglutarate decarboxylase)",0.985616004311016,0.233264576292335,4.22531367589996,2.38608180131573e-05,8.99369294342084e-05
"PWY-6803: phosphatidylcholine acyl editing",0.98648777812342,0.235090278618111,4.19620829888039,2.71420640910389e-05,9.73142297898224e-05
"PWY-6891: thiazole biosynthesis II (Bacillus)",0.89422486504781,0.212953365196491,4.19915817823642,2.67909127789622e-05,9.73142297898224e-05
"PWY-6628: superpathway of L-phenylalanine biosynthesis",1.08520846221528,0.259481372837426,4.18222106021923,2.88675080821411e-05,0.000102253582845174
"GLUCOSE1PMETAB-PWY: glucose and glucose-1-phosphate degradation",0.932136007750019,0.231926414756784,4.01910238955545,5.84202807326732e-05,0.000199715843434952
"PWY0-1297: superpathway of purine deoxyribonucleosides degradation",0.574962420812977,0.143241253964976,4.01394434143644,5.97124326288409e-05,0.000201786841297462
"GLYCOLYSIS-TCA-GLYOX-BYPASS: superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass",0.953438965465481,0.240355433051768,3.96678765842637,7.28478399095067e-05,0.000237969610371055
"NAD-BIOSYNTHESIS-II: NAD salvage pathway II",0.963617191904551,0.246381212630081,3.91108226807592,9.18834657249599e-05,0.000293627596990633
"PWY-6630: superpathway of L-tyrosine biosynthesis",0.999669628776663,0.255534499530775,3.91207304928417,9.15072215430765e-05,0.000293627596990633
