"taxon","lfc_(Intercept)","lfc_diagnosis2IBD","lfc_consent_age","lfc_reads_filtered","se_(Intercept)","se_diagnosis2IBD","se_consent_age","se_reads_filtered","W_(Intercept)","W_diagnosis2IBD","W_consent_age","W_reads_filtered","p_(Intercept)","p_diagnosis2IBD","p_consent_age","p_reads_filtered","q_(Intercept)","q_diagnosis2IBD","q_consent_age","q_reads_filtered","diff_(Intercept)","diff_diagnosis2IBD","diff_consent_age","diff_reads_filtered"
"Clostridium_bolteae",-5.00815101590789,4.07155027521779,0.0235567976253558,-0.526293048431653,1.74581751476953,0.698861047624795,0.0315064984418353,0.31545281198217,-2.8686566456913,5.82597969804682,0.747680598935626,-1.66837329844884,0.0041221902005945,5.67785185715528e-09,0.454652836169781,0.0952416454531275,0.0171994832507564,1.37404014943158e-07,0.683448225146816,0.509831078886969,TRUE,TRUE,FALSE,FALSE
"Clostridium",-3.67676908941782,3.05431670296221,0.023402240544187,-0.30127156440179,1.62043246245866,0.61215246351643,0.0283186132487371,0.292778520782902,-2.26900483333881,4.98947057309397,0.826390767748159,-1.02900842451207,0.0232680319468764,6.05449960608292e-07,0.408582458859081,0.303475716110209,0.0806625107491714,6.29667959032624e-06,0.624890819431535,0.718490329388226,FALSE,TRUE,FALSE,FALSE
"Clostridium_clostridioforme",-5.00429140044369,3.33956638521779,0.031425326156558,-0.385304942712685,1.77076699408675,0.708042921043311,0.031940983072504,0.320142671311939,-2.82605866110836,4.71661573891155,0.98385594723946,-1.20354134965424,0.00471246331395031,2.39799978206953e-06,0.325186346337273,0.228766900117864,0.0183038533279175,1.93438649086942e-05,0.57025431749,0.547380574996164,TRUE,TRUE,FALSE,FALSE
"Flavonifractor",0.35122353132895,2.67652428927357,-0.046863488352565,-0.409744494529526,1.67427421116487,0.632124782108538,0.0292604225517702,0.302898654668289,0.209776587960813,4.23417079195291,-1.60159984940921,-1.35274451772738,0.833842046591422,2.29396559897645e-05,0.109244124145447,0.176137263085948,0.907158331031474,0.000119286211146775,0.270509259788725,0.718490329388226,FALSE,TRUE,FALSE,FALSE
"Ruminococcus_gnavus",0.287306087485666,2.86216282788538,-0.0610882297260091,-0.346362630216547,1.71187330791474,0.686367394645067,0.0309153460056763,0.309072460800362,0.167831396258896,4.17001572367152,-1.97598402148864,-1.12065186694285,0.866715922175816,3.04578624020835e-05,0.048156586939103,0.262436078018131,0.962134188837373,0.000184270067532605,0.149408897939268,0.568822026208629,FALSE,TRUE,FALSE,FALSE
"Clostridium_hathewayi",-7.04581986986576,2.52459081497308,0.0779554158412128,-0.307880979511097,1.67938319902416,0.674406700538033,0.030349475122146,0.302965876801277,-4.19548074195328,3.74342486953198,2.56859189582257,-1.01622328811982,2.72293423085901e-05,0.000181528897589261,0.0102112633781301,0.309523069021136,0.000372440960198784,0.000757413676148298,0.04008501416264,0.576189097716269,TRUE,TRUE,TRUE,FALSE
"Flavonifractor_plautii",-2.78908108735731,2.45345750130721,0.000140330183301934,-0.322527059834545,1.71832267595097,0.688741340274132,0.0310276674588708,0.310284690168968,-1.62314164061983,3.56223353796461,0.00452274356388378,-1.03945528108045,0.104559129870186,0.0003677130535328,0.996391385040407,0.298593045493798,0.207404175644139,0.00146115227296735,0.996391385040407,0.573488230234121,FALSE,TRUE,FALSE,FALSE
"Acidaminococcus",-4.08828901257737,2.44146543810123,0.0376471602630017,-0.382285033103423,1.87814889555862,0.707749343802352,0.0328266375340228,0.341219833021165,-2.17676512349219,3.44961879439487,1.14684789826502,-1.12034822161029,0.0294980964936332,0.00056137867167895,0.251444489154089,0.262565400458679,0.095868813604308,0.00194611272848703,0.484263460593059,0.718490329388226,FALSE,TRUE,FALSE,FALSE
"Coprobacillus",-2.47943277066698,1.59767762660207,0.0170974414700266,-0.274132674250018,1.30964187314341,0.496808884632263,0.022882346423492,0.23442357992443,-1.89321433707357,3.21587973972057,0.747189171669632,-1.16939035884696,0.0583293715450129,0.00130045315883363,0.454949379436882,0.242246392456728,0.158607146014471,0.0042264727662093,0.639388317046429,0.718490329388226,FALSE,TRUE,FALSE,FALSE
"Escherichia",-5.94705890356021,2.13171318531581,0.0753230887889539,-0.271060911956767,1.91909538964244,0.722938535264868,0.0335428797645079,0.348915419227117,-3.09888655647713,2.94867831956807,2.24557609000089,-0.776867105951333,0.00194249383161088,0.00319135968192035,0.0247311734085063,0.437237180055185,0.0168349465406277,0.00829753517299291,0.0989246936340252,0.811294591543302,TRUE,TRUE,FALSE,FALSE
