"taxon","lfc_diagnosis2IBD","se_diagnosis2IBD","q_diagnosis2IBD","diff_diagnosis2IBD"
"BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis",-0.640712965696505,0.121438806860092,3.23457064338667e-06,TRUE
"CALVIN-PWY: Calvin-Benson-Bassham cycle",-0.298486411849573,0.13244747987499,0.0453546982131752,TRUE
"CENTFERM-PWY: pyruvate fermentation to butanoate",-0.83286993572823,0.196176836746492,8.54954669347723e-05,TRUE
"COBALSYN-PWY: adenosylcobalamin salvage from cobinamide I",-0.83947820681224,0.174028937273894,1.29414328141394e-05,TRUE
"DAPLYSINESYN-PWY: L-lysine biosynthesis I",-0.900669287686421,0.179014404382051,6.77570386220153e-06,TRUE
"DENOVOPURINE2-PWY: superpathway of purine nucleotides de novo biosynthesis II",-0.672449737631563,0.144853432009644,2.44292526958431e-05,TRUE
"GALACT-GLUCUROCAT-PWY: superpathway of hexuronide and hexuronate degradation",-0.874325502622432,0.196748804115566,4.1463860375435e-05,TRUE
"GALACTUROCAT-PWY: D-galacturonate degradation I",-0.864216978816022,0.187353962731342,2.61874631320634e-05,TRUE
"GLUCONEO-PWY: gluconeogenesis I",-1.36700791546658,0.272115292156334,6.77570386220153e-06,TRUE
"GLUCUROCAT-PWY: superpathway of &beta;-D-glucuronide and D-glucuronate degradation",-0.734065060477928,0.184279290688713,0.000224383129100597,TRUE
"GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)",-0.63031399363556,0.135853600046936,2.44292526958431e-05,TRUE
"HOMOSER-METSYN-PWY: L-methionine biosynthesis I",-0.864419412407682,0.177798816307232,1.1400596500776e-05,TRUE
"HSERMETANA-PWY: L-methionine biosynthesis III",-1.24421112237229,0.153834795764119,1.78362851631952e-13,TRUE
"MET-SAM-PWY: superpathway of S-adenosyl-L-methionine biosynthesis",-0.870247491902999,0.17791813540441,1.12788708484955e-05,TRUE
"METSYN-PWY: L-homoserine and L-methionine biosynthesis",-0.911397090392964,0.174268637790729,3.50463665223911e-06,TRUE
"OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)",-0.696746963046277,0.198650421853501,0.00124332968261133,TRUE
"P108-PWY: pyruvate fermentation to propanoate I",-0.934427784811749,0.220920037255205,8.93425206227236e-05,TRUE
"P4-PWY: superpathway of L-lysine, L-threonine and L-methionine biosynthesis I",-0.641829557318989,0.222535849956283,0.00923056886590959,TRUE
"PRPP-PWY: superpathway of histidine, purine, and pyrimidine biosynthesis",-1.08455931531644,0.238766224921857,3.19885493315675e-05,TRUE
"PWY-3001: superpathway of L-isoleucine biosynthesis I",-0.349818174212844,0.14152379210671,0.0282314744913389,TRUE
"PWY-5030: L-histidine degradation III",-0.840786807507468,0.184449297848475,3.15767878586725e-05,TRUE
"PWY-5100: pyruvate fermentation to acetate and lactate II",-0.549680320054455,0.121812987579997,3.42482660594395e-05,TRUE
"PWY-5103: L-isoleucine biosynthesis III",-0.630250140336654,0.128205921346672,1.03918619007546e-05,TRUE
"PWY-5104: L-isoleucine biosynthesis IV",-0.784710430058678,0.186263620014313,9.38232709909462e-05,TRUE
"PWY-5177: glutaryl-CoA degradation",-1.25751442080921,0.2122595938646,4.11447948382927e-07,TRUE
"PWY-5345: superpathway of L-methionine biosynthesis (by sulfhydrylation)",-1.3260076230413,0.230826550421407,4.69169345624584e-07,TRUE
"PWY-5347: superpathway of L-methionine biosynthesis (transsulfuration)",-0.827206565645079,0.170385961556819,1.14231673055617e-05,TRUE
"PWY-5367: petroselinate biosynthesis",-0.90141048718357,0.218153208888278,0.000124382814144896,TRUE
"PWY-5676: acetyl-CoA fermentation to butanoate II",-0.580022325937818,0.247273682067934,0.0374828555946078,TRUE
"PWY-5690: TCA cycle II (plants and fungi)",-0.846471404710684,0.224750746069406,0.000502243916842451,TRUE
"PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I",-0.365605755749943,0.13278391052833,0.0134423571971136,TRUE
"PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II",-0.364759585202717,0.134754375396219,0.0150150861026026,TRUE
"PWY-621: sucrose degradation III (sucrose invertase)",-0.677856701259305,0.152796235328295,4.1463860375435e-05,TRUE
"PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis",-0.364759585202717,0.134754375396219,0.0150150861026026,TRUE
"PWY-6317: galactose degradation I (Leloir pathway)",-0.589968082043824,0.11335621144579,3.57333393113321e-06,TRUE
"PWY-6507: 4-deoxy-L-threo-hex-4-enopyranuronate degradation",-0.869443123430819,0.207124997843542,9.73142297898224e-05,TRUE
"PWY-6527: stachyose degradation",-0.562526980117976,0.109740383559077,4.58012503900479e-06,TRUE
