"taxon","lfc_Case_statusPD","se_Case_statusPD","q_Case_statusPD","diff_Case_statusPD"
"K00002: alcohol dehydrogenase (NADP+) ",-0.663122300828119,0.120936693652934,6.32679462594476e-07,TRUE
"K00003: homoserine dehydrogenase ",-0.373128285304455,0.0573753473599791,2.40118566590076e-09,TRUE
"K00005: glycerol dehydrogenase ",-0.271788705082909,0.0708797234167949,0.000776849618428911,TRUE
"K00010: myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase ",-0.36590917708627,0.0896218370345315,0.000308402813484108,TRUE
"K00012: UDPglucose 6-dehydrogenase ",-0.180482787393925,0.0490105100675616,0.00134676944388384,TRUE
"K00014: shikimate dehydrogenase ",-0.207768702072633,0.0637432871388671,0.00521643784646599,TRUE
"K00018: glycerate dehydrogenase ",-0.344400576437705,0.0817876605338108,0.000191426352677672,TRUE
"K00031: isocitrate dehydrogenase ",-0.299447632140564,0.0355965454429784,5.13475136717779e-15,TRUE
"K00036: glucose-6-phosphate 1-dehydrogenase ",-0.175873577459732,0.0659204925797172,0.0257860124960718,TRUE
"K00040: fructuronate reductase ",-0.734200816200507,0.121653736788317,3.46157595172731e-08,TRUE
"K00041: tagaturonate reductase ",-0.397171561277918,0.0505608997670203,3.16811212133072e-13,TRUE
"K00052: 3-isopropylmalate dehydrogenase ",-0.196061153101083,0.05926156617849,0.0044965270364666,TRUE
"K00057: glycerol-3-phosphate dehydrogenase (NAD(P)+) ",-0.187401806729112,0.0624393324284754,0.0109072911411873,TRUE
"K00059: 3-oxoacyl-",-0.251704955509424,0.0602473899906584,0.000213823574896194,TRUE
"K00067: dTDP-4-dehydrorhamnose reductase ",-0.199149374851773,0.0437966480221795,4.83607737589018e-05,TRUE
"K00068: sorbitol-6-phosphate 2-dehydrogenase ",-0.447707450735593,0.166795969213945,0.0248275728990569,TRUE
"K00074: 3-hydroxybutyryl-CoA dehydrogenase ",-0.353111441521742,0.0650597677079291,8.44053172880259e-07,TRUE
"K00077: 2-dehydropantoate 2-reductase ",-0.399793739516784,0.0670666090259609,5.20614628695027e-08,TRUE
"K00088: IMP dehydrogenase ",-0.129189536848027,0.0412979541933428,0.00767651412785211,TRUE
"K00099: 1-deoxy-D-xylulose-5-phosphate reductoisomerase ",-0.236243099301002,0.035280965050611,7.57931020514109e-10,TRUE
"K00104: glycolate oxidase ",-0.287535785810697,0.116472818288383,0.0411191709054865,TRUE
"K00105: alpha-glycerophosphate oxidase ",-0.347411758181289,0.107517956072984,0.00567181344516519,TRUE
"K00111: glycerol-3-phosphate dehydrogenase ",-0.224145015302208,0.0750466211375115,0.0112881164503392,TRUE
"K00133: aspartate-semialdehyde dehydrogenase ",-0.397276355406701,0.0406202575705989,6.11634840144796e-20,TRUE
"K00134: glyceraldehyde 3-phosphate dehydrogenase ",-0.142716951649352,0.0341785124974695,0.000215484424998387,TRUE
"K00145: N-acetyl-gamma-glutamyl-phosphate reductase ",-0.178201418928355,0.0576047229067687,0.00847868974789547,TRUE
"K00147: glutamate-5-semialdehyde dehydrogenase ",-0.206074624800263,0.0624350566901247,0.0045984125262178,TRUE
"K00172: pyruvate ferredoxin oxidoreductase gamma subunit ",-0.484015904895089,0.120571068116002,0.00039757859101368,TRUE
"K00175: 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta ",-0.156706716007266,0.0517792377375295,0.0101683093164504,TRUE
"K00179: indolepyruvate ferredoxin oxidoreductase, alpha subunit ",-0.219829663717407,0.0554260619705584,0.000479443798833551,TRUE
"K00194: acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit delta ",-0.627219201436777,0.153142799029042,0.000294525968856723,TRUE
"K00209: enoyl-",-0.671101415394537,0.147621789498568,4.84821437852365e-05,TRUE
"K00243: uncharacterized protein",-0.314367502814432,0.0709213155158671,7.79410843721483e-05,TRUE
"K00248: butyryl-CoA dehydrogenase ",-0.492523033230578,0.149867868276765,0.00479898157024241,TRUE
"K00262: glutamate dehydrogenase (NADP+) ",-0.293001624213559,0.0599295656552162,1.08475029964809e-05,TRUE
"K00265: glutamate synthase (NADPH) large chain ",-0.269949981137429,0.0969356537527763,0.0191075762714348,TRUE
"K00266: glutamate synthase (NADPH) small chain ",-0.491433559588409,0.0563504575345318,4.4801694201984e-16,TRUE
"K00278: L-aspartate oxidase ",-0.522147853414286,0.0929272403976102,3.13745077469273e-07,TRUE
"K00286: pyrroline-5-carboxylate reductase ",-0.324220330180416,0.0633773737976014,3.83988502587096e-06,TRUE
"K00290: saccharopine dehydrogenase (NAD+, L-lysine forming) ",-0.430956111882513,0.13918505345099,0.00841022826105778,TRUE
"K00297: methylenetetrahydrofolate reductase (NADPH) ",-0.2818539816327,0.0469509109890156,4.09347909892951e-08,TRUE
"K00335: NADH-quinone oxidoreductase subunit F ",-0.339567295559172,0.0955798193283183,0.00207472882377747,TRUE
"K00336: NADH-quinone oxidoreductase subunit G ",-0.618051941012161,0.0757107296704918,3.32886523132305e-14,TRUE
"K00375: GntR family transcriptional regulator / MocR family aminotransferase",-0.592824143226718,0.142332573694661,0.000223898965750582,TRUE
"K00384: thioredoxin reductase (NADPH) ",-0.218454366026925,0.0610463148423782,0.00190649613029884,TRUE
"K00394: adenylylsulfate reductase, subunit A ",-0.748251826345569,0.168462913668579,7.54513585733375e-05,TRUE
"K00395: adenylylsulfate reductase, subunit B ",-0.681864314599568,0.17084434660709,0.00043694680046888,TRUE
"K00537: arsenate reductase (glutaredoxin) ",-0.54916578828928,0.080255069937629,3.1204689374953e-10,TRUE
"K00548: 5-methyltetrahydrofolate--homocysteine methyltransferase ",-0.270732319566756,0.0446584684583056,2.99857500669126e-08,TRUE
"K00558: DNA (cytosine-5)-methyltransferase 1 ",-0.296377738206353,0.0659238881346973,6.00072706478938e-05,TRUE
"K00560: thymidylate synthase ",-0.106239130923848,0.0355004583855744,0.0111607912196388,TRUE
"K00563: 23S rRNA (guanine745-N1)-methyltransferase ",-0.702339111872633,0.174925280269397,0.00039757859101368,TRUE
"K00566: tRNA-uridine 2-sulfurtransferase ",-0.28227548841943,0.0606056646430337,2.96622482228781e-05,TRUE
"K00575: chemotaxis protein methyltransferase CheR ",-0.538078472198931,0.148187444748885,0.00160933383705838,TRUE
"K00595: precorrin-6Y C5,15-methyltransferase (decarboxylating) ",-0.324102735749414,0.0772465986607272,0.000200526419028961,TRUE
"K00600: glycine hydroxymethyltransferase ",-0.152990825825699,0.0590152994559332,0.0309198357612247,TRUE
"K00602: phosphoribosylaminoimidazolecarboxamide formyltransferase / IMP cyclohydrolase ",-0.333516589856218,0.0561224223985778,5.79501706345431e-08,TRUE
"K00604: methionyl-tRNA formyltransferase ",-0.151902928379137,0.0601945269577078,0.0360860262385654,TRUE
"K00606: 3-methyl-2-oxobutanoate hydroxymethyltransferase ",-0.254648331884072,0.052190081534349,1.13305463151255e-05,TRUE
"K00610: aspartate carbamoyltransferase regulatory subunit",-0.129611824132457,0.039756185033193,0.00521025451407998,TRUE
"K00615: transketolase ",-0.230615127650239,0.0625211379781503,0.00132372590529582,TRUE
"K00616: transaldolase ",-0.320263789681957,0.0429212503134983,5.45436019671853e-12,TRUE
"K00625: phosphate acetyltransferase ",-0.323886793674811,0.0526090170053015,1.82118586177528e-08,TRUE
"K00640: serine O-acetyltransferase ",-0.216627790321372,0.0850282763807827,0.0341233452172297,TRUE
"K00648: 3-oxoacyl-",-0.297470096954951,0.0404020333374694,1.09163970161526e-11,TRUE
"K00651: homoserine O-succinyltransferase/O-acetyltransferase ",-0.211208226527236,0.0604023911712686,0.00248391347314093,TRUE
"K00655: 1-acyl-sn-glycerol-3-phosphate acyltransferase ",-0.319827577311889,0.0624007379083511,3.66050584677839e-06,TRUE
"K00657: diamine N-acetyltransferase ",-0.214403965507065,0.0752127449520646,0.0161475417231573,TRUE
"K00661: maltose O-acetyltransferase ",-0.277142880291183,0.034422530160154,7.32715626070666e-14,TRUE
"K00688: glycogen phosphorylase ",-0.296764680117925,0.0615532613575339,1.4529125219298e-05,TRUE
"K00700: 1,4-alpha-glucan branching enzyme ",-0.140854752787354,0.0439530400484454,0.00614245578503712,TRUE
"K00702: cellobiose phosphorylase ",-0.961168372527727,0.169226603756529,2.31816614632864e-07,TRUE
"K00703: starch synthase ",-0.469279944391877,0.0611896137606481,1.22384283115574e-12,TRUE
"K00757: uridine phosphorylase ",-0.308023839014192,0.0836689218765444,0.00135024159494381,TRUE
"K00759: adenine phosphoribosyltransferase ",-0.213972416743528,0.0400020074977335,1.23962830662134e-06,TRUE
"K00761: uracil phosphoribosyltransferase ",-0.29058907555888,0.0608690735109505,1.78849656719444e-05,TRUE
"K00762: orotate phosphoribosyltransferase ",-0.162806064033572,0.056077831194225,0.0140173261711834,TRUE
"K00763: nicotinate phosphoribosyltransferase ",-0.252358408194972,0.0848261882845927,0.0115992692228912,TRUE
"K00764: amidophosphoribosyltransferase ",-0.237943125398697,0.0608980998235425,0.000599205525766271,TRUE
"K00766: anthranilate phosphoribosyltransferase ",-0.158791939646518,0.0403217963050002,0.000534776050771454,TRUE
"K00767: nicotinate-nucleotide pyrophosphorylase (carboxylating) ",-0.185170174452533,0.0618099133145219,0.0110572679814938,TRUE
"K00768: nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase ",-0.270572122441008,0.0611252098215403,7.96180394865592e-05,TRUE
"K00784: ribonuclease Z ",-0.369358473013866,0.0358218409920995,4.49403493123521e-22,TRUE
"K00786: beta-1,6-galactosyltransferase ",-0.374683794368456,0.136729729782313,0.0214704978805967,TRUE
"K00788: thiamine-phosphate pyrophosphorylase ",-0.256373834578324,0.0365837489078371,1.10911480053539e-10,TRUE
"K00790: UDP-N-acetylglucosamine 1-carboxyvinyltransferase ",-0.18943846357933,0.0631997486542897,0.0110190335527049,TRUE
"K00793: riboflavin synthase ",-0.360015958000523,0.0868923213727456,0.000243861668968176,TRUE
"K00794: 6,7-dimethyl-8-ribityllumazine synthase ",-0.208692438085152,0.0615900807420147,0.00351004714490882,TRUE
"K00797: spermidine synthase ",-0.622929222718976,0.103201546257975,3.46157595172731e-08,TRUE
"K00800: 3-phosphoshikimate 1-carboxyvinyltransferase ",-0.208605098166447,0.0585413029990812,0.00200432989245471,TRUE
"K00805: heptaprenyl diphosphate synthase ",-0.286949489146771,0.0621549398529161,3.5651909181169e-05,TRUE
"K00821: acetylornithine/N-succinyldiaminopimelate aminotransferase ",-0.240992678232689,0.0341076222946837,7.82377274588422e-11,TRUE
"K00826: branched-chain amino acid aminotransferase ",-0.437577207502912,0.0418538892785136,1.24393237180022e-22,TRUE
"K00831: phosphoserine aminotransferase ",-0.096308490197739,0.0363704620111693,0.0270539873049755,TRUE
"K00833: adenosylmethionine---8-amino-7-oxononanoate aminotransferase ",-0.246426426920195,0.0829496847518458,0.0117205914768099,TRUE
"K00845: glucokinase ",-0.113096419217895,0.0421664888131485,0.0249305557669441,TRUE
"K00848: rhamnulokinase ",-0.210245860789422,0.0825167068885378,0.0341233452172297,TRUE
"K00849: galactokinase ",-0.281486659325845,0.0538658239746736,2.2311223773127e-06,TRUE
"K00850: 6-phosphofructokinase 1 ",-0.266290924448523,0.0422915984833333,8.18095144926935e-09,TRUE
"K00854: xylulokinase ",-0.296209501696853,0.0421445576942127,9.69849566486303e-11,TRUE
