"taxon","lfc_Case_statusPD","se_Case_statusPD","q_Case_statusPD","diff_Case_statusPD"
"1CMET2-PWY: folate transformations III (E. coli)",-0.259716771148408,0.0517649863817142,2.72714969894141e-06,TRUE
"ANAEROFRUCAT-PWY: homolactic fermentation",-0.19104551373437,0.0552738583610552,0.00157201099508771,TRUE
"ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)",-0.227844516464817,0.0529987086460995,5.81553704807919e-05,TRUE
"ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis",-0.241696379357307,0.0849987161229053,0.00980468866604971,TRUE
"ARGININE-SYN4-PWY: L-ornithine biosynthesis II",-0.232585572168639,0.0685915292855236,0.00196842197160548,TRUE
"ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)",-0.266891290314869,0.054026820283194,3.65984320957684e-06,TRUE
"ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)",-0.269949265492629,0.0543171244379511,3.22307091429219e-06,TRUE
"ARO-PWY: chorismate biosynthesis I",-0.277734541550147,0.052381125158951,8.66695592057876e-07,TRUE
"ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis",-0.309151850212064,0.0572198677616023,5.98634970747786e-07,TRUE
"BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis",-0.264893821294658,0.0528747751142154,2.77055155413697e-06,TRUE
"CALVIN-PWY: Calvin-Benson-Bassham cycle",-0.282893048411973,0.052958101270049,7.27934012675827e-07,TRUE
"CITRULBIO-PWY: L-citrulline biosynthesis",-0.170369177745105,0.044575874558359,0.000420611432678964,TRUE
"COA-PWY-1: superpathway of coenzyme A biosynthesis III (mammals)",-0.247418477100881,0.0520520234447288,8.3819481076974e-06,TRUE
"COA-PWY: coenzyme A biosynthesis I (prokaryotic)",-0.273864381529986,0.0522716992787336,1.12546598711463e-06,TRUE
"COBALSYN-PWY: superpathway of adenosylcobalamin salvage from cobinamide I",-0.370338507779889,0.059211403082398,9.46384454746313e-09,TRUE
"COLANSYN-PWY: colanic acid building blocks biosynthesis",-0.262115407492245,0.0586045756325936,2.75083515306188e-05,TRUE
"COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis",-0.280870530480333,0.0522804618156579,6.91565154679162e-07,TRUE
"DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis",-0.271962324114916,0.0529937702604436,1.73009070510752e-06,TRUE
"FASYN-INITIAL-PWY: superpathway of fatty acid biosynthesis initiation (E. coli)",-0.338701824859179,0.0533488335152388,5.94194351061719e-09,TRUE
"FUCCAT-PWY: fucose degradation",-0.141855541193203,0.0478824057451162,0.00724034679414567,TRUE
"GALACT-GLUCUROCAT-PWY: superpathway of hexuronide and hexuronate degradation",-0.398377134920217,0.0704174367144934,1.71007632479513e-07,TRUE
"GALACTUROCAT-PWY: D-galacturonate degradation I",-0.355000453257233,0.0655441604241527,5.70331773409971e-07,TRUE
"GLCMANNANAUT-PWY: superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation",-0.323215671235741,0.0604498901519155,7.26576964332574e-07,TRUE
"GLUCONEO-PWY: gluconeogenesis I",-0.16719725246797,0.0583266172821205,0.00923259642965791,TRUE
"GLUCUROCAT-PWY: superpathway of &beta;-D-glucuronosides degradation",-0.408230095031522,0.0667887492517351,1.74851078968564e-08,TRUE
"GLUTORN-PWY: L-ornithine biosynthesis I",-0.313695370985332,0.0545580884934445,1.06058914738512e-07,TRUE
"GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)",-0.347974262595311,0.0570797999098281,1.7568167406188e-08,TRUE
"GLYCOLYSIS-E-D: superpathway of glycolysis and the Entner-Doudoroff pathway",-0.208078381665668,0.0691948959205655,0.00643050024295191,TRUE
"GOLPDLCAT-PWY: superpathway of glycerol degradation to 1,3-propanediol",-0.267554268213831,0.0738299221047303,0.000878196476540577,TRUE
"HEXITOLDEGSUPER-PWY: superpathway of hexitol degradation (bacteria)",-0.154865355606988,0.066678916389049,0.0374600020803445,TRUE
"HISDEG-PWY: L-histidine degradation I",-0.211716538815937,0.0629045455847472,0.00214035533022119,TRUE
"HISTSYN-PWY: L-histidine biosynthesis",-0.239137774244854,0.0524093521359165,1.87106876856166e-05,TRUE
"HSERMETANA-PWY: L-methionine biosynthesis III",-0.267877112546944,0.0545013926011082,4.05107221767132e-06,TRUE
"ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)",-0.281661615664544,0.0525186303129981,6.93477408021128e-07,TRUE
"MET-SAM-PWY: superpathway of S-adenosyl-L-methionine biosynthesis",-0.137439182233856,0.0438699464810089,0.00433972731931827,TRUE
