"taxon","lfc_diagnosis2IBD","se_diagnosis2IBD","q_diagnosis2IBD","diff_diagnosis2IBD"
"K00042: 2-hydroxy-3-oxopropionate reductase ",0.747610811616326,0.263524053884644,0.0095740337383436,TRUE
"K00065: 2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase ",0.687527580536171,0.263596992580845,0.017020897184367,TRUE
"K00076: 7-alpha-hydroxysteroid dehydrogenase ",0.703781361449891,0.23716014237789,0.00695099827986582,TRUE
"K00087: xanthine dehydrogenase molybdenum-binding subunit ",0.597291470433427,0.231232410904588,0.0180876532559352,TRUE
"K00094: galactitol-1-phosphate 5-dehydrogenase ",0.578485241959262,0.222382872125186,0.0173045339743691,TRUE
"K00098: L-idonate 5-dehydrogenase ",0.695943647928198,0.241254473093955,0.0085363684272136,TRUE
"K00113: glycerol-3-phosphate dehydrogenase subunit C",0.775093686343747,0.242483015591419,0.00396909509379208,TRUE
"K00117: quinoprotein glucose dehydrogenase ",0.456936059280492,0.208896605230763,0.0472097611833722,TRUE
"K00130: betaine-aldehyde dehydrogenase ",0.654597277801977,0.244456242941845,0.0141920057238251,TRUE
"K00135: succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase ",0.715974480263334,0.216829675431153,0.00317340537302302,TRUE
"K00137: aminobutyraldehyde dehydrogenase ",0.618025451879537,0.222324903209313,0.0110898892590345,TRUE
"K00138: aldehyde dehydrogenase ",0.754389643789343,0.239561525771027,0.00447876302295553,TRUE
"K00172: pyruvate ferredoxin oxidoreductase gamma subunit ",0.596514978843683,0.250641000774525,0.0298874417877393,TRUE
"K00208: enoyl-[acyl-carrier protein] reductase I ",0.680920302535465,0.252617190272093,0.0135820422914089,TRUE
"K00228: coproporphyrinogen III oxidase ",0.853176020006397,0.244154694387681,0.00201015796388724,TRUE
"K00230: menaquinone-dependent protoporphyrinogen oxidase ",0.772208637941048,0.243385970533408,0.00421583854306584,TRUE
"K00242: succinate dehydrogenase / fumarate reductase, membrane anchor subunit",0.697830358058526,0.261307593471219,0.0144392586647263,TRUE
"K00247: fumarate reductase subunit D",0.781324647115461,0.277358409178891,0.0100811211115376,TRUE
"K00285: D-amino-acid dehydrogenase ",0.805293555256252,0.249478535228992,0.0037165710948693,TRUE
"K00299: FMN reductase ",0.818499698389925,0.244575910709495,0.00286693119856163,TRUE
"K00313: electron transfer flavoprotein-quinone oxidoreductase ",0.801758243497257,0.262278814727728,0.00556523512551303,TRUE
"K00322: NAD(P) transhydrogenase ",0.765063122840659,0.262959655339523,0.00804088076925547,TRUE
"K00325: H+-translocating NAD(P) transhydrogenase subunit beta ",0.588467927862191,0.247554601724686,0.0300805353045074,TRUE
"K00334: NADH-quinone oxidoreductase subunit E ",0.786760819777769,0.254074502780086,0.00506698850193972,TRUE
"K00335: NADH-quinone oxidoreductase subunit F ",0.687296778517081,0.260005654793513,0.0154710791479931,TRUE
"K00338: NADH-quinone oxidoreductase subunit I ",0.922862536650888,0.246577127138338,0.000961365948319244,TRUE
"K00342: NADH-quinone oxidoreductase subunit M ",0.64513002711741,0.27003129275452,0.0292457004508006,TRUE
"K00344: NADPH:quinone reductase ",1.02757691644546,0.262850401180185,0.000541354266519309,TRUE
"K00364: GMP reductase ",0.581882222111793,0.235074074491204,0.0236052904006371,TRUE
"K00371: nitrate reductase / nitrite oxidoreductase, beta subunit ",0.903119359489921,0.257729484601874,0.00195909608455112,TRUE
"K00373: nitrate reductase molybdenum cofactor assembly chaperone NarJ/NarW",0.911980068484463,0.251530286402534,0.00136760048191194,TRUE
"K00374: nitrate reductase gamma subunit ",0.809374957520121,0.253928633868116,0.00405730262566372,TRUE
"K00383: glutathione reductase (NADPH) ",0.660820484161921,0.246200995741755,0.0139659712411257,TRUE
"K00389: putative membrane protein",0.846105150790575,0.25268009851106,0.00286644248828504,TRUE
"K00425: cytochrome bd ubiquinol oxidase subunit I ",0.588092442633293,0.271399179029993,0.0492251988764559,TRUE
"K00427: L-lactate permease",0.811075571861512,0.26182683786854,0.00505663720078446,TRUE
"K00428: cytochrome c peroxidase ",0.764363019838415,0.240574227126379,0.00417845758638435,TRUE
"K00525: ribonucleoside-diphosphate reductase alpha chain ",0.850014170255766,0.273819192251799,0.00499632055258879,TRUE
"K00526: ribonucleoside-diphosphate reductase beta chain ",0.774587683067011,0.272318752871249,0.00939786938663257,TRUE
"K00537: arsenate reductase (glutaredoxin) ",0.837589781403454,0.242365873843225,0.00221553591342491,TRUE
"K00561: 23S rRNA (adenine-N6)-dimethyltransferase ",1.51906903496769,0.325805175847633,2.94873345301319e-05,TRUE
"K00573: protein-L-isoaspartate(D-aspartate) O-methyltransferase ",0.753931459119403,0.250731131382086,0.00631667800788158,TRUE
"K00574: cyclopropane-fatty-acyl-phospholipid synthase ",0.814925777887728,0.242888018123574,0.0028211275367967,TRUE
"K00603: glutamate formiminotransferase / 5-formyltetrahydrofolate cyclo-ligase ",0.716918398572503,0.314435880957406,0.0379569650949063,TRUE
"K00632: acetyl-CoA acyltransferase ",0.599547887493412,0.271063370420687,0.0446192497620283,TRUE
"K00633: galactoside O-acetyltransferase ",0.819490241272287,0.250648344226,0.00338783320951837,TRUE
"K00639: glycine C-acetyltransferase ",0.707735078216013,0.258655164893118,0.0123366082953541,TRUE
"K00673: arginine N-succinyltransferase ",0.693211841272398,0.224563490494337,0.0051830955385584,TRUE
"K00675: N-hydroxyarylamine O-acetyltransferase ",0.736108326787679,0.229103502940859,0.00383811654953702,TRUE
"K00681: gamma-glutamyltranspeptidase / glutathione hydrolase ",1.0155606067093,0.275685685560618,0.00115199597926478,TRUE
"K00697: trehalose 6-phosphate synthase ",0.782055748024716,0.231044924297062,0.00263798087546867,TRUE
"K00782: L-lactate dehydrogenase complex protein LldG",0.720088847371774,0.259317190293914,0.0111798984529174,TRUE
"K00795: farnesyl diphosphate synthase ",0.765717663531308,0.236109324360888,0.00358774381382891,TRUE
"K00799: glutathione S-transferase ",0.919375798031715,0.267201207722496,0.0022864337436721,TRUE
"K00832: aromatic-amino-acid transaminase ",0.714542308311324,0.232401245927522,0.00533156298919527,TRUE
"K00850: 6-phosphofructokinase 1 ",0.411015923862105,0.175981657578541,0.0331872057986151,TRUE
"K00851: gluconokinase ",0.890221314338263,0.261997654130857,0.00255128036563398,TRUE
"K00852: ribokinase ",0.639178058473618,0.260658288703218,0.0250101098549235,TRUE
"K00855: phosphoribulokinase ",0.886043060834307,0.259966935631205,0.00249492009864572,TRUE
"K00867: type I pantothenate kinase ",0.931335109141033,0.263406970284762,0.00178889348615827,TRUE
"K00872: homoserine kinase ",0.885576089268113,0.276813013223214,0.00395204233112136,TRUE
"K00880: L-xylulokinase ",0.784900359101078,0.248788738930927,0.0044162056334669,TRUE
"K00883: 2-dehydro-3-deoxygalactonokinase ",0.6329507075976,0.235385835447816,0.0137903709694131,TRUE
"K00892: inosine kinase ",0.77422835662968,0.237119759126368,0.00341694442685896,TRUE
"K00901: diacylglycerol kinase (ATP) ",0.67582263092082,0.267923655815182,0.0210689224866918,TRUE
"K00906: isocitrate dehydrogenase kinase/phosphatase ",0.627785042917729,0.226876866354743,0.0114322054039628,TRUE
"K00971: mannose-1-phosphate guanylyltransferase ",0.52966277746627,0.241141819282634,0.0462730049206322,TRUE
"K00998: CDP-diacylglycerol---serine O-phosphatidyltransferase ",0.857770002123412,0.25596177939334,0.00284811224391097,TRUE
"K01035: acetate CoA/acetoacetate CoA-transferase beta subunit ",0.562274070739836,0.250974047295058,0.0416080473852565,TRUE
"K01048: lysophospholipase ",0.599307301995608,0.26208965846852,0.0373919719359809,TRUE
"K01058: phospholipase A1/A2 ",0.586788172439382,0.269983288840387,0.0486776277747787,TRUE
"K01061: carboxymethylenebutenolidase ",0.852310784329752,0.244141379975208,0.00202626391614484,TRUE
"K01079: phosphoserine phosphatase ",0.847588685492046,0.244448180488655,0.00214823305138116,TRUE
"K01085: glucose-1-phosphatase ",0.696420268790225,0.232723397103224,0.00652757673400671,TRUE
"K01087: trehalose 6-phosphate phosphatase ",0.921756329083688,0.238125652660044,0.000623824631991699,TRUE
"K01093: 4-phytase / acid phosphatase ",0.837867726631919,0.240192073731443,0.00203776582216548,TRUE
"K01095: phosphatidylglycerophosphatase A ",0.826846552512689,0.244749948287004,0.00265861706722036,TRUE
"K01096: phosphatidylglycerophosphatase B ",0.801091447158921,0.232685843191216,0.00227899139623762,TRUE
"K01138: uncharacterized sulfatase ",0.847342737478158,0.255072700118871,0.00303100809809927,TRUE
"K01139: GTP diphosphokinase / guanosine-3',5'-bis(diphosphate) 3'-diphosphatase ",0.825370155761457,0.257584506470386,0.00391093512152341,TRUE
"K01141: exodeoxyribonuclease I ",0.829687712949976,0.242927500583975,0.00245098802668724,TRUE
