"taxon","lfc_diagnosis2IBD","se_diagnosis2IBD","q_diagnosis2IBD","diff_diagnosis2IBD"
"AST-PWY: L-arginine degradation II (AST pathway)",0.937668758660209,0.176396105488656,2.83972302151734e-06,TRUE
"BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I",0.940640435951158,0.215673268749233,5.35098748728233e-05,TRUE
"CITRULBIO-PWY: L-citrulline biosynthesis",0.502050694304258,0.183989684882174,0.0143803479457189,TRUE
"COLANSYN-PWY: colanic acid building blocks biosynthesis",0.524868342479098,0.161627801454582,0.00291906268603548,TRUE
"ENTBACSYN-PWY: enterobactin biosynthesis",1.19044698209207,0.232018672636116,4.58012503900479e-06,TRUE
"FASYN-ELONG-PWY: fatty acid elongation -- saturated",1.00722869247933,0.216892753753661,2.44292526958431e-05,TRUE
"FASYN-INITIAL-PWY: superpathway of fatty acid biosynthesis initiation (E. coli)",0.969769761430676,0.210318758215121,2.61874631320634e-05,TRUE
"FERMENTATION-PWY: mixed acid fermentation",0.53582824244119,0.227098614228911,0.0366039129058994,TRUE
"FUC-RHAMCAT-PWY: superpathway of fucose and rhamnose degradation",0.567523276891202,0.244430262976563,0.0391534209519693,TRUE
"GALACTARDEG-PWY: D-galactarate degradation I",0.875804333348374,0.17955866685624,1.12788708484955e-05,TRUE
"GLUCARDEG-PWY: D-glucarate degradation I",0.938311411245262,0.188685049843104,8.43135023979163e-06,TRUE
"GLUCARGALACTSUPER-PWY: superpathway of D-glucarate and D-galactarate degradation",0.875804333348374,0.17955866685624,1.12788708484955e-05,TRUE
"GLUCOSE1PMETAB-PWY: glucose and glucose-1-phosphate degradation",0.932136007750019,0.231926414756784,0.000199715843434952,TRUE
"GLYCOCAT-PWY: glycogen degradation I (bacterial)",0.829104171892767,0.229674664651708,0.00085819366232416,TRUE
"GLYCOL-GLYOXDEG-PWY: superpathway of glycol metabolism and degradation",1.0279085266623,0.19300872033528,2.83972302151734e-06,TRUE
"GLYCOLYSIS-TCA-GLYOX-BYPASS: superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass",0.953438965465481,0.240355433051768,0.000237969610371055,TRUE
"GLYCOLYSIS: glycolysis I (from glucose 6-phosphate)",0.480603189711164,0.13518873948103,0.00104814414784716,TRUE
"GLYOXYLATE-BYPASS: glyoxylate cycle",0.845180351670388,0.226024184876502,0.000547929992896699,TRUE
"HEME-BIOSYNTHESIS-II: heme biosynthesis I (aerobic)",0.574546119793535,0.21721902284766,0.0175303211906453,TRUE
"KDO-NAGLIPASYN-PWY: superpathway of (Kdo)2-lipid A biosynthesis",0.978400726192971,0.186735921621702,3.50463665223911e-06,TRUE
"KETOGLUCONMET-PWY: ketogluconate metabolism",0.830770333871492,0.195038698911695,8.13945439185039e-05,TRUE
"METHGLYUT-PWY: superpathway of methylglyoxal degradation",0.553239058968645,0.194220620700359,0.0102490969718812,TRUE
"NAD-BIOSYNTHESIS-II: NAD salvage pathway II",0.963617191904551,0.246381212630081,0.000293627596990633,TRUE
"P105-PWY: TCA cycle IV (2-oxoglutarate decarboxylase)",0.985616004311016,0.233264576292335,8.99369294342084e-05,TRUE
"P441-PWY: superpathway of N-acetylneuraminate degradation",0.400111990687508,0.176289808388218,0.0437801143049719,TRUE
"PHOSLIPSYN-PWY: superpathway of phospholipid biosynthesis I (bacteria)",0.448490626290481,0.188418007533342,0.0348344432511692,TRUE
