"taxon","lfc_Case_statusPD","se_Case_statusPD","q_Case_statusPD","diff_Case_statusPD"
"K00001: alcohol dehydrogenase ",0.505117639492819,0.169002290466509,0.0112512389274499,TRUE
"K00121: S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase ",0.508595558339203,0.161288729832928,0.00714215778822636,TRUE
"K00150: glyceraldehyde-3-phosphate dehydrogenase (NAD(P)) ",0.57807761543399,0.171225000211514,0.00365522901031718,TRUE
"K00204: 4Fe-4S ferredoxin",0.441996399847444,0.175916262658304,0.0371657347605532,TRUE
"K00260: glutamate dehydrogenase ",0.40639462914272,0.166220560204305,0.0434541013520548,TRUE
"K00324: H+-translocating NAD(P) transhydrogenase subunit alpha ",0.628682466162339,0.201738002996262,0.00792543654520867,TRUE
"K00340: NADH-quinone oxidoreductase subunit K ",0.603923457836493,0.206958078756345,0.0134511806094478,TRUE
"K00344: NADPH:quinone reductase ",0.518399696234816,0.169059988054198,0.00916716085741546,TRUE
"K00382: dihydrolipoamide dehydrogenase ",0.274737860853982,0.102653265204719,0.0252677440138097,TRUE
"K00425: cytochrome bd ubiquinol oxidase subunit I ",0.430600045635943,0.141430864245722,0.00974206109725295,TRUE
"K00441: coenzyme F420 hydrogenase subunit beta ",0.411337690811161,0.164628408727523,0.0383623502129016,TRUE
"K00555: tRNA (guanine26-N2/guanine27-N2)-dimethyltransferase ",0.415161281401492,0.162862786223205,0.0340734368583328,TRUE
"K00598: trans-aconitate 2-methyltransferase ",0.471850604814078,0.186423508787941,0.0354432272481076,TRUE
"K00611: ornithine carbamoyltransferase ",0.260562290557999,0.0886543673571733,0.0127502372210037,TRUE
"K00639: glycine C-acetyltransferase ",0.507298683977703,0.181088514591125,0.0182823496281238,TRUE
"K00697: trehalose 6-phosphate synthase ",0.395920681835945,0.148789109231806,0.0263044577557737,TRUE
"K00772: 5'-methylthioadenosine phosphorylase ",0.463033741725577,0.167454821594235,0.0201605726607843,TRUE
"K00851: gluconokinase ",0.569307874370343,0.191484329745763,0.011644593680006,TRUE
"K00867: type I pantothenate kinase ",0.483670492841579,0.182687420843185,0.0270543563002941,TRUE
"K00872: homoserine kinase ",0.343249866835222,0.131807282184903,0.0300399222989301,TRUE
"K00880: L-xylulokinase ",0.515613173407746,0.173594042504834,0.0117294202568128,TRUE
"K00982: ",0.665115768248097,0.183264200699178,0.00161540451517473,TRUE
"K00989: ribonuclease PH ",0.359859692569296,0.120737020934322,0.0114429776904682,TRUE
"K00990: ",0.420997596322983,0.164779445896875,0.0336578448463558,TRUE
"K01007: pyruvate, water dikinase ",0.8393906685485,0.177562357599465,2.18069374818861e-05,TRUE
"K01039: glutaconate CoA-transferase, subunit A ",0.41685617938796,0.175092728572973,0.0496087020804616,TRUE
"K01087: trehalose 6-phosphate phosphatase ",0.369676433576799,0.148962715509938,0.0398925680769754,TRUE
"K01156: type III restriction enzyme ",0.478501367977646,0.12689229721247,0.000988860737101386,TRUE
"K01256: aminopeptidase N ",0.457661384860007,0.14930874935216,0.00919203819198494,TRUE
"K01271: Xaa-Pro dipeptidase ",0.616158954927476,0.176891061382149,0.0025961010551244,TRUE
"K01304: pyroglutamyl-peptidase ",0.529338418823904,0.185195929567803,0.015797087673298,TRUE
"K01354: oligopeptidase B ",0.649174334793123,0.205897732148628,0.00714376277619126,TRUE
"K01419: ATP-dependent HslUV protease, peptidase subunit HslV ",0.910801605293484,0.193230799588183,2.31468701043917e-05,TRUE
"K01426: amidase ",0.41379987442631,0.157516932071451,0.0284781687559518,TRUE
"K01494: dCTP deaminase ",0.669767250959743,0.170547701721114,0.000556693611551367,TRUE
"K01499: methenyltetrahydromethanopterin cyclohydrolase ",0.363499031086465,0.152471938286535,0.0492894992753157,TRUE
"K01523: phosphoribosyl-ATP pyrophosphohydrolase ",0.317649834853702,0.111998482651855,0.0167398662766495,TRUE
"K01575: acetolactate decarboxylase ",0.48004637673821,0.164049311622556,0.0131888577505799,TRUE
"K01627: 2-dehydro-3-deoxyphosphooctonate aldolase (KDO 8-P synthase) ",0.41934388942646,0.17279578837911,0.0452652195366405,TRUE
"K01641: hydroxymethylglutaryl-CoA synthase ",0.592175687149538,0.177141460941477,0.00403180982555299,TRUE
"K01643: citrate lyase subunit alpha / citrate CoA-transferase ",0.748704632014276,0.169034740393493,7.89689816548275e-05,TRUE
"K01646: citrate lyase subunit gamma (acyl carrier protein)",0.410093297082443,0.168170962629355,0.0440418480179182,TRUE
"K01679: fumarate hydratase, class II ",0.651039531241222,0.134433356998496,1.32249119575958e-05,TRUE
"K01684: galactonate dehydratase ",0.455881360605734,0.170206752260835,0.0251389591375494,TRUE
"K01697: cystathionine beta-synthase ",0.662878215179444,0.212492962108532,0.00784938628940974,TRUE
"K01699: propanediol dehydratase large subunit ",0.366004419459269,0.138253104364468,0.0270543563002941,TRUE
"K01760: cysteine-S-conjugate beta-lyase ",0.524117905732503,0.195327664555255,0.0248697670724403,TRUE
"K01802: peptidylprolyl isomerase ",0.644935621114896,0.216366163621372,0.0114429776904682,TRUE
"K01823: isopentenyl-diphosphate Delta-isomerase ",0.824469753527828,0.185987118046933,7.79410843721483e-05,TRUE
"K01858: myo-inositol-1-phosphate synthase ",0.741577741698746,0.219353645059752,0.0035994370821797,TRUE
"K01875: seryl-tRNA synthetase ",0.232947195894511,0.0698399551567651,0.00413668219464896,TRUE
"K01879: glycyl-tRNA synthetase beta chain ",0.423795201844399,0.149064892679249,0.0164699066193343,TRUE
"K01894: glutamyl-Q tRNA(Asp) synthetase ",0.418825168580702,0.176064511891173,0.0498328571391779,TRUE
"K01902: succinyl-CoA synthetase alpha subunit ",0.43723818100719,0.17830510783006,0.0427642496093301,TRUE
"K02000: glycine betaine/proline transport system ATP-binding protein ",0.544573726858116,0.178219209481657,0.00941238428210754,TRUE
"K02032: peptide/nickel transport system ATP-binding protein",0.385306293938921,0.0945905504306192,0.000319743990693744,TRUE
"K02053: putative spermidine/putrescine transport system permease protein",0.597368111435661,0.170369474192697,0.00240645958839331,TRUE
"K02066: phospholipid/cholesterol/gamma-HCH transport system permease protein",0.289915928556383,0.107172799704049,0.0235386282637465,TRUE
"K02068: putative ABC transport system ATP-binding protein",0.508035699815683,0.197031652590816,0.0320508227326918,TRUE
"K02074: zinc/manganese transport system ATP-binding protein",0.595456317041902,0.190721909130073,0.0078091098835182,TRUE
"K02075: zinc/manganese transport system permease protein",0.333419940952729,0.139561893450408,0.0488192267854639,TRUE
"K02077: zinc/manganese transport system substrate-binding protein",0.545638717753138,0.206229723863902,0.0271295647972234,TRUE
"K02099: AraC family transcriptional regulator, arabinose operon regulatory protein",0.327778349640637,0.136501509458312,0.0475633027741004,TRUE
"K02221: YggT family protein",0.700502095125137,0.194662748597467,0.00177643115588638,TRUE
"K02322: DNA polymerase II large subunit ",0.425075613442961,0.161917276578314,0.0285458385811374,TRUE
