"taxon","IBD vs Control"
"Prevotella",-5.07407268547452
"Faecalibacterium",-4.29560962324892
"Oscillospiraceae_unclassified",-3.96381670820693
"Peptoniphilus",-3.77673634763884
"Gemmiger",-3.72582764381811
"Varibaculum",-3.63292569591361
"Porphyromonas",-3.45631798908971
"Coprococcus",-3.35166253521398
"Finegoldia",-3.33507436011598
"Eubacteriales_unclassified",-3.26156599294204
"Levyella",-3.25968492217825
"Alistipes",-3.16835662648827
"GGB4277",-3.01034417670935
"Sutterella",-2.99778293017604
"Ezakiella",-2.97396985138376
"GGB9715",-2.8609267349234
"Lachnospira",-2.74110558748443
"Lawsonella",-2.73122712091955
"Fusicatenibacter",-2.72492656460929
"Candidatus_Cibionibacter",-2.71677947559155
"Dorea",-2.70880416696075
"Oscillibacter",-2.69224385081093
"Fenollaria",-2.6604990402166
"Agathobaculum",-2.65972091934756
"Lachnospiraceae_unclassified",-2.47523810204517
"Clostridiaceae_unclassified",-2.18989093081405
"Clostridium",-1.98256836157342
"Anaerococcus",-1.88953954968728
"Anaerobutyricum",-1.88541367812435
"Ruminococcus",-1.82524358016054
"Brotolimicola",-1.75912124623501
"Odoribacter",-1.57037840076432
"Methanobrevibacter",-1.56984787082759
"GGB9708",-1.47640441628502
"Anaerostipes",-1.45187633990284
"Oliverpabstia",-1.37952164403437
"Roseburia",-1.21636011083821
"Wujia",-1.21188342558225
"Campylobacter",-1.21064203163721
"Anaerotignum",-1.20754141255703
"Faecalicatena",-1.1325852380395
"Dysosmobacter",-1.08403245680169
"Dialister",-1.06698917708181
"Corynebacterium",-1.0194200700116
"Vescimonas",-0.979007391338703
"Eubacterium",-0.978577518773987
"Butyricimonas",-0.956464267480187
"Phocaeicola",-0.919621870208871
"GGB32900",-0.918847358472048
"GGB9365",-0.896274649024435
"Evtepia",-0.860902038466641
"Peptococcus",-0.856923218919845
"GGB9512",-0.840228211916213
"Desulfovibrio",-0.839523955678937
"Eubacteriales_Family_XIII_Incertae_Sedis_unclassified",-0.80208307237208
"Akkermansia",-0.733858828096205
"Slackia",-0.726186535149648
"GGB51647",-0.722975896522899
"Urinicoccus",-0.701993539621833
"GGB9699",-0.672040074222159
"Ruthenibacterium",-0.600673037992979
"Lacrimispora",-0.599368724015469
"Facklamia",-0.521554187983209
"GGB9760",-0.517635108889111
"Flavonifractor",-0.44928249203675
"GGB9345",-0.411234033161775
"GGB10524",-0.346694255878175
"GGB1456",-0.325936087707842
"GGB9524",-0.32401440358823
"Barnesiella",-0.301257603086589
"Frisingicoccus",-0.279489512843086
"GGB9635",-0.243223829755522
"GGB4260",-0.242918318418625
"GGB1455",-0.186650439447121
"GGB9342",-0.158406284169409
"Olegusella",-0.137210044126508
"Negativibacillus",-0.0182639886457628
"Bilophila",-0.0105757470733782
