"taxon","IBD vs Control"
"Escherichia",6.11538862334038
"Faecalimonas",6.09966457211899
"Klebsiella",6.0916945031129
"Enterococcus",3.76528007088774
"Lachnoclostridium",3.38917657549014
"GGB3167",3.14675599503301
"Erysipelatoclostridium",2.80771338082164
"GGB9719",2.47518625715193
"Eggerthella",2.38811110352553
"Intestinimonas",2.22196325758221
"Anaerotruncus",2.20799480246129
"GGB3550",2.20267902041968
"GGB3433",2.14085696487717
"Firmicutes_unclassified",2.08749864313025
"Blautia",1.98960781950675
"Veillonella",1.93639688978052
"Eisenbergiella",1.77731440352543
"Fusobacterium",1.69833796073865
"Gordonibacter",1.68946259926497
"Collinsella",1.64800531528062
"Tyzzerella",1.57904272426038
"GGB9453",1.50156387037326
"Acidaminococcus",1.48363136604753
"Megasphaera",1.4430354290187
"Neglectibacter",1.39210719672723
"Bacteroides",1.35372450161574
"Adlercreutzia",1.33536641968419
"Schaalia",1.20925529659337
"GGB9480",1.19639118556247
"Actinomyces",1.11896780469869
"Bifidobacterium",1.03928027468597
"Clostridia_unclassified",1.01954869722822
"Paraprevotella",0.996597191808353
"Sellimonas",0.960220332348438
"GGB2980",0.864761760508193
"Pseudoflavonifractor",0.823497918965861
"GGB3109",0.78723185602632
"GGB33512",0.783131533091425
"Hungatella",0.632387100168439
"Alterileibacterium",0.618355092838068
"Parabacteroides",0.586521567333771
"Lagierella",0.566441090114045
"Parasutterella",0.514665316222637
"GGB38744",0.476396872405245
"Enterocloster",0.427794337043758
"GGB36331",0.411921828862768
"Phascolarctobacterium",0.398705153160295
"Arcanobacterium",0.398489800130458
"GGB1215",0.366469356349943
"Streptococcus",0.357258784696668
"GGB9770",0.336110153466961
"Mobiluncus",0.244192024274924
"Monoglobus",0.233081273900148
"GGB3653",0.232726213533564
"Lawsonibacter",0.156091766547771
"Peptostreptococcus",0.154801981080818
"GGB2945",0.152065151232529
"Mediterraneibacter",0.135907319632358
"Mogibacterium",0.0920920194214001
"Brevibacterium",0.0571552927199034
"Lentihominibacter",0.0536645460002245
"GGB9730",0.0380540225253726
