"taxon","PD vs Control"
"Fusicatenibacter",-4.53053354087916
"Agathobaculum",-3.73059512341176
"Dorea",-3.46138422524539
"Lachnospira",-3.41727759540837
"GGB51647",-3.18895102850531
"Lachnospiraceae_unclassified",-3.11181610309876
"Roseburia",-3.10450487847842
"Anaerostipes",-2.96212874002012
"Coprococcus",-2.8332893672
"Oliverpabstia",-2.7259259655931
"Desulfovibrio",-2.55904637789106
"GGB9715",-2.5565658514704
"Faecalibacterium",-2.54093767335671
"Lacrimispora",-2.52830890686258
"Brotolimicola",-2.52236643377248
"Clostridium",-2.46715330442345
"Streptococcus",-2.40028289707162
"Eubacterium",-2.36417471578567
"Clostridiaceae_unclassified",-2.35265291556082
"Mediterraneibacter",-2.27607522595798
"Sutterella",-2.23204934257442
"Faecalicatena",-2.22741689499146
"GGB32900",-2.18842319825626
"Gemmiger",-1.9633650122734
"Negativibacillus",-1.92438057988259
"Monoglobus",-1.91917837362841
"Butyricimonas",-1.89184721348408
"Odoribacter",-1.86611577246882
"Alistipes",-1.82856323282135
"Wujia",-1.80567185221378
"GGB9730",-1.79095669540377
"Eubacteriales_unclassified",-1.7655415631799
"GGB9365",-1.72435132186157
"Bifidobacterium",-1.71696556757238
"Anaerobutyricum",-1.7122674546804
"Slackia",-1.70833343016492
"Phocaeicola",-1.69428657747744
"Candidatus_Cibionibacter",-1.64295434428564
"Methanobrevibacter",-1.59312417821194
"Anaerotignum",-1.58532378544341
"Oscillospiraceae_unclassified",-1.48377279319378
"Brevibacterium",-1.42678643208191
"Blautia",-1.39905083564581
"GGB9512",-1.39386593813529
"Lawsonibacter",-1.3621288599313
"GGB9699",-1.32813472891147
"GGB4260",-1.32423690941475
"GGB10524",-1.28410089803083
"GGB9760",-1.2642853699732
"Parasutterella",-1.25307397947423
"Mogibacterium",-1.24603666618353
"Paraprevotella",-1.22404187737932
"Dialister",-1.13418682148265
"Ruminococcus",-1.12819941933012
"Facklamia",-1.00663988286473
"Escherichia",-0.981658541057986
"GGB3653",-0.974626312525713
"Barnesiella",-0.973688873970802
"GGB9635",-0.958043450110385
"Klebsiella",-0.938002977830244
"Schaalia",-0.936252050678662
"GGB9708",-0.915415557863668
"Corynebacterium",-0.886075386943748
"Megasphaera",-0.826951390828677
"Collinsella",-0.809176611046432
"GGB9342",-0.788454647348669
"GGB9524",-0.76450029406208
"Neglectibacter",-0.735270349151307
"Urinicoccus",-0.676309610487589
"Oscillibacter",-0.665020565784593
"GGB9345",-0.642253698701449
"GGB38744",-0.622193525447043
"GGB36331",-0.480378842368324
"Frisingicoccus",-0.447595303047042
"Olegusella",-0.445225041250795
"Vescimonas",-0.362052217701956
"Parabacteroides",-0.332370577980094
"GGB2980",-0.323322241400818
"Veillonella",-0.25156309142527
"Lentihominibacter",-0.251168456370117
"Pseudoflavonifractor",-0.237328507533652
"GGB1455",-0.214449820470515
"GGB33512",-0.162215145782148
"Clostridia_unclassified",-0.159376851190073
"Acidaminococcus",-0.156064434926262
"Firmicutes_unclassified",-0.10595318481869
"Actinomyces",-0.0930155766085
"Peptostreptococcus",-0.0740810604286715
