"taxon","PD vs Control"
"Mobiluncus",4.60050582284868
"Erysipelatoclostridium",3.38797584506038
"Eisenbergiella",2.85002498574334
"Lachnoclostridium",2.50966320315003
"GGB3109",1.82803879832807
"Eubacteriales_Family_XIII_Incertae_Sedis_unclassified",1.78233383347744
"Alterileibacterium",1.72071025711093
"Peptoniphilus",1.70580226533231
"Tyzzerella",1.67075001933227
"Prevotella",1.59682966785806
"Gordonibacter",1.55626456575633
"GGB1456",1.42794716327071
"Porphyromonas",1.40655678947976
"GGB1215",1.34691814959839
"GGB3167",1.33395868582862
"Eggerthella",1.33028461659263
"Flavonifractor",1.31494421324766
"Fenollaria",1.25785980850799
"Intestinimonas",1.25557113364121
"Varibaculum",1.24792569999323
"Ruthenibacterium",1.20396245374326
"Bilophila",0.94945211565488
"Peptococcus",0.943268354850465
"GGB9480",0.894423158861579
"Campylobacter",0.851482482066689
"GGB3433",0.815815437698511
"Anaerotruncus",0.781079133060094
"Anaerococcus",0.731437847729426
"GGB2945",0.717566131027198
"Dysosmobacter",0.707521251809235
"Hungatella",0.706303952981612
"Phascolarctobacterium",0.696292565385525
"GGB9453",0.626193184877636
"Sellimonas",0.584239424039377
"GGB4277",0.577884008914228
"GGB9719",0.564754238163395
"Lagierella",0.501900743317591
"GGB3550",0.469876185760522
"Enterocloster",0.436990811094124
"Enterococcus",0.426660726688671
"Adlercreutzia",0.357804351349738
"Akkermansia",0.349181638756092
"Faecalimonas",0.307261505388762
"Levyella",0.299412440072089
"Lawsonella",0.267579861865398
"GGB9770",0.257660569578086
"Ezakiella",0.233122566642255
"Finegoldia",0.228148008326946
"Bacteroides",0.220331596314301
"Arcanobacterium",0.100439959712942
"Fusobacterium",0.0846318906124452
"Evtepia",0.0730053394878646
