"taxon","PD vs IBD"
"Escherichia",-7.09704716439836
"Klebsiella",-7.02969748094314
"Faecalimonas",-5.79240306673023
"Blautia",-3.38865865515257
"Enterococcus",-3.33861934419907
"Streptococcus",-2.75754168176829
"Bifidobacterium",-2.75624584225834
"GGB51647",-2.46597513198241
"Collinsella",-2.45718192632705
"Mediterraneibacter",-2.41198254559034
"Megasphaera",-2.26998681984738
"Paraprevotella",-2.22063906918767
"Firmicutes_unclassified",-2.19345182794894
"Veillonella",-2.18795998120579
"Monoglobus",-2.15225964752856
"Schaalia",-2.14550734727203
"Neglectibacter",-2.12737754587854
"Lacrimispora",-1.92894018284711
"GGB9719",-1.91043201898854
"Negativibacillus",-1.90611659123682
"Roseburia",-1.88814476764021
"GGB9730",-1.82901071792914
"GGB3167",-1.81279730920439
"Fusicatenibacter",-1.80560697626987
"Parasutterella",-1.76773929569687
"GGB3550",-1.73280283465916
"Desulfovibrio",-1.71952242221213
"Acidaminococcus",-1.63969580097379
"Fusobacterium",-1.6137060701262
"Lawsonibacter",-1.51822062647907
"Anaerostipes",-1.51025240011728
"Brevibacterium",-1.48394172480181
"Anaerotruncus",-1.4269156694012
"Eubacterium",-1.38559719701168
"Oliverpabstia",-1.34640432155873
"Mogibacterium",-1.33812868560493
"GGB3433",-1.32504152717866
"GGB32900",-1.26957583978421
"Actinomyces",-1.21198338130719
"GGB3653",-1.20735252605928
"GGB2980",-1.18808400190901
"Clostridia_unclassified",-1.1789255484183
"Bacteroides",-1.13339290530144
"GGB38744",-1.09859039785229
"Faecalicatena",-1.09483165695196
"GGB4260",-1.08131859099612
"Agathobaculum",-1.0708742040642
"Pseudoflavonifractor",-1.06082642649951
"Eggerthella",-1.0578264869329
"Slackia",-0.98214689501527
"Adlercreutzia",-0.977562068334452
"Intestinimonas",-0.966392123941005
"GGB33512",-0.945346678873573
"GGB10524",-0.937406642152657
"Butyricimonas",-0.93538294600389
"Parabacteroides",-0.918892145313866
"GGB36331",-0.892300671231091
"Lachnoclostridium",-0.879513372340111
"GGB9453",-0.875370685495627
"GGB9365",-0.828076672837132
"Phocaeicola",-0.774664707268569
"Brotolimicola",-0.763245187537468
"Dorea",-0.752580058284641
"GGB9760",-0.746650261084093
"GGB9635",-0.714819620354863
"Lachnospira",-0.676172007923941
"Barnesiella",-0.672431270884213
"GGB9699",-0.656094654689309
"Lachnospiraceae_unclassified",-0.63657800105359
"GGB9342",-0.630048363179261
"Wujia",-0.593788426631523
"GGB9512",-0.553637726219073
"Facklamia",-0.48508569488152
"Clostridium",-0.48458494285003
"GGB9524",-0.44048589047385
"Anaerotignum",-0.377782372886383
"Sellimonas",-0.375980908309061
"Olegusella",-0.308014997124287
"Lentihominibacter",-0.304833002370341
"GGB9480",-0.301968026700888
"Arcanobacterium",-0.298049840417516
"Odoribacter",-0.295737371704499
"GGB9345",-0.231019665539674
"Peptostreptococcus",-0.228883041509489
"Frisingicoccus",-0.168105790203956
"Clostridiaceae_unclassified",-0.162761984746775
"Gordonibacter",-0.133198033508647
"GGB9770",-0.078449583888875
"Dialister",-0.0671976444008469
"Lagierella",-0.0645403467964534
"GGB1455",-0.0277993810233937
"Methanobrevibacter",-0.0232763073843498
