"taxon","PD vs IBD"
"Prevotella",6.67090235333258
"Peptoniphilus",5.48253861297114
"Varibaculum",4.88085139590684
"Porphyromonas",4.86287477856946
"Mobiluncus",4.35631379857375
"Fenollaria",3.91835884872459
"GGB4277",3.58822818562357
"Finegoldia",3.56322236844293
"Levyella",3.55909736225034
"Ezakiella",3.20709241802602
"Lawsonella",2.99880698278495
"Anaerococcus",2.62097739741671
"Eubacteriales_Family_XIII_Incertae_Sedis_unclassified",2.58441690584952
"Oscillospiraceae_unclassified",2.48004391501315
"Campylobacter",2.06212451370389
"Oscillibacter",2.02722328502634
"Ruthenibacterium",1.80463549173624
"Peptococcus",1.80019157377031
"Dysosmobacter",1.79155370861093
"Flavonifractor",1.76422670528441
"Gemmiger",1.76246263154471
"Faecalibacterium",1.75467194989222
"GGB1456",1.75388325097855
"Eubacteriales_unclassified",1.49602442976214
"Alistipes",1.33979339366692
"Alterileibacterium",1.10235516427287
"Akkermansia",1.0830404668523
"Candidatus_Cibionibacter",1.07382513130591
"Eisenbergiella",1.0727105822179
"GGB3109",1.04080694230175
"GGB1215",0.980448793248442
"Bilophila",0.960027862728258
"Evtepia",0.933907377954505
"Sutterella",0.76573358760162
"Ruminococcus",0.697044160830415
"Vescimonas",0.616955173636746
"Erysipelatoclostridium",0.580262464238748
"GGB2945",0.56550097979467
"GGB9708",0.560988858421357
"Coprococcus",0.518373168013979
"GGB9715",0.304360883452992
"Phascolarctobacterium",0.29758741222523
"Anaerobutyricum",0.173146223443952
"Corynebacterium",0.133344683067849
"Tyzzerella",0.0917072950718893
"Hungatella",0.0739168528131734
"Urinicoccus",0.0256839291342439
"Enterocloster",0.00919647405036572
