"taxon","Comparison","LFC","Adj P Value","Significance","Standard_error"
"ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation","PD vs IBD",-3.08864842779093,5.74992055097568e-08,TRUE,0.534091003842604
"ORNARGDEG-PWY: superpathway of L-arginine and L-ornithine degradation","PD vs IBD",-3.08864842779093,5.74992055097568e-08,TRUE,0.534091003842604
"AST-PWY: L-arginine degradation II (AST pathway)","PD vs IBD",-3.55013579986182,1.89776271133623e-07,TRUE,0.636362493093171
"PWY-7858: (5Z)-dodecenoate biosynthesis II","PD vs IBD",-3.42429768392697,1.57470085585037e-06,TRUE,0.658715679598533
"PWY0-301: L-ascorbate degradation I (bacterial, anaerobic)","PD vs IBD",-3.17954343428638,1.97655715155716e-06,TRUE,0.616665556484505
"PWY0-1338: polymyxin resistance","PD vs IBD",-3.12831945665595,2.75633172603962e-06,TRUE,0.61419482471059
"PWY-7118: chitin deacetylation","PD vs IBD",-3.1880679881082,2.96352202403577e-06,TRUE,0.62762008672993
"GLYCOL-GLYOXDEG-PWY: superpathway of glycol metabolism and degradation","PD vs IBD",-2.81829471525571,3.26931809707471e-06,TRUE,0.556873436980201
"ECASYN-PWY: enterobacterial common antigen biosynthesis","PD vs IBD",-2.6306181208628,4.32144489141765e-06,TRUE,0.525338667010827
"GLUCARDEG-PWY: D-glucarate degradation I","PD vs IBD",-3.27112530676866,4.52293590374356e-06,TRUE,0.654396584974835
"PWY0-1277: 3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation","PD vs IBD",-3.27386081830848,4.70637918736651e-06,TRUE,0.655950708962884
"KDO-NAGLIPASYN-PWY: superpathway of (Kdo)2-lipid A biosynthesis","PD vs IBD",-2.57392330186517,6.99092805004007e-06,TRUE,0.523789423389585
"GALACTARDEG-PWY: D-galactarate degradation I","PD vs IBD",-3.2376209231096,1.03919840100811e-05,TRUE,0.66951306299474
"GLUCARGALACTSUPER-PWY: superpathway of D-glucarate and D-galactarate degradation","PD vs IBD",-3.2376209231096,1.03919840100811e-05,TRUE,0.66951306299474
"PWY0-166: superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis (E. coli)","PD vs IBD",-3.12583785004559,1.04440863619833e-05,TRUE,0.646530255447525
"FAO-PWY: fatty acid &beta;-oxidation I (generic)","PD vs IBD",-3.63551070525881,1.0651706660197e-05,TRUE,0.752557791066441
"PWY-5138: fatty acid &beta;-oxidation IV (unsaturated, even number)","PD vs IBD",-3.19800634090838,1.27088625665687e-05,TRUE,0.666862725078662
"HCAMHPDEG-PWY: 3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-hydroxypentadienoate","PD vs IBD",-3.02314957563863,1.32989100438108e-05,TRUE,0.631599901053567
"PWY-6690: cinnamate and 3-hydroxycinnamate degradation to 2-hydroxypentadienoate","PD vs IBD",-3.02314957563863,1.32989100438108e-05,TRUE,0.631599901053567
"PWY-5747: 2-methylcitrate cycle II","PD vs IBD",-2.63129630539062,1.33478883407035e-05,TRUE,0.549818258577991
"PWY-6285: superpathway of fatty acids biosynthesis (E. coli)","PD vs IBD",-3.44862124366491,1.53946289147553e-05,TRUE,0.724953034691845
"PWY-561: superpathway of glyoxylate cycle and fatty acid degradation","PD vs IBD",-3.45750601984692,1.57314187461527e-05,TRUE,0.727489393611488
"ORNDEG-PWY: superpathway of ornithine degradation","PD vs IBD",-3.40585686973312,1.64416008772536e-05,TRUE,0.717971340889114
"PWY-6961: L-ascorbate degradation II (bacterial, aerobic)","PD vs IBD",-3.04111690391385,1.92424374954346e-05,TRUE,0.645429340119158
"PWY0-42: 2-methylcitrate cycle I","PD vs IBD",-2.9835662114746,2.24936798936949e-05,TRUE,0.637532375203393
"PWY-5855: ubiquinol-7 biosynthesis (early decarboxylation)","PD vs IBD",-2.48143697582073,2.48090586495838e-05,TRUE,0.532527050430352
"DARABCATK12-PWY: D-arabinose degradation I","PD vs IBD",-2.32881633275923,2.85473544137711e-05,TRUE,0.502901085376876
"PWY0-1337: oleate &beta;-oxidation","PD vs IBD",-2.82259387868714,2.92714687147881e-05,TRUE,0.610214637879599
"PWY-7094: fatty acid salvage","PD vs IBD",-2.79570383261149,3.25201168624661e-05,TRUE,0.607271153710521
"PWY-5675: nitrate reduction V (assimilatory)","PD vs IBD",-3.17494533084241,4.53242514975071e-05,TRUE,0.700233084565945
"P122-PWY: heterolactic fermentation","PD vs IBD",-2.68395448839755,5.36006065280481e-05,TRUE,0.596620837870804
"PWY0-1415: superpathway of heme b biosynthesis from uroporphyrinogen-III","PD vs IBD",-3.08067138709155,7.85657789728254e-05,TRUE,0.697520817790362
"PWY-7385: 1,3-propanediol biosynthesis (engineered)","PD vs IBD",-2.73105876159254,8.97416302959527e-05,TRUE,0.622427557785157
"PWY-7269: mitochondrial NADPH production (yeast)","PD vs IBD",-2.39589213030153,0.000172116072218633,TRUE,0.564547530530764
"PWY-5860: superpathway of demethylmenaquinol-6 biosynthesis I","PD vs IBD",-2.836232146962,0.00017337121378875,TRUE,0.668562253781367
"HEXITOLDEGSUPER-PWY: superpathway of hexitol degradation (bacteria)","PD vs IBD",-2.99173725043065,0.000194248430425212,TRUE,0.709496465627765
"PWY-5136: fatty acid &beta;-oxidation II (plant peroxisome)","PD vs IBD",-2.82238861260481,0.000203509475829677,TRUE,0.671009036567874
"PWY-5850: superpathway of menaquinol-6 biosynthesis","PD vs IBD",-2.92024052936377,0.000216394319918228,TRUE,0.696575125749351
"PWY-5896: superpathway of menaquinol-10 biosynthesis","PD vs IBD",-2.92024052936377,0.000216394319918228,TRUE,0.696575125749351
"TCA-GLYOX-BYPASS: superpathway of glyoxylate bypass and TCA","PD vs IBD",-3.10356588396288,0.000238765387301189,TRUE,0.744275153953551
"PWY-6803: phosphatidylcholine acyl editing","PD vs IBD",-3.04604905717,0.000261145098951088,TRUE,0.734084504555063
"SO4ASSIM-PWY: assimilatory sulfate reduction I","PD vs IBD",-2.64913893960218,0.000303551436737313,TRUE,0.643795741647381
"PWY-5723: Rubisco shunt","PD vs IBD",-3.18223805902902,0.000361781116662662,TRUE,0.781068114089872
"METHGLYUT-PWY: superpathway of methylglyoxal degradation","PD vs IBD",-2.12972019859922,0.000442864628442801,TRUE,0.528873872262331
"HEME-BIOSYNTHESIS-II-1: heme b biosynthesis V (aerobic)","PD vs IBD",-2.88733936757867,0.000481150968829873,TRUE,0.720511037107143
"PWY-7616: methanol oxidation to carbon dioxide","PD vs IBD",-1.71601931230764,0.000694463790815128,TRUE,0.437969991472219
"PWY0-41: allantoin degradation IV (anaerobic)","PD vs IBD",-1.87203489525701,0.000718716498215394,TRUE,0.478596814866405
"PWY-7807: glyphosate degradation III","PD vs IBD",-1.95368891047199,0.000728647972766923,TRUE,0.499895824996486
"GLYCOLYSIS-TCA-GLYOX-BYPASS: superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass","PD vs IBD",-2.23438969446813,0.000764989379053072,TRUE,0.5734476262736
"PWY-5862: superpathway of demethylmenaquinol-9 biosynthesis","PD vs IBD",-2.50632977875214,0.000771186739359419,TRUE,0.649100626465604
"GALACTITOLCAT-PWY: galactitol degradation","PD vs IBD",-2.53966573355447,0.000771294003273986,TRUE,0.652128496024875
"NAD-BIOSYNTHESIS-II: NAD salvage pathway III (to nicotinamide riboside)","PD vs IBD",-2.17817379594362,0.000780805266589741,TRUE,0.559732753345898
"P221-PWY: octane oxidation","PD vs IBD",-2.16972457053254,0.000837734615706823,TRUE,0.560023263946351
"PWY-7211: superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis","PD vs IBD",-2.31070796084033,0.00091813057011497,TRUE,0.599876795522136
"UBISYN-PWY: superpathway of ubiquinol-8 biosynthesis (early decarboxylation)","PD vs IBD",-1.93953528639939,0.000956088525908315,TRUE,0.504818907609214
