"taxon","Comparison","LFC","Adj P Value","Significance","Standard_error"
"ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation","IBD vs Control",2.77324412639309,1.40240625490376e-06,TRUE,0.533870118794361
"ORNARGDEG-PWY: superpathway of L-arginine and L-ornithine degradation","IBD vs Control",2.77324412639309,1.40240625490376e-06,TRUE,0.533870118794361
"PWY0-301: L-ascorbate degradation I (bacterial, anaerobic)","IBD vs Control",3.09856604148476,1.01143885610476e-05,TRUE,0.643661368759952
"HCAMHPDEG-PWY: 3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-hydroxypentadienoate","IBD vs Control",3.05398019815113,2.8206377194324e-05,TRUE,0.663199519169622
"PWY-6690: cinnamate and 3-hydroxycinnamate degradation to 2-hydroxypentadienoate","IBD vs Control",3.05398019815113,2.8206377194324e-05,TRUE,0.663199519169622
"AST-PWY: L-arginine degradation II (AST pathway)","IBD vs Control",3.06421218543581,3.21733134382993e-05,TRUE,0.669413331600003
"PWY0-1277: 3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation","IBD vs Control",3.09112733528236,5.91463144568935e-05,TRUE,0.694889770019474
"DARABCATK12-PWY: D-arabinose degradation I","IBD vs Control",2.114130898354,0.000115593157707175,TRUE,0.491405225903736
"PWY-5855: ubiquinol-7 biosynthesis (early decarboxylation)","IBD vs Control",2.26153479007026,0.000144213478066586,TRUE,0.531756017433292
"KDO-NAGLIPASYN-PWY: superpathway of (Kdo)2-lipid A biosynthesis","IBD vs Control",2.17687120340554,0.000193256596977385,TRUE,0.519916485635691
"PWY-7858: (5Z)-dodecenoate biosynthesis II","IBD vs Control",2.9200688017209,0.000198719795096132,TRUE,0.698475920678266
"PWY0-1338: polymyxin resistance","IBD vs Control",2.66438519396081,0.000217200296225665,TRUE,0.640420912687945
"PWY-5747: 2-methylcitrate cycle II","IBD vs Control",2.18265338144195,0.000574990900934403,TRUE,0.555048590762049
"PWY-7805: (aminomethyl)phosphonate degradation","IBD vs Control",1.88618732520433,0.000587556291095782,TRUE,0.476322809262041
"PWY-7616: methanol oxidation to carbon dioxide","IBD vs Control",1.56985849898583,0.000694463790815128,TRUE,0.400495742035071
"PWY-7409: phospholipid remodeling (phosphatidylethanolamine, yeast)","IBD vs Control",1.81158495947665,0.000702835443402006,TRUE,0.462504858153451
"PWY-5862: superpathway of demethylmenaquinol-9 biosynthesis","IBD vs Control",2.67676711712279,0.000747477961552963,TRUE,0.685994854330796
"PWY-7807: glyphosate degradation III","IBD vs Control",1.88047375352903,0.000777814799805555,TRUE,0.48727749474427
"PWY-6285: superpathway of fatty acids biosynthesis (E. coli)","IBD vs Control",3.02275034749492,0.000785296021981398,TRUE,0.783745019079236
"PWY-5845: superpathway of menaquinol-9 biosynthesis","IBD vs Control",2.76273411306809,0.000965838648508607,TRUE,0.71954609995633
