"taxon","Comparison","LFC","Adj P Value","Significance","Standard_error"
"PWY-7383: anaerobic energy metabolism (invertebrates, cytosol)","PD vs IBD",3.62863900548208,1.96970521025e-09,TRUE,0.573594602159182
"PWY66-399: gluconeogenesis III","PD vs IBD",3.55508980787303,5.39675280423456e-08,TRUE,0.616059867054023
"PWY-5130: 2-oxobutanoate degradation I","PD vs IBD",2.34436860839554,0.00032693057918201,TRUE,0.576578019910313
"PWY-5022: 4-aminobutanoate degradation V","PD vs IBD",2.10303371665822,0.0016498809138433,TRUE,0.56746689282751
"P164-PWY: purine nucleobases degradation I (anaerobic)","PD vs IBD",1.89171120786344,0.00777127686183896,TRUE,0.574490017933769
"P42-PWY: incomplete reductive TCA cycle","PD vs IBD",2.02705424560397,0.008798583964307,TRUE,0.62221914804634
"PWY-6470: peptidoglycan biosynthesis V (&beta;-lactam resistance)","PD vs IBD",2.15976868029977,0.010401210142367,TRUE,0.681199640286852
"CENTFERM-PWY: pyruvate fermentation to butanoate","PD vs IBD",1.80998966934938,0.0127560167197166,TRUE,0.581847747941584
"PWY-6590: superpathway of Clostridium acetobutylicum acidogenic fermentation","PD vs IBD",1.88073013763499,0.0136122787991188,TRUE,0.608350402702419
"HISDEG-PWY: L-histidine degradation I","PD vs IBD",1.48500364207257,0.0150161414136638,TRUE,0.478585767750387
"PWY-5030: L-histidine degradation III","PD vs IBD",1.66589261984786,0.0174384462818815,TRUE,0.552128174208797
"PWY-5005: biotin biosynthesis II","PD vs IBD",1.64067920261193,0.0298887961452621,TRUE,0.575683607537575
"PWY-5690: TCA cycle II (plants and fungi)","PD vs IBD",1.73759033544827,0.0344603769219895,TRUE,0.610082743133729
"HSERMETANA-PWY: L-methionine biosynthesis III","PD vs IBD",1.10588800222165,0.0429516682619831,TRUE,0.40469913612852
