"taxon","IBD vs Control"
"Faecalibacterium_prausnitzii",-4.90840604865709
"Gemmiger_formicilis",-3.90329451734499
"Varibaculum_cambriense",-3.80589411139104
"Blautia_obeum",-3.68583483174147
"Finegoldia_magna",-3.50979802764907
"Levyella_massiliensis",-3.43440858971133
"Sutterella_wadsworthensis",-3.26477095655841
"GGB4277_SGB5832",-3.18506784424243
"Phocaeicola_massiliensis",-3.1728403722685
"Candidatus_Cibionibacter_quicibialis",-2.89150314312463
"Fusicatenibacter_saccharivorans",-2.86274214360702
"Agathobaculum_butyriciproducens",-2.83444458688064
"Eubacterium_rectale",-2.74805206523037
"Coprococcus_comes",-2.5930256732919
"Porphyromonas_bennonis",-2.59055290275624
"Alistipes_putredinis",-2.50720627905599
"Clostridiaceae_bacterium",-2.49477781404625
"Blautia_massiliensis",-2.42389789366376
"Dorea_formicigenerans",-2.41854186060012
"Dorea_sp_AF36_15AT",-2.41317621329564
"Clostridiales_bacterium_KLE1615",-2.34332246190626
"Dorea_longicatena",-2.33076239058905
"Blautia_faecis",-2.24942999125225
"Peptoniphilus_sp_Marseille_P3761",-2.24031066579896
"Oscillospiraceae_bacterium_CLA_AA_H250",-2.20733515504005
"Odoribacter_splanchnicus",-2.20135514530469
"Porphyromonas_somerae",-2.11525786481792
"Enterocloster_hominis",-2.05906000366454
"Roseburia_intestinalis",-2.01741456167305
"Oscillibacter_sp_ER4",-2.00900561078961
"GGB9715_SGB15265",-1.99650828479817
"Phocaeicola_dorei",-1.96181797827588
"Brotolimicola_acetigignens",-1.93384491376809
"Streptococcus_anginosus",-1.92774054596771
"Blautia_glucerasea",-1.92615587525237
"Blautia_SGB4815",-1.89645893918879
"Bacteroides_thetaiotaomicron",-1.89137738246333
"Mediterraneibacter_faecis",-1.87083514565795
"Anaerostipes_hadrus",-1.84974751371815
"Peptoniphilus_grossensis",-1.82953782927561
"Ruminococcus_bicirculans",-1.78732155907419
"Methanobrevibacter_smithii",-1.74457153836067
"Alistipes_finegoldii",-1.73146855753938
"Coprococcus_catus",-1.72322287512324
"Peptoniphilus_harei",-1.7203040318482
"Prevotella_timonensis",-1.69172872081096
"Prevotella_corporis",-1.67239679606527
"GGB9708_SGB15234",-1.64867947544756
"Ezakiella_SGB6726",-1.62313290878891
"Lachnospira_eligens",-1.57678085534948
"Oliverpabstia_intestinalis",-1.55424531156745
"Faecalibacterium_sp_HTFF",-1.53372837020999
"Bifidobacterium_adolescentis",-1.5288835024418
"Bacteroides_caccae",-1.5058843805431
"Clostridium_fessum",-1.50417791250241
"Peptoniphilus_pacaensis",-1.50107502498512
"Faecalicatena_fissicatena",-1.48793007489758
"Oscillibacter_valericigenes",-1.43503153013126
"Porphyromonas_sp_HMSC065F10",-1.43181664626952
"Lachnospiraceae_bacterium",-1.40760208574066
"Wujia_chipingensis",-1.38660709311534
"Anaerotignum_faecicola",-1.36120316834067
"Dysosmobacter_welbionis",-1.3151767669665
"Fenollaria_timonensis",-1.28291007474266
"Porphyromonas_SGB1977",-1.24385140248943
"Blautia_wexlerae",-1.23452376237519
"Faecalibacterium_SGB15346",-1.22063935864688
"Lachnospira_pectinoschiza",-1.17612484391975
"Peptoniphilus_lacrimalis",-1.16449871263337
"Prevotella_buccalis",-1.13652599019221
"Anaerobutyricum_hallii",-1.13550015341173
"GGB32900_SGB53446",-1.09357102600513
"Vescimonas_coprocola",-1.06595391963531
"Evtepia_gabavorous",-1.03562570599972
"Peptococcus_niger",-1.03164688645293
"GGB9512_SGB14909",-1.01495187944929
"Oscillospiraceae_bacterium",-0.999257973727093
"Lawsonella_SGB3665",-0.954753523200012
"Bacteroides_stercoris",-0.900552224533964
"GGB51647_SGB4348",-0.897699564055983
"Fenollaria_massiliensis",-0.854944953884012
"GGB9699_SGB15216",-0.846763741755241
"Peptoniphilus_gorbachii",-0.823221632252208
"Alistipes_shahii",-0.804174616753149
"GGB9365_SGB14341",-0.791444168220209
"Anaerococcus_obesiensis",-0.776455899048929
"Urinicoccus_timonensis",-0.775639226465863
"Ruthenibacterium_lactatiformans",-0.775396705526063
"Lacrimispora_amygdalina",-0.77409239154855
"Anaerococcus_SGB6678",-0.760664304742016
"Prevotella_bivia",-0.740072996826354
"GGB9524_SGB14924",-0.73075497811101
"Lawsonella_clevelandensis",-0.72781896987298
"Blautia_sp_MCC283",-0.710539302564821
"GGB10524_SGB17049",-0.698974114925241
"Flavonifractor_plautii",-0.67299823675009
"Bifidobacterium_bifidum",-0.65166546889376
"GGB9345_SGB14311",-0.585957700694858
"GGB9715_SGB15260",-0.581623319330056
"Clostridiales_bacterium",-0.560398274229398
"Anaerococcus_murdochii",-0.529271392976947
"Clostridium_sp_AM22_11AC",-0.520472985259906
"GGB1456_SGB2019",-0.500659755240923
"Porphyromonas_SGB1980",-0.48179126663412
"Anaerobutyricum_soehngenii",-0.481228895285857
"Barnesiella_intestinihominis",-0.47598127061967
"Roseburia_inulinivorans",-0.474095276020414
"Roseburia_faecis",-0.467941053789466
"Blautia_stercoris",-0.464385723833855
"Porphyromonas_uenonis",-0.454917422995349
"Porphyromonas_asaccharolytica",-0.449493267137432
"Lachnospiraceae_bacterium_CLA_AA_H244",-0.440829714390033
"Alistipes_onderdonkii",-0.390892688918097
"Clostridiaceae_bacterium_AF18_31LB",-0.390765409307203
"GGB9635_SGB15106",-0.381896982755764
"GGB1455_SGB2018",-0.361374106980204
"GGB9342_SGB14306",-0.333129951702487
"Olegusella_massiliensis",-0.311933711659592
"Bacteroides_uniformis",-0.285178682672111
"Mobiluncus_SGB15488",-0.266159502712633
"Oscillibacter_sp_MSJ_31",-0.2408207426825
"Schaalia_turicensis",-0.217363413651988
"Ezakiella_coagulans",-0.194494881749916
"Negativibacillus_massiliensis",-0.192987656178846
"GGB9730_SGB15291",-0.136669645007711
"Lentihominibacter_faecis",-0.121288674246551
"Ruminococcus_torques",-0.110931600653668
"Campylobacter_ureolyticus",-0.102096292004749
"Alistipes_indistinctus",-0.0602127343024105
"Prevotella_bergensis",-0.0399780293744935
"Lawsonibacter_asaccharolyticus",-0.0186319009853127
"Bacteroides_cellulosilyticus",-0.00848986028679311
