"taxon","PD vs Control"
"Mobiluncus_SGB15488",4.53341316907626
"Clostridium_innocuum",2.92012655012039
"Enterocloster_bolteae",2.80452027943457
"Eisenbergiella_tayi",2.49716005840374
"Clostridium_symbiosum",2.47982400354763
"GGB3109_SGB4121",2.19981316180283
"Peptoniphilus_grossensis",2.19193719058325
"Prevotella_buccalis",2.17205278082985
"Alterileibacterium_massiliense",2.1677903023326
"Eisenbergiella_massiliensis",2.08525162168344
"Fenollaria_timonensis",1.97226917310182
"Lawsonella_SGB3665",1.90028422800099
"GGB1456_SGB2019",1.87502720849238
"Parabacteroides_merdae",1.8476408274534
"GGB1215_SGB1581",1.79399819482005
"GGB3167_SGB4181",1.78103873105028
"Erysipelatoclostridium_ramosum",1.72641708500484
"Clostridiales_bacterium_S5_A14a",1.72440859495437
"Bilophila_wadsworthia",1.65326692294151
"Ruthenibacterium_lactatiformans",1.65104249896492
"Varibaculum_cambriense",1.64007752443947
"Eggerthella_lenta",1.63943998322831
"Anaerotruncus_massiliensis",1.55031651905141
"Prevotella_corporis",1.51445187394485
"Clostridiales_bacterium_SIT11",1.51335699381977
"Flavonifractor_plautii",1.40305608365917
"Peptococcus_niger",1.39034840007213
"Enterocloster_aldenensis",1.3581402951994
"Intestinimonas_massiliensis",1.34200925550637
"Campylobacter_hominis",1.31768109047583
"Lawsonibacter_hominis",1.31446277313736
"GGB9480_SGB14874",1.29126298430497
"Eubacterium_siraeum",1.25594349172721
"Akkermansia_muciniphila",1.25201208451727
"Eubacteriales_Family_XIII_Incertae_Sedis_unclassified_SGB3978",1.23258973581507
"Phascolarctobacterium_faecium",1.18709432343691
"GGB2945_SGB3917",1.18356438552542
"GGB3433_SGB4574",1.18119566035317
"Porphyromonas_sp_HMSC065F10",1.16788507852807
"Hungatella_hathewayi",1.15338399820328
"Porphyromonas_SGB1983",1.11992129463601
"Bacteroides_ovatus",1.08526501456452
"GGB9770_SGB15390",1.0592379080039
"GGB9453_SGB14844",1.05780573649084
"Sellimonas_intestinalis",1.03131946926104
"GGB4277_SGB5832",1.0249640541359
"Ruminococcus_bromii",0.95532772838243
"Lagierella_massiliensis",0.948980788539256
"Clostridium_sp_AF36_4",0.929980503242668
"Corynebacterium_aurimucosum",0.891424664822261
"Dysosmobacter_welbionis",0.887607857412639
"Porphyromonas_bennonis",0.843866171935496
"Adlercreutzia_equolifaciens",0.804884396571403
"Mediterraneibacter_glycyrrhizinilyticus",0.802265760788494
"Peptoniphilus_sp_Marseille_P3761",0.774249831726808
"Faecalimonas_umbilicata",0.754341550610429
"Bacteroides_salyersiae",0.750565122435471
"Enterocloster_clostridioformis",0.747573942143777
"Levyella_massiliensis",0.746492485293753
"Blautia_producta",0.691147553549315
"Porphyromonas_SGB1980",0.678191003400177
"Finegoldia_magna",0.675228053548611
"Bacteroides_fragilis",0.664705610977699
"Ezakiella_SGB6726",0.661871900644274
"Dialister_invisus",0.653835998807202
"Alistipes_communis",0.636183123330717
"Peptoniphilus_pacaensis",0.587541188017214
"Arcanobacterium_urinimassiliense",0.547520004934607
"Oscillibacter_sp_MSJ_31",0.53606827609169
"Evtepia_gabavorous",0.520085384709531
"Blautia_hansenii",0.52006808299153
"Bacteroides_thetaiotaomicron",0.500142957590867
"Peptoniphilus_urinimassiliensis",0.49301176523236
"Frisingicoccus_SGB4674",0.476559683422746
"GGB3433_SGB4573",0.44372131484816
"Clostridium_scindens",0.440914746595767
"Anaerococcus_obesiensis",0.427347958028496
"Bifidobacterium_pseudocatenulatum",0.367295557470165
"Parabacteroides_goldsteinii",0.364343667718413
"Blautia_caecimuris",0.317517127260893
"Acidaminococcus_intestini",0.291015610295403
"Anaerococcus_prevotii",0.284039782432569
"Bacteroides_intestinalis",0.27714440530549
"Corynebacterium_amycolatum",0.268736292583505
"Anaerococcus_mediterraneensis",0.259668520180628
"Bacteroides_faecis",0.253444072844226
"Corynebacterium_pseudogenitalium",0.23506746265161
"GGB1455_SGB2018",0.232630224751151
"Campylobacter_ureolyticus",0.214406783368222
"Lentihominibacter_faecis",0.195176503206001
"Clostridium_leptum",0.188417313255808
"Ezakiella_coagulans",0.1757313808346
"Corynebacterium_tuberculostearicum",0.137465105919259
"Bifidobacterium_longum",0.13486826911018
"Porphyromonas_SGB1977",0.131233674248219
"GGB2980_SGB3962",0.123757803820847
"Prevotella_bivia",0.108903699052897
"Schaalia_turicensis",0.0983289886951826
"Anaerococcus_murdochii",0.0930078188000274
"Alistipes_onderdonkii",0.0870276809134456
"Bacteroides_nordii",0.0764103618901308
"Anaerococcus_sp_Marseille_P3625",0.0587768387875881
"Roseburia_hominis",0.0476128167366519
"Alistipes_shahii",0.0260124582597571
"Klebsiella_pneumoniae",0.00626035123569344
"Olegusella_massiliensis",0.00185500397086767
"Bacteroides_uniformis",0.00107037214721959
