"taxon","PD vs IBD"
"Escherichia_coli",-6.47144299425764
"Faecalimonas_umbilicata",-5.17059935397548
"Klebsiella_pneumoniae",-4.52525842202032
"Streptococcus_parasanguinis",-4.08787605768966
"Blautia_caecimuris",-3.64766539452029
"Blautia_hansenii",-3.53997119161897
"Enterocloster_clostridioformis",-3.18054968042158
"Blautia_producta",-3.08272627123716
"Ruminococcus_gnavus",-2.67041790648173
"Bacteroides_faecis",-2.60637909351755
"Streptococcus_salivarius",-2.52860982296432
"Collinsella_aerofaciens",-2.37570255190049
"Bacteroides_eggerthii",-2.17457820950076
"Blautia_hydrogenotrophica",-2.12100355222187
"Corynebacterium_simulans",-2.09041965919152
"Clostridium_scindens",-2.01439785243289
"GGB51647_SGB4348",-1.84417141922766
"Bifidobacterium_pseudocatenulatum",-1.82350967001435
"Bifidobacterium_longum",-1.80803662408501
"Faecalibacterium_sp_CLA_AA_H233",-1.79196170412131
"Ruminococcus_lactaris",-1.75302935151075
"Paraprevotella_clara",-1.74042786065487
"Streptococcus_thermophilus",-1.67422129596694
"Blautia_luti",-1.67327706238427
"Eubacterium_ramulus",-1.59023392265529
"Monoglobus_pectinilyticus",-1.53045593477381
"Mediterraneibacter_faecis",-1.52257181761097
"Parabacteroides_distasonis",-1.5170390474793
"Neglectibacter_timonensis",-1.50557383312379
"Erysipelatoclostridium_ramosum",-1.45085812284827
"Alistipes_indistinctus",-1.41954734186112
"Bacteroides_fragilis",-1.41792834157701
"GGB3433_SGB4573",-1.36391338363372
"Lacrimispora_amygdalina",-1.30713647009236
"Blautia_sp_MCC283",-1.28677375629707
"Negativibacillus_massiliensis",-1.28431287848207
"Parasutterella_excrementihominis",-1.28308818558814
"Dorea_sp_AF36_15AT",-1.27207494797943
"Bacteroides_ovatus",-1.24718321843668
"GGB9730_SGB15291",-1.20720700517439
"Blautia_wexlerae",-1.19853802693371
"GGB3167_SGB4181",-1.19099359644964
"Fusicatenibacter_saccharivorans",-1.1740205261609
"Clostridium_sp_AT4",-1.17169219390525
"Roseburia_intestinalis",-1.16983880962551
"Bacteroides_xylanisolvens",-1.15231821243857
"Butyricimonas_virosa",-1.14894551719593
"Bacteroides_salyersiae",-1.10887659213606
"Corynebacterium_tuberculostearicum",-1.05046106257859
"Bifidobacterium_animalis",-1.03010328061837
"Clostridiaceae_unclassified_SGB15090",-1.02841716872815
"Acidaminococcus_intestini",-1.01789208821905
"Roseburia_faecis",-0.986634413047988
"Blautia_glucerasea",-0.983392773228477
"Enterocloster_aldenensis",-0.979746664363105
"Anaerotruncus_massiliensis",-0.961817056908962
"Desulfovibrio_fairfieldensis",-0.949203491602946
"Lachnospiraceae_bacterium",-0.934493760293798
"Roseburia_inulinivorans",-0.908570708034648
"Clostridium_leptum",-0.903983713282944
"Corynebacterium_aurimucosum",-0.899011977558038
"Lawsonibacter_asaccharolyticus",-0.89641691372432
"Bifidobacterium_bifidum",-0.883472744803687
"Clostridium_SGB4750",-0.881365668094217
"Anaerococcus_sp_Marseille_P3625",-0.841298730194228
"Bacteroides_nordii",-0.820947986493171
"Parabacteroides_goldsteinii",-0.808061738854952
"Blautia_stercoris",-0.806594701272193
"Blautia_massiliensis",-0.770604422362085
"Faecalibacterium_sp_HTFF",-0.765555190740572
"Dorea_longicatena",-0.757932722411381
