"taxon","Comparison","LFC","Adj P Value","Significance","Standard_error"
"ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation","PD vs IBD",-2.80871288619479,7.28164857994258e-08,TRUE,0.487231192081212
"ORNARGDEG-PWY: superpathway of L-arginine and L-ornithine degradation","PD vs IBD",-2.80871288619479,7.28164857994258e-08,TRUE,0.487231192081212
"AST-PWY: L-arginine degradation II (AST pathway)","PD vs IBD",-3.16702639327073,5.95723961642268e-07,TRUE,0.586575979326881
"PWY0-301: L-ascorbate degradation I (bacterial, anaerobic)","PD vs IBD",-2.9466447130511,1.76712195380754e-06,TRUE,0.566591425098767
"PWY0-1277: 3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation","PD vs IBD",-2.96581685039118,5.80912010418604e-06,TRUE,0.596156825180644
"PWY0-1338: polymyxin resistance","PD vs IBD",-2.76596241426684,7.51303201989211e-06,TRUE,0.561635709151974
"HCAMHPDEG-PWY: 3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-hydroxypentadienoate","PD vs IBD",-2.814955000165,8.34599447127213e-06,TRUE,0.573984754049449
"PWY-6690: cinnamate and 3-hydroxycinnamate degradation to 2-hydroxypentadienoate","PD vs IBD",-2.814955000165,8.34599447127213e-06,TRUE,0.573984754049449
"ECASYN-PWY: enterobacterial common antigen biosynthesis","PD vs IBD",-2.29299688400176,2.07622301160442e-05,TRUE,0.485579962986588
"GLYCOL-GLYOXDEG-PWY: superpathway of glycol metabolism and degradation","PD vs IBD",-2.43869077604865,2.28646966635282e-05,TRUE,0.518591062657463
"PWY-7858: (5Z)-dodecenoate biosynthesis II","PD vs IBD",-2.87225192641933,2.31597601994152e-05,TRUE,0.611128666242513
"KDO-NAGLIPASYN-PWY: superpathway of (Kdo)2-lipid A biosynthesis","PD vs IBD",-2.22731415367924,3.07147762214637e-05,TRUE,0.47982537685855
"FAO-PWY: fatty acid &beta;-oxidation I (generic)","PD vs IBD",-3.12541793603026,4.87294197277592e-05,TRUE,0.687560407751117
"GLUCARDEG-PWY: D-glucarate degradation I","PD vs IBD",-2.73339613325443,4.91409779085357e-05,TRUE,0.601554009557271
"PWY-6961: L-ascorbate degradation II (bacterial, aerobic)","PD vs IBD",-2.67113509203152,5.61839860432972e-05,TRUE,0.591535957103115
"PWY-5138: fatty acid &beta;-oxidation IV (unsaturated, even number)","PD vs IBD",-2.75508034668809,5.71831321833136e-05,TRUE,0.610631327919925
"PWY0-1337: oleate &beta;-oxidation","PD vs IBD",-2.50371416580419,7.19360797785432e-05,TRUE,0.561000999957861
"PWY-5855: ubiquinol-7 biosynthesis (early decarboxylation)","PD vs IBD",-2.18293540739427,9.04813972527079e-05,TRUE,0.494597265913739
"PWY-5860: superpathway of demethylmenaquinol-6 biosynthesis I","PD vs IBD",-2.67307251355944,9.88799029292397e-05,TRUE,0.608302323273389
"PWY-5747: 2-methylcitrate cycle II","PD vs IBD",-2.23321645396029,9.92794674210053e-05,TRUE,0.508307082980004
