"taxon","Comparison","LFC","Adj P Value","Significance","Standard_error"
"ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation","IBD vs Control",2.65853737402235,1.83012052311277e-06,TRUE,0.514033746737665
"ORNARGDEG-PWY: superpathway of L-arginine and L-ornithine degradation","IBD vs Control",2.65853737402235,1.83012052311277e-06,TRUE,0.514033746737665
"PWY0-301: L-ascorbate degradation I (bacterial, anaerobic)","IBD vs Control",3.02082490327978,1.43199342215374e-05,TRUE,0.632869454859761
"HCAMHPDEG-PWY: 3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-hydroxypentadienoate","IBD vs Control",2.97847031954082,2.93220368474719e-05,TRUE,0.643734183478183
"PWY-6690: cinnamate and 3-hydroxycinnamate degradation to 2-hydroxypentadienoate","IBD vs Control",2.97847031954082,2.93220368474719e-05,TRUE,0.643734183478183
"AST-PWY: L-arginine degradation II (AST pathway)","IBD vs Control",2.92170807033582,8.07777843621099e-05,TRUE,0.662171593425624
"PWY0-1277: 3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation","IBD vs Control",2.97123162838373,8.77544976881957e-05,TRUE,0.676148389439078
"DARABCATK12-PWY: D-arabinose degradation I","IBD vs Control",1.99509480948431,0.00029027736220154,TRUE,0.483424384670036
"PWY-5855: ubiquinol-7 biosynthesis (early decarboxylation)","IBD vs Control",2.15445783319498,0.000323986198758986,TRUE,0.525264881269201
"KDO-NAGLIPASYN-PWY: superpathway of (Kdo)2-lipid A biosynthesis","IBD vs Control",2.03356619586776,0.000412646915725633,TRUE,0.502692267623557
"PWY0-1338: polymyxin resistance","IBD vs Control",2.52250617063153,0.0004361928229843,TRUE,0.625570084373899
"PWY-7409: phospholipid remodeling (phosphatidylethanolamine, yeast)","IBD vs Control",1.80540060557179,0.00054881221900319,TRUE,0.450639848250714
"PWY-7616: methanol oxidation to carbon dioxide","IBD vs Control",1.52255574581665,0.000614575847008639,TRUE,0.382601831761034
