"taxon","Comparison","LFC","Adj P Value","Significance","Standard_error"
"PWY-7383: anaerobic energy metabolism (invertebrates, cytosol)","PD vs IBD",3.76266596051627,4.19962750586559e-12,TRUE,0.520198256369034
"PWY66-399: gluconeogenesis III","PD vs IBD",3.74589147761846,1.67572571985218e-10,TRUE,0.557855699563671
"PWY-5130: 2-oxobutanoate degradation I","PD vs IBD",2.76037563430756,1.85719615147413e-06,TRUE,0.531720376987731
"PWY-5022: 4-aminobutanoate degradation V","PD vs IBD",2.12528478575984,0.000391943553828791,TRUE,0.520245536103665
"PWY-5030: L-histidine degradation III","PD vs IBD",2.0544134886754,0.000885124027363788,TRUE,0.527871956453208
"CENTFERM-PWY: pyruvate fermentation to butanoate","PD vs IBD",1.95877738918614,0.0017027831401727,TRUE,0.529397434395823
"PWY-6590: superpathway of Clostridium acetobutylicum acidogenic fermentation","PD vs IBD",2.02827086646828,0.0019207494096289,TRUE,0.552762960895854
"PWY-6470: peptidoglycan biosynthesis V (&beta;-lactam resistance)","PD vs IBD",2.25067143773609,0.00199175474250569,TRUE,0.614930673174405
"PWY-7254: TCA cycle VII (acetate-producers)","PD vs IBD",2.03082677261881,0.00434192142763117,TRUE,0.582351656084477
"HSERMETANA-PWY: L-methionine biosynthesis III","PD vs IBD",1.30376409856733,0.00445518119412896,TRUE,0.37460247893524
"HISDEG-PWY: L-histidine degradation I","PD vs IBD",1.50158801044917,0.00521693632584677,TRUE,0.436777132627741
"P42-PWY: incomplete reductive TCA cycle","PD vs IBD",1.82516796813664,0.0116390096641001,TRUE,0.567841986777837
"PWY-5690: TCA cycle II (plants and fungi)","PD vs IBD",1.69543969472742,0.0193062965747603,TRUE,0.552986621948369
"P164-PWY: purine nucleobases degradation I (anaerobic)","PD vs IBD",1.6186216837218,0.0196215677949501,TRUE,0.528767411436784
"PWY-5005: biotin biosynthesis II","PD vs IBD",1.58480142084843,0.0200589117561354,TRUE,0.525016046716235
"POLYAMINSYN3-PWY: superpathway of polyamine biosynthesis II","PD vs IBD",1.56217013851586,0.0229730310444152,TRUE,0.524704884917326
