# Pathway	UF-PF-2020-001-1N_all_Abundance	UF-PF-2020-001-2G_all_Abundance	UF-PF-2020-002-2G_all_Abundance	UF-PF-2020-002-3N_all_Abundance	UF-PF-2020-003-1N_all_Abundance	UF-PF-2020-003-2G_all_Abundance	UF-PF-2020-004-1N_all_Abundance	UF-PF-2020-004-2G_all_Abundance	UF-PF-2020-005-2G_all_Abundance	UF-PF-2020-006-2G_all_Abundance	UF-PF-2020-007-2G_all_Abundance	UF-PF-2020-008-1N_all_Abundance	UF-PF-2020-009-3N_all_Abundance	UF-PF-2020-010-1N_all_Abundance	UF-PF-2020-011-1N_all_Abundance	UF-PF-2020-016-1N_all_Abundance	UF-PF-2020-017-1N_all_Abundance	UF-PF-2020-018-1N_all_Abundance	UF-PF-2020-021-1N_all_Abundance	UF-PF-2020-022-1N_all_Abundance	UF-PF-2020-024-1N_all_Abundance	UF-PF-2020-025-3N_all_Abundance	UF-PF-2020-026-1N_all_Abundance	UF-PF-2020-027-1N_all_Abundance	UF-PF-2020-030-1N_all_Abundance	UF-PF-2021-008-2G_all_Abundance	UF-PF-2021-009-2G_all_Abundance	UF-PF-2021-010-2G_all_Abundance	UF-PF-2021-011-2G_all_Abundance	UF-PF-2021-012-2G_all_Abundance	UF-PF-2021-014-2G_all_Abundance	UF-PF-2021-015-2G_all_Abundance	UF-PF-2021-016-2G_all_Abundance	UF-PF-2021-017-2G_all_Abundance	UF-PF-2021-018-2G_all_Abundance	UF-PF-2021-019-2G_all_Abundance	UF-PF-2021-020-2G_all_Abundance	UF-PF-2021-022-2G_all_Abundance	UF-PF-2021-023-1N_all_Abundance	UF-PF-2021-023-2G_all_Abundance	UF-PF-2021-024-2G_all_Abundance	UF-PF-2021-025-3G_all_Abundance	UF-PF-2021-031-1N_all_Abundance	UF-PF-2021-032-3N_all_Abundance	UF-PF-2021-033-1N_all_Abundance	UF-PF-2021-034-3N_all_Abundance	UF-PF-2021-035-1N_all_Abundance	UF-PF-2021-036-3N_all_Abundance	UF-PF-2021-037-1N_all_Abundance	UF-PF-2021-038-3N_all_Abundance	UF-PF-2021-039-3N_all_Abundance	UF-PF-2021-040-1N_all_Abundance	UF-PF-2021-041-1N_all_Abundance	UF-PF-2021-042-3N_all_Abundance	UF-PF-2021-044-1N_all_Abundance	UF-PF-2021-045-1N_all_Abundance	UF-PF-2021-046-3N_all_Abundance	UF-PF-2021-047-1N_all_Abundance	UF-PF-2021-048-1N_all_Abundance	UF-PF-2021-049-1N_all_Abundance	UF-PF-2021-050-1N_all_Abundance	UF-PF-2021-051-1N_all_Abundance	UF-PF-2021-054-1N_all_Abundance	UF-PF-2021-055-1N_all_Abundance	UF-PF-2021-056-3N_all_Abundance	UF-PF-2021-057-1N_all_Abundance	UF-PF-2021-058-1N_all_Abundance	UF-PF-2021-060-3N_all_Abundance	UF-PF-2021-062-1N_all_Abundance	UF-PF-2021-063-1N_all_Abundance	UF-PF-2021-064-1N_all_Abundance	UF-PF-2022-029-2G_all_Abundance	UF-PF-2022-030-2G_all_Abundance	UF-PF-2022-031-2G_Abundance	UF-PF-2022-068-1N_all_Abundance	UF-PF-2022-069-1N_all_Abundance	UF-PF-2022-069-1N_Abundance	UF-PF-2022-070-3N_all_Abundance	UF-PF-2022-070-3N_Abundance	UF-PF-2022-071-1N_all_Abundance	UF-PF-2022-072-1N_all_Abundance	UF-PF-2022-074-1N_all_Abundance	UF-PF-2022-075-1N_all_Abundance	UF-PF-2022-075-1N_Abundance	UF-PF-2022-076-1N_all_Abundance	UF-PF-2022-076-1N_Abundance	UF-PF-2022-079-1N_all_Abundance	UF-PF-2022-084-1N2_Abundance	UF-PF-2022-084-1N_Abundance	UF-PF-2022-085-3N2_Abundance	UF-PF-2022-085-3N_Abundance	UF-PF-2022-087-1N_all_Abundance	UF-PF-2022-088-1N_all_Abundance	UF-PF-2022-091-1N_Abundance	UF-PF-2022-092-1N_Abundance	UF-PF-2022-096-1N_Abundance	UF-PF-2022-100-1N_Abundance	UF-PF-2022-102-1N_Abundance	UF-PF-2022-103-1N_Abundance	UF-PF-2022-105-1N_Abundance	UF-PF-2023-032-2G_Abundance	UF-PF-2023-119-1N_Abundance	UF-PF-2023-123-1N_Abundance	UF-PF-2023-124-3N_Abundance
UNMAPPED	324635.9592869210	469074.4483196888	171356.6404092075	460465.3128358983	583723.0507611274	410803.8085560928	427560.5850917668	100263.3000955467	321492.0762016221	560764.2956606043	397724.2848605583	488468.4851320205	404556.4289022084	351265.0400020017	344107.0550143723	137858.1105668365	260041.9171933288	340839.8689661495	263345.2501073796	169945.8970119190	135495.9142065374	20906.1822929457	304006.7870515480	2434.6964766594	256327.0700029990	250502.1033399530	251995.8888738828	114376.9627050180	357783.4107459124	340949.5992989319	444996.3904969579	214077.0265989557	37099.6298569527	346943.3680044432	113805.3919687529	146469.7431064487	126020.7929151221	259423.5880341181	338013.1112789994	559992.4981913129	259311.7744654983	659999.1573690968	1363091.6215846892	752826.1954036017	260519.6554958413	721101.0838476758	410451.8331459616	421294.9819848402	94408.7487832865	155128.7789107608	241819.2703324062	59952.9715107561	150136.1156299177	274483.5785088588	691103.2196558841	600182.9187893439	810124.9180191655	764389.3964635294	1000185.3212867385	1186800.5518956969	237933.7297216188	147992.7706727581	400838.6252004482	1354827.9569238208	416688.7149412079	405251.6537275891	262058.1630203863	268765.2188956333	314628.0169766251	728234.1973770176	236155.9688928760	283019.1620329441	279636.8501246688	194724.7080086475	220204.4029704203	188589.7265346757	504504.9282537964	221803.5429872947	877951.6201464853	1106927.3785878695	266364.1396369755	58668.8743690914	656364.6471213440	1174781.4619459484	265183.8413179342	234133.7858655223	253431.0439563979	814405.3901213696	551265.3855416671	284580.4371535093	680786.2813369321	238021.8812588353	231045.7430223150	468051.5342252944	506344.8484602016	627907.9044242782	470376.7561458833	338630.2777777581	1076713.4979492056	898674.7096648333	719743.6074733417	288483.2316258906	678361.3562228504	771315.9498484567
UNINTEGRATED	382006.9737271026	858512.2362389191	252582.1838289795	707023.4481528716	873124.0597608233	1082373.4268458772	495223.3464957072	206661.6383548345	2084829.2545168255	1401082.7491961617	1728336.6372737254	602424.1853904065	524332.7400313196	607877.2976238905	649245.1177318967	164900.2486692737	541095.2895965484	478305.4027563350	346941.5816150544	274024.5506096812	154709.3447212604	6741.7906287781	486040.3890404679	652.5002523321	302014.1098364217	1639152.5741025996	1238529.7021331217	216126.7876849033	2301412.5729400730	2077141.2062945322	963649.1333273377	1544055.8558962385	63290.1661621058	1235932.3552102614	327630.6853325290	1058318.1350437116	84118.0888391317	1156221.8173404054	381388.8319824451	1543577.8023388383	2078149.2410806189	1319675.4685398384	2177380.0933651389	1463703.4949316510	301141.8284816045	1330354.7496558619	493607.1984626078	789901.7549441553	87561.1852784621	90774.7487956926	471258.9935169016	60961.6833730361	151022.5780138033	329326.6730596044	893953.1902458498	1123071.4359873438	878508.6397812478	1305530.7367817957	1184560.4248683979	1531911.1393748403	472436.8729919137	84523.7287389144	666525.4529227032	2728221.1314109662	877638.9722686822	640545.6530923869	362839.7330702590	484366.0819728029	471407.3203379376	1593791.1954901796	279304.2571565248	801560.9671233234	1169943.1837109029	162506.6025862796	255305.9088050424	138823.5355542363	895149.2697275446	190027.8989671693	2165537.9167946819	1486047.6390781349	245173.8485074408	47477.5601368313	858772.4867197245	3208142.9555863282	642149.0904109639	788229.4268183492	191448.8789144088	1882525.7103441244	1081992.5817436376	718400.7056428740	1353087.3974072181	521773.7768006240	308865.2939670322	660798.8648326474	430756.3628778736	1406683.8145143210	607059.0341891845	1000110.4803848836	2338582.8461654792	3178181.6096395263	4833559.5249675391	464217.1029066186	1830050.5387636232	2402800.2788303085
UNINTEGRATED|unclassified	382006.9737271026	858512.2362389191	252582.1838289795	707023.4481528716	873124.0597608233	1082373.4268458772	495223.3464957072	206661.6383548345	2084829.2545168255	1401082.7491961617	1728336.6372737254	602424.1853904065	524332.7400313196	607877.2976238905	649245.1177318967	164900.2486692737	541095.2895965484	478305.4027563350	346941.5816150544	274024.5506096812	154709.3447212604	6741.7906287781	486040.3890404679	652.5002523321	302014.1098364217	1639152.5741025996	1238529.7021331217	216126.7876849033	2301412.5729400730	2077141.2062945322	963649.1333273377	1544055.8558962385	63290.1661621058	1235932.3552102614	327630.6853325290	1058318.1350437116	84118.0888391317	1156221.8173404054	381388.8319824451	1543577.8023388383	2078149.2410806189	1319675.4685398384	2177380.0933651389	1463703.4949316510	301141.8284816045	1330354.7496558619	493607.1984626078	789901.7549441553	87561.1852784621	90774.7487956926	471258.9935169016	60961.6833730361	151022.5780138033	329326.6730596044	893953.1902458498	1123071.4359873438	878508.6397812478	1305530.7367817957	1184560.4248683979	1531911.1393748403	472436.8729919137	84523.7287389144	666525.4529227032	2728221.1314109662	877638.9722686822	640545.6530923869	362839.7330702590	484366.0819728029	471407.3203379376	1593791.1954901796	279304.2571565248	801560.9671233234	1169943.1837109029	162506.6025862796	255305.9088050424	138823.5355542363	895149.2697275446	190027.8989671693	2165537.9167946819	1486047.6390781349	245173.8485074408	47477.5601368313	858772.4867197245	3208142.9555863282	642149.0904109639	788229.4268183492	191448.8789144088	1882525.7103441244	1081992.5817436376	718400.7056428740	1353087.3974072181	521773.7768006240	308865.2939670322	660798.8648326474	430756.3628778736	1406683.8145143210	607059.0341891845	1000110.4803848836	2338582.8461654792	3178181.6096395263	4833559.5249675391	464217.1029066186	1830050.5387636232	2402800.2788303085
12DICHLORETHDEG-PWY: 1,2-dichloroethane degradation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.7313297671	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41.1571845011	0	61.9741513207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12DICHLORETHDEG-PWY: 1,2-dichloroethane degradation|unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.7313297671	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41.1571845011	0	61.9741513207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14DICHLORBENZDEG-PWY: 1,4-dichlorobenzene degradation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47.2597830788	0	33.8681449408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14DICHLORBENZDEG-PWY: 1,4-dichlorobenzene degradation|unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47.2597830788	0	33.8681449408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1CMET2-PWY: folate transformations III (E. coli)	280.7559157984	514.0020619783	147.6371678960	422.7822270267	437.9727667269	578.0469072294	325.1187969727	79.6626958401	1131.1031735593	711.8542195827	624.6201092969	357.7812496173	329.1418990173	298.6370922075	467.3552289092	69.7345869021	88.6772197459	263.6181682780	182.5417883439	73.6799176971	15.0114386600	0	252.5936031238	0	166.9502884598	697.6582138887	526.9799647751	133.9798599674	996.2418783535	885.2652946794	447.2866933555	662.0652834015	34.5304546437	577.6697185842	171.4605816454	426.6445675969	22.8431655093	476.9541648769	235.1694030287	843.5477084337	611.8761475766	883.7753543390	1286.2513919708	656.5084957365	122.1718196012	723.2132886921	309.4496059145	440.7501307155	45.0654954088	16.4319426349	304.8632632316	13.1548890811	81.0321889748	126.7430698900	379.2475483500	563.1191455726	490.5646431361	828.0711417370	729.5015053041	298.5166368696	289.2261032028	0	426.7651330831	1463.0476317575	515.9221815408	512.1258890808	269.2412241209	319.0680085959	319.9218521582	1050.1852391214	159.0424723587	509.3153474901	585.0594003476	109.7586399444	119.4248548470	69.6939356826	525.3723057622	113.9961289268	928.8657208284	703.6831548544	161.3460682112	23.6449077412	511.5658533196	1517.6663482268	275.6786320148	250.7049262989	130.1881423291	995.5341287083	556.3027608897	224.1823237238	637.1512498069	323.4414409612	102.4107456030	320.7641210089	153.5955203278	1075.3481533604	242.0438112496	414.5649864905	1204.2944628388	1613.4426294650	1830.4373033231	178.9013154168	1128.9249304246	1181.3065645352
1CMET2-PWY: folate transformations III (E. coli)|unclassified	280.7559157984	514.0020619783	147.6371678960	422.7822270267	437.9727667269	578.0469072294	325.1187969727	79.6626958401	1131.1031735593	711.8542195827	624.6201092969	357.7812496173	329.1418990173	298.6370922075	467.3552289092	69.7345869021	88.6772197459	263.6181682780	182.5417883439	73.6799176971	15.0114386600	0	252.5936031238	0	166.9502884598	697.6582138887	526.9799647751	133.9798599674	996.2418783535	885.2652946794	447.2866933555	662.0652834015	34.5304546437	577.6697185842	171.4605816454	426.6445675969	22.8431655093	476.9541648769	235.1694030287	843.5477084337	611.8761475766	883.7753543390	1286.2513919708	656.5084957365	122.1718196012	723.2132886921	309.4496059145	440.7501307155	45.0654954088	16.4319426349	304.8632632316	13.1548890811	81.0321889748	126.7430698900	379.2475483500	563.1191455726	490.5646431361	828.0711417370	729.5015053041	298.5166368696	289.2261032028	0	426.7651330831	1463.0476317575	515.9221815408	512.1258890808	269.2412241209	319.0680085959	319.9218521582	1050.1852391214	159.0424723587	509.3153474901	585.0594003476	109.7586399444	119.4248548470	69.6939356826	525.3723057622	113.9961289268	928.8657208284	703.6831548544	161.3460682112	23.6449077412	511.5658533196	1517.6663482268	275.6786320148	250.7049262989	130.1881423291	995.5341287083	556.3027608897	224.1823237238	637.1512498069	323.4414409612	102.4107456030	320.7641210089	153.5955203278	1075.3481533604	242.0438112496	414.5649864905	1204.2944628388	1613.4426294650	1830.4373033231	178.9013154168	1128.9249304246	1181.3065645352
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY: 4-hydroxyphenylacetate degradation	0	15.0511290755	0	0	71.5762963550	0	0	23.9108907035	413.3282625678	160.1369772441	0	0	7.8829078670	0	0	0	0	0	0	0	0	0	0	0	0	0	258.0856184603	0	364.3290321561	34.3233908221	0	19.1939481649	8.3832590183	176.7657065706	9.1219515369	34.9082937045	0	8.3721469974	0	22.8933988162	340.2770539908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.1461588727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	125.3765345383	0	0	0	100.9390346600	0	101.6633771025	0	0	0	0	67.2605560471	0	25.9348288855	0	0	0	0	0	0	3.1811337388	0	0	0	0	114.8357897521	0	246.9624090436	669.9546244514	0	0	0
