#mpa_vJun23_CHOCOPhlAnSGB_202307
clade_name	UF-PF-2020-001-1N_metaphlan_rel_ab	UF-PF-2020-001-2G_metaphlan_rel_ab	UF-PF-2020-002-2G_metaphlan_rel_ab	UF-PF-2020-002-3N_metaphlan_rel_ab	UF-PF-2020-003-1N_metaphlan_rel_ab	UF-PF-2020-003-2G_metaphlan_rel_ab	UF-PF-2020-004-1N_metaphlan_rel_ab	UF-PF-2020-004-2G_metaphlan_rel_ab	UF-PF-2020-005-2G_metaphlan_rel_ab	UF-PF-2020-006-2G_metaphlan_rel_ab	UF-PF-2020-007-2G_metaphlan_rel_ab	UF-PF-2020-008-1N_metaphlan_rel_ab	UF-PF-2020-009-3N_metaphlan_rel_ab	UF-PF-2020-010-1N_metaphlan_rel_ab	UF-PF-2020-011-1N_metaphlan_rel_ab	UF-PF-2020-016-1N_metaphlan_rel_ab	UF-PF-2020-017-1N_metaphlan_rel_ab	UF-PF-2020-018-1N_metaphlan_rel_ab	UF-PF-2020-021-1N_metaphlan_rel_ab	UF-PF-2020-022-1N_metaphlan_rel_ab	UF-PF-2020-024-1N_metaphlan_rel_ab	UF-PF-2020-025-3N_metaphlan_rel_ab	UF-PF-2020-026-1N_metaphlan_rel_ab	UF-PF-2020-027-1N_metaphlan_rel_ab	UF-PF-2020-030-1N_metaphlan_rel_ab	UF-PF-2021-008-2G_metaphlan_rel_ab	UF-PF-2021-009-2G_metaphlan_rel_ab	UF-PF-2021-010-2G_metaphlan_rel_ab	UF-PF-2021-011-2G_metaphlan_rel_ab	UF-PF-2021-012-2G_metaphlan_rel_ab	UF-PF-2021-014-2G_metaphlan_rel_ab	UF-PF-2021-015-2G_metaphlan_rel_ab	UF-PF-2021-016-2G_metaphlan_rel_ab	UF-PF-2021-017-2G_metaphlan_rel_ab	UF-PF-2021-018-2G_metaphlan_rel_ab	UF-PF-2021-019-2G_metaphlan_rel_ab	UF-PF-2021-020-2G_metaphlan_rel_ab	UF-PF-2021-022-2G_metaphlan_rel_ab	UF-PF-2021-023-1N_metaphlan_rel_ab	UF-PF-2021-023-2G_metaphlan_rel_ab	UF-PF-2021-024-2G_metaphlan_rel_ab	UF-PF-2021-025-3G_metaphlan_rel_ab	UF-PF-2021-031-1N_metaphlan_rel_ab	UF-PF-2021-032-3N_metaphlan_rel_ab	UF-PF-2021-033-1N_metaphlan_rel_ab	UF-PF-2021-034-3N_metaphlan_rel_ab	UF-PF-2021-035-1N_metaphlan_rel_ab	UF-PF-2021-036-3N_metaphlan_rel_ab	UF-PF-2021-037-1N_metaphlan_rel_ab	UF-PF-2021-038-3N_metaphlan_rel_ab	UF-PF-2021-039-3N_metaphlan_rel_ab	UF-PF-2021-040-1N_metaphlan_rel_ab	UF-PF-2021-041-1N_metaphlan_rel_ab	UF-PF-2021-042-3N_metaphlan_rel_ab	UF-PF-2021-044-1N_metaphlan_rel_ab	UF-PF-2021-045-1N_metaphlan_rel_ab	UF-PF-2021-046-3N_metaphlan_rel_ab	UF-PF-2021-047-1N_metaphlan_rel_ab	UF-PF-2021-048-1N_metaphlan_rel_ab	UF-PF-2021-049-1N_metaphlan_rel_ab	UF-PF-2021-050-1N_metaphlan_rel_ab	UF-PF-2021-051-1N_metaphlan_rel_ab	UF-PF-2021-054-1N_metaphlan_rel_ab	UF-PF-2021-055-1N_metaphlan_rel_ab	UF-PF-2021-056-3N_metaphlan_rel_ab	UF-PF-2021-057-1N_metaphlan_rel_ab	UF-PF-2021-058-1N_metaphlan_rel_ab	UF-PF-2021-060-3N_metaphlan_rel_ab	UF-PF-2021-062-1N_metaphlan_rel_ab	UF-PF-2021-063-1N_metaphlan_rel_ab	UF-PF-2021-064-1N_metaphlan_rel_ab	UF-PF-2022-029-2G_metaphlan_rel_ab	UF-PF-2022-030-2G_metaphlan_rel_ab	UF-PF-2022-031-2G_metaphlan_rel_ab	UF-PF-2022-068-1N_metaphlan_rel_ab	UF-PF-2022-069-1N_metaphlan_rel_ab	UF-PF-2022-070-3N_metaphlan_rel_ab	UF-PF-2022-071-1N_metaphlan_rel_ab	UF-PF-2022-072-1N_metaphlan_rel_ab	UF-PF-2022-074-1N_metaphlan_rel_ab	UF-PF-2022-075-1N_metaphlan_rel_ab	UF-PF-2022-076-1N_metaphlan_rel_ab	UF-PF-2022-079-1N_metaphlan_rel_ab	UF-PF-2022-084-1N2_metaphlan_rel_ab	UF-PF-2022-084-1N_metaphlan_rel_ab	UF-PF-2022-085-3N2_metaphlan_rel_ab	UF-PF-2022-085-3N_metaphlan_rel_ab	UF-PF-2022-087-1N_metaphlan_rel_ab	UF-PF-2022-088-1N_metaphlan_rel_ab	UF-PF-2022-091-1N_metaphlan_rel_ab	UF-PF-2022-092-1N_metaphlan_rel_ab	UF-PF-2022-096-1N_metaphlan_rel_ab	UF-PF-2022-100-1N_metaphlan_rel_ab	UF-PF-2022-102-1N_metaphlan_rel_ab	UF-PF-2022-103-1N_metaphlan_rel_ab	UF-PF-2022-105-1N_metaphlan_rel_ab	UF-PF-2023-032-2G_metaphlan_rel_ab	UF-PF-2023-119-1N_metaphlan_rel_ab	UF-PF-2023-123-1N_metaphlan_rel_ab	UF-PF-2023-124-3N_metaphlan_rel_ab
k__Bacteria	100.0	100.0	100.0	99.92551	100.0	100.0	99.74241	100.0	100.0	100.0	100.0	100.0	99.92829	100.0	100.0	100.0	100.0	100.0	99.98058	100.0	100.0	100.0	100.0	100.0	99.98702	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	99.74738	100.0	100.0	99.82775	99.42012	100.0	100.0	99.89255	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	99.99194	100.0	99.75628	100.0	100.0	100.0	100.0	100.0	99.98661	99.82128	99.98094	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	99.70822	100.0	98.35723	99.99704	97.86778	100.0	100.0	99.78337	100.0	100.0	99.52102	99.79138	99.50587	98.76501	100.0	100.0	98.77756	100.0	100.0	99.03103	100.0	99.70433	100.0	100.0	100.0	100.0	100.0
k__Bacteria|p__Firmicutes	37.32262	51.88743	64.10358	87.67829	38.76535	73.77833	67.70517	12.74961	42.03688	52.74707	51.37895	42.29449	75.16433	45.63727	64.29963	34.51262	36.25319	50.51148	41.6138	31.79302	52.06022	72.97968	46.03979	0.0	41.73172	19.46136	13.22499	44.66153	0.83439	9.82657	45.54533	10.00538	40.4973	43.95704	39.4844	22.5851	32.93574	52.98366	30.8748	48.33547	1.04474	63.52237	72.33416	38.28978	43.31232	58.30882	56.6131	66.84411	12.22665	43.03688	62.64124	29.45439	63.17693	52.08137	38.48654	67.24451	67.01182	63.28708	65.81838	39.61084	54.06308	66.02464	75.13814	50.70326	74.09998	72.36958	59.28688	66.63927	86.64814	62.64828	36.95735	75.68981	37.87785	77.868	37.22884	19.90224	35.1454	70.48371	52.24593	11.86911	41.04217	39.01492	71.07674	50.81199	52.99235	19.20571	50.45739	68.05348	39.99585	68.24	80.59812	78.65283	17.04717	30.76045	43.27086	68.78698	16.01748	33.81054	56.64036	64.98573
k__Bacteria|p__Bacteroidota	31.34894	37.56628	33.01465	5.6498	31.15481	16.86425	10.5932	47.24973	1.73262	20.33189	9.97778	40.5949	18.02108	30.66165	26.18446	31.52056	23.30333	39.22668	47.56213	2.16353	38.42474	22.39197	42.01904	100.0	40.55846	0.03203	23.23163	48.79556	0.10127	4.05466	43.61579	0.48962	0.0	12.54157	40.37761	2.10088	18.73145	0.06881	50.73104	32.84903	3.48871	26.74065	9.03833	42.99883	35.80293	23.17736	22.4743	20.51161	66.28625	34.35168	26.6625	43.17744	31.01038	30.73297	50.45824	23.63361	14.2625	25.05863	25.24335	42.50658	25.76261	29.19311	15.89955	33.14397	18.06806	22.01998	29.78947	28.0431	5.02473	16.04937	19.74138	1.90269	9.93799	7.36366	39.44208	0.0098	18.91036	13.42482	34.4411	37.60087	35.09608	9.41245	16.46873	41.39208	31.24027	2.8554	41.98559	27.37701	50.00184	27.1898	5.09303	14.76398	17.69517	18.25777	19.28014	1.84681	6.02759	50.71986	39.24378	18.31432
k__Bacteria|p__Actinobacteria	31.21562	4.09015	2.1878	4.36953	18.56835	5.62802	2.05112	4.14497	5.30202	5.93143	0.76462	16.30662	1.66193	20.36752	7.73019	31.89733	40.25764	4.77634	2.59289	64.3341	9.12292	4.62835	8.12874	0.0	11.92281	12.14531	1.03306	5.24413	1.50111	4.11624	2.48461	2.61067	5.43608	3.31756	13.41029	3.38291	48.30435	6.87611	11.41185	6.24244	0.21885	5.70135	6.88924	16.82812	20.63402	12.1735	10.91675	9.45252	19.92589	18.71671	4.52234	27.09914	4.49913	15.08906	9.1486	2.94017	17.11905	3.66187	1.16801	10.56222	6.29659	3.05589	3.30589	11.4202	4.5845	2.45127	7.46429	1.78022	1.80357	18.53114	19.37452	14.942	3.96732	6.79286	10.41325	46.34741	5.14576	8.8875	7.53719	5.73961	8.27426	0.07203	9.52316	1.93959	3.77608	1.20208	1.47483	3.10994	9.12926	0.86137	1.70499	2.82157	5.94984	4.16811	23.59793	3.34564	2.07283	12.85174	3.36039	7.21745
k__Bacteria|p__Bacillota	0.11282	0.01471	0.34983	1.50017	0.04476	3.50433	3.47243	0.0	0.0	2.14523	0.28296	0.13464	3.37493	0.0	0.51732	0.0	0.0	0.5145	0.0	0.0	0.0	0.0	2.84968	0.0	0.0	0.0	0.43937	0.0	0.0	0.0	7.24481	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.35283	0.0	0.93287	2.40703	0.0	0.0	3.69627	4.08215	1.07721	1.21299	0.61384	0.09167	0.0	0.0	0.0	0.28955	0.76547	0.142	2.68334	0.90804	0.03325	0.0	1.05785	2.45814	0.0	1.88887	0.22347	0.17682	0.7232	5.83925	0.11051	0.0	0.0	0.0	6.01359	0.0	0.3304	0.0	1.1849	0.0	0.0	0.26634	0.0	1.03688	0.07666	0.01361	0.29458	0.02136	1.33234	0.0	0.06106	9.15972	0.35435	0.43575	1.36606	0.24326	0.07558	0.0	0.0	0.0	0.66022
k__Bacteria|p__Bacteroidota|c__Bacteroidia	30.64886	37.56628	33.01465	5.6498	28.16903	16.86425	10.5932	47.24973	1.73262	20.33189	9.97778	32.45489	18.02108	30.58312	26.18446	31.47421	23.30333	38.313	47.56213	2.16353	36.67782	22.39197	42.01904	100.0	40.55846	0.03203	23.23163	48.79556	0.10127	4.05466	43.61579	0.48962	0.0	12.54157	40.37761	2.10088	17.19151	0.06881	50.68745	32.84903	3.48871	26.68764	8.65472	42.99883	35.80293	23.17736	22.4743	19.90716	66.28625	34.06221	26.6625	43.07122	30.66057	26.49301	38.79605	23.63361	13.54315	24.58073	7.25221	34.63673	25.76261	29.19311	15.8627	31.35532	18.06806	20.4302	29.68811	27.72503	4.92293	14.3989	19.74138	1.71897	9.93799	7.36366	39.44208	0.0098	18.91036	10.86028	31.99544	37.60087	35.09521	9.41245	14.4509	40.93541	31.24027	2.8554	41.63589	27.37701	50.00184	27.1898	5.09303	14.76398	17.69517	18.25777	19.28014	1.84681	6.02759	50.71986	39.24378	18.31432
k__Bacteria|p__Actinobacteria|c__Actinomycetia	29.44999	3.62034	1.40032	0.56017	16.25144	4.99058	0.77002	3.00444	4.47843	1.04889	0.36465	15.4212	0.0	20.01043	6.41865	29.93562	40.1636	1.39693	2.59289	64.02129	8.43637	4.62835	5.16586	0.0	10.88647	12.00136	0.08525	4.6324	1.11735	0.0	1.59975	1.01992	5.43608	0.06797	13.41029	3.38291	47.26684	6.06435	10.4719	1.29876	0.21885	4.95221	1.47652	15.48341	18.67779	9.99676	8.79046	5.80753	17.17543	18.35308	2.69714	27.09914	3.30413	13.61098	6.01016	0.57272	16.26966	1.47641	0.42296	9.63536	5.19491	0.26219	0.63663	11.03225	3.14056	0.94772	4.92391	0.06471	0.06277	16.79396	14.94761	0.0	1.89597	5.94505	9.40179	45.98252	4.11447	3.05918	5.60804	3.23416	6.94372	0.07203	6.31437	1.10435	2.57483	0.43814	0.9589	1.60696	9.06582	0.66501	1.3527	0.77302	5.38838	3.26852	23.31961	2.10012	1.41348	12.80897	2.37748	6.02391
k__Bacteria|p__Firmicutes|c__Tissierellia	16.70189	0.0	0.19751	0.0	8.76264	0.0	1.86539	0.0	0.0	0.0	0.0	10.06216	0.0	6.13022	9.87881	3.82904	17.03594	2.39455	1.78112	0.65997	29.8868	0.0	7.37841	0.0	12.13098	0.0	0.58324	0.0	0.07459	0.0	0.0	0.0	0.0	0.0	0.0	0.08615	4.21201	0.0	1.7166	0.0	0.0	0.40117	0.0	9.08113	4.6827	0.05242	2.15371	1.197	0.71763	13.53645	6.29429	12.68149	11.76307	12.3925	6.31012	0.15335	5.61586	0.13187	0.0	8.004	0.18772	0.0	0.04641	2.45044	0.0	1.57805	1.62583	0.5303	0.0	11.96056	8.12704	0.0	0.0	0.63481	4.39185	0.44652	0.0	0.01347	3.80229	5.31474	0.0	0.0	2.72436	2.07347	4.10144	0.0	3.33204	0.04836	20.20785	0.0903	2.45282	0.0	0.0	0.0	22.35197	0.0	0.0	10.26049	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB1192	4.51477	0.0	0.0	0.0	1.03922	0.0	0.43093	0.0	0.0	0.0	0.0	1.37363	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.89923	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5167	0.0	0.0	0.0	0.0	0.0	0.0	6.84667	1.06919	0.0	0.0	0.0261	0.0	0.0	0.0	0.0	0.0	1.42429	2.7121	0.0	0.0	0.0	0.0	8.88701	0.05049	0.0	0.0	2.65983	0.0	0.1501	0.0	0.0	0.0	0.0913	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34282	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.58463	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	1.56379	0.46981	0.78749	3.37517	2.31691	0.57005	1.2811	1.14053	0.82359	4.88255	0.39996	0.88542	1.38013	0.35709	1.31154	1.96171	0.09404	3.37941	0.0	0.31281	0.68655	0.0	2.96288	0.0	1.03634	0.14396	0.9478	0.61173	0.38377	4.11624	0.88486	1.59075	0.0	3.24958	0.0	0.0	1.03751	0.81176	0.93996	4.94369	0.0	0.74699	5.26132	1.34472	1.95623	2.17674	2.12629	3.60711	2.75046	0.36364	1.8252	0.0	1.195	1.47808	3.11814	2.36744	0.84939	2.18547	0.74505	0.92686	1.10168	2.7937	2.62551	0.37483	1.44395	1.36568	2.54039	1.71551	1.7408	1.73718	4.42691	14.942	2.07135	0.84781	1.01147	0.36489	1.00794	2.63522	1.92915	2.50545	1.00945	0.0	3.2088	0.83524	1.20125	0.76394	0.51594	1.50298	0.06344	0.19636	0.35229	2.04855	0.56146	0.5896	0.1719	1.24552	0.65935	0.04276	0.95494	1.19354
