#mpa_vJun23_CHOCOPhlAnSGB_202307
clade_name	UF-PF-2020-001-1N_metaphlan_rel_ab_unknown	UF-PF-2020-001-2G_metaphlan_rel_ab_unknown	UF-PF-2020-002-2G_metaphlan_rel_ab_unknown	UF-PF-2020-002-3N_metaphlan_rel_ab_unknown	UF-PF-2020-003-1N_metaphlan_rel_ab_unknown	UF-PF-2020-003-2G_metaphlan_rel_ab_unknown	UF-PF-2020-004-1N_metaphlan_rel_ab_unknown	UF-PF-2020-004-2G_metaphlan_rel_ab_unknown	UF-PF-2020-005-2G_metaphlan_rel_ab_unknown	UF-PF-2020-006-2G_metaphlan_rel_ab_unknown	UF-PF-2020-007-2G_metaphlan_rel_ab_unknown	UF-PF-2020-008-1N_metaphlan_rel_ab_unknown	UF-PF-2020-009-3N_metaphlan_rel_ab_unknown	UF-PF-2020-010-1N_metaphlan_rel_ab_unknown	UF-PF-2020-011-1N_metaphlan_rel_ab_unknown	UF-PF-2020-016-1N_metaphlan_rel_ab_unknown	UF-PF-2020-017-1N_metaphlan_rel_ab_unknown	UF-PF-2020-018-1N_metaphlan_rel_ab_unknown	UF-PF-2020-021-1N_metaphlan_rel_ab_unknown	UF-PF-2020-022-1N_metaphlan_rel_ab_unknown	UF-PF-2020-024-1N_metaphlan_rel_ab_unknown	UF-PF-2020-025-3N_metaphlan_rel_ab_unknown	UF-PF-2020-026-1N_metaphlan_rel_ab_unknown	UF-PF-2020-027-1N_metaphlan_rel_ab_unknown	UF-PF-2020-030-1N_metaphlan_rel_ab_unknown	UF-PF-2021-008-2G_metaphlan_rel_ab_unknown	UF-PF-2021-009-2G_metaphlan_rel_ab_unknown	UF-PF-2021-010-2G_metaphlan_rel_ab_unknown	UF-PF-2021-011-2G_metaphlan_rel_ab_unknown	UF-PF-2021-012-2G_metaphlan_rel_ab_unknown	UF-PF-2021-014-2G_metaphlan_rel_ab_unknown	UF-PF-2021-015-2G_metaphlan_rel_ab_unknown	UF-PF-2021-016-2G_metaphlan_rel_ab_unknown	UF-PF-2021-017-2G_metaphlan_rel_ab_unknown	UF-PF-2021-018-2G_metaphlan_rel_ab_unknown	UF-PF-2021-019-2G_metaphlan_rel_ab_unknown	UF-PF-2021-020-2G_metaphlan_rel_ab_unknown	UF-PF-2021-022-2G_metaphlan_rel_ab_unknown	UF-PF-2021-023-1N_metaphlan_rel_ab_unknown	UF-PF-2021-023-2G_metaphlan_rel_ab_unknown	UF-PF-2021-024-2G_metaphlan_rel_ab_unknown	UF-PF-2021-025-3G_metaphlan_rel_ab_unknown	UF-PF-2021-031-1N_metaphlan_rel_ab_unknown	UF-PF-2021-032-3N_metaphlan_rel_ab_unknown	UF-PF-2021-033-1N_metaphlan_rel_ab_unknown	UF-PF-2021-034-3N_metaphlan_rel_ab_unknown	UF-PF-2021-035-1N_metaphlan_rel_ab_unknown	UF-PF-2021-036-3N_metaphlan_rel_ab_unknown	UF-PF-2021-037-1N_metaphlan_rel_ab_unknown	UF-PF-2021-038-3N_metaphlan_rel_ab_unknown	UF-PF-2021-039-3N_metaphlan_rel_ab_unknown	UF-PF-2021-040-1N_metaphlan_rel_ab_unknown	UF-PF-2021-041-1N_metaphlan_rel_ab_unknown	UF-PF-2021-042-3N_metaphlan_rel_ab_unknown	UF-PF-2021-044-1N_metaphlan_rel_ab_unknown	UF-PF-2021-045-1N_metaphlan_rel_ab_unknown	UF-PF-2021-046-3N_metaphlan_rel_ab_unknown	UF-PF-2021-047-1N_metaphlan_rel_ab_unknown	UF-PF-2021-048-1N_metaphlan_rel_ab_unknown	UF-PF-2021-049-1N_metaphlan_rel_ab_unknown	UF-PF-2021-050-1N_metaphlan_rel_ab_unknown	UF-PF-2021-051-1N_metaphlan_rel_ab_unknown	UF-PF-2021-054-1N_metaphlan_rel_ab_unknown	UF-PF-2021-055-1N_metaphlan_rel_ab_unknown	UF-PF-2021-056-3N_metaphlan_rel_ab_unknown	UF-PF-2021-057-1N_metaphlan_rel_ab_unknown	UF-PF-2021-058-1N_metaphlan_rel_ab_unknown	UF-PF-2021-060-3N_metaphlan_rel_ab_unknown	UF-PF-2021-062-1N_metaphlan_rel_ab_unknown	UF-PF-2021-063-1N_metaphlan_rel_ab_unknown	UF-PF-2021-064-1N_metaphlan_rel_ab_unknown	UF-PF-2022-029-2G_metaphlan_rel_ab_unknown	UF-PF-2022-030-2G_metaphlan_rel_ab_unknown	UF-PF-2022-031-2G_metaphlan_rel_ab_unknown	UF-PF-2022-068-1N_metaphlan_rel_ab_unknown	UF-PF-2022-069-1N_metaphlan_rel_ab_unknown	UF-PF-2022-070-3N_metaphlan_rel_ab_unknown	UF-PF-2022-071-1N_metaphlan_rel_ab_unknown	UF-PF-2022-072-1N_metaphlan_rel_ab_unknown	UF-PF-2022-074-1N_metaphlan_rel_ab_unknown	UF-PF-2022-075-1N_metaphlan_rel_ab_unknown	UF-PF-2022-076-1N_metaphlan_rel_ab_unknown	UF-PF-2022-079-1N_metaphlan_rel_ab_unknown	UF-PF-2022-084-1N2_metaphlan_rel_ab_unknown	UF-PF-2022-084-1N_metaphlan_rel_ab_unknown	UF-PF-2022-085-3N2_metaphlan_rel_ab_unknown	UF-PF-2022-085-3N_metaphlan_rel_ab_unknown	UF-PF-2022-087-1N_metaphlan_rel_ab_unknown	UF-PF-2022-088-1N_metaphlan_rel_ab_unknown	UF-PF-2022-091-1N_metaphlan_rel_ab_unknown	UF-PF-2022-092-1N_metaphlan_rel_ab_unknown	UF-PF-2022-096-1N_metaphlan_rel_ab_unknown	UF-PF-2022-100-1N_metaphlan_rel_ab_unknown	UF-PF-2022-102-1N_metaphlan_rel_ab_unknown	UF-PF-2022-103-1N_metaphlan_rel_ab_unknown	UF-PF-2022-105-1N_metaphlan_rel_ab_unknown	UF-PF-2023-032-2G_metaphlan_rel_ab_unknown	UF-PF-2023-119-1N_metaphlan_rel_ab_unknown	UF-PF-2023-123-1N_metaphlan_rel_ab_unknown	UF-PF-2023-124-3N_metaphlan_rel_ab_unknown
UNCLASSIFIED	2.68806	3.48729	0.0	0.0	9.69118	3.18453	0.0	0.0	12.31438	3.10332	20.13262	6.83256	0.41499	0.0	0.0	0.0	29.52877	0.0	0.0	1.87973	9.04779	2.08038	0.0	16.7717	2.29098	29.01984	5.38896	0.0	17.67467	24.63714	0.0	33.2495	0.0	5.16232	3.73206	30.08351	0.0	34.7927	0.0	3.92353	35.75622	0.0	3.26621	9.13655	0.0	4.50617	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.96307	0.15138	0.0	6.0635	4.12013	11.17978	0.0	0.0	0.0	11.62846	3.05394	0.0	0.0	0.0	0.0	9.63079	0.0	1.87805	5.9097	0.0	0.0	11.84818	5.81382	9.97476	0.0	10.35923	13.93058	20.22341	0.0	7.76773	3.71606	6.28877	9.46752	0.0	8.83396	1.59563	0.0	5.28499	40.62946	12.75467	18.91877	13.29694	26.37215	3.85489	6.0089	12.0902
k__Bacteria	97.31194373519286	96.51271333805622	100.0	99.92551	90.30882040175412	96.81546723919315	99.74241	100.0	87.68562035493343	96.89668049324848	79.86738333980695	93.16744380739974	99.51360237433724	100.0	100.0	100.0	70.47122842990208	100.0	99.98058	98.1202700843322	90.95221167511504	97.91961839427192	100.0	83.2283020454074	97.6963404226466	70.98015558097318	94.61104413071384	100.0	82.32533280492154	75.36285670480855	100.0	66.7504991489881	100.0	94.83767728994872	96.26794120637894	69.91648996508756	100.0	65.2072960844434	99.74738	96.07647240121668	64.24378107635825	99.82775	96.17285155209086	90.86345175019603	100.0	95.39122202852413	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	94.02935142302128	99.8486191528001	99.75628	93.93650494725958	95.87987351893022	88.82021744243215	100.0	100.0	99.98661	88.21360462202578	96.92758674882371	100.0	100.0	100.0	100.0	90.36920967080898	100.0	98.12195137613256	94.09029669135128	99.70822	100.0	86.70368484046085	94.1833887843415	88.10569991460493	100.0	89.6407653573406	85.88297017174392	79.77658954725459	100.0	91.79050009423918	96.08307574515126	93.24817821643636	89.41440923948898	100.0	91.16603978369012	97.20143532425236	100.0	94.71501258883735	58.795262130119326	87.24532867749815	80.84149467440166	86.70305732587477	73.62784818123373	96.14510750856276	93.99110186785282	87.90979957646292
k__Bacteria|p__Firmicutes	36.31936697489984	50.07796657438458	64.10358	87.67829	35.00853030961139	71.42883491077382	67.70517	12.74961	36.86029900585894	51.11015988745012	41.03502295246775	39.4046952043763	74.85240914613337	45.63727	64.29963	34.51262	25.548068338026415	50.51148	41.6138	31.19539709196575	47.34992149293058	71.46142416136077	46.03979	0.0	40.77565591556355	13.81370360617328	12.512301125182493	44.66153	0.6869143443909849	7.405583868097707	45.54533	6.6786410917530254	40.4973	41.68783574141368	38.010818977691486	15.790709175104992	32.93574	34.5492120525748	30.8748	46.43901449454837	0.6711804784171451	63.52237	69.97157549020447	34.79141577555622	43.31232	55.68132553269736	56.6131	66.84411	12.22665	43.03688	62.64124	29.45439	63.17693	52.08137	36.1915609869772	67.14271469106659	67.01182	59.44967103517613	63.10657949620887	35.1824342187739	54.06308	66.02464	75.13814	44.80725282913398	71.8370145303305	72.36958	59.28688	66.63927	86.64814	56.614755508355486	36.95735	74.26831856488712	35.639381445305006	77.868	37.22884	17.54418607131589	33.10210854422487	63.45312627023969	52.24593	10.639561045104648	35.32475864358603	31.124772590589732	71.07674	46.86505396431308	51.02312423140723	17.997907750097497	45.68032462727942	68.05348	36.46263252282503	67.15114188411802	80.59812	74.49603783597685	10.120997718863537	26.83705570517748	35.084544455058065	59.64041470213801	11.793325856859475	32.50718003222563	53.23689846591856	57.12882499630134
k__Bacteria|p__Bacteroidota	30.506262854379365	36.25623612817154	33.01465	5.6498	28.135541409407733	16.32720243388563	10.5932	47.24973	1.5192585953936475	19.70092649153874	7.96899180140259	37.82123064617012	17.94629518303697	30.66165	26.18446	31.52056	16.422142916073902	39.22668	47.56213	2.1228614793555525	34.9481508604126	21.926131574959847	42.01904	83.2283020454074	39.62927503168207	0.0227349438325857	21.979687711584155	48.79556	0.083370864531544	3.0557076056671906	43.61579	0.3268237939332755	0.0	11.894133683693022	38.87069385534098	1.4688615543785315	18.73145	0.0448691404357055	50.73104	31.560189242017387	2.2412792147890177	26.74065	8.743119293849267	39.070221150198826	35.80293	22.132948791426728	22.4743	20.51161	66.28625	34.35168	26.6625	43.17744	31.01038	30.73297	47.44938023151816	23.59783324095808	14.2625	23.539201209665475	24.203292051940878	37.754436783341376	25.76261	29.19311	15.89955	29.28983744933229	17.516273131988477	22.01998	29.78947	28.0431	5.02473	14.503688826143916	19.74138	1.8669565566385369	9.35068427615682	7.36366	39.44208	0.0086388780106608	17.810945083293067	12.08572588780073	34.4411	33.70570764901868	30.206993327496736	7.508931602840564	16.46873	38.17685673981995	30.079363855966083	2.675830562349863	38.01059430279404	27.37701	45.58469734697708	26.755951313024507	5.09303	13.983705515613432	10.505718849809233	15.929051445681656	15.632574183405255	1.6012407329999878	4.437984814187226	48.76466392519252	36.88566123659605	16.100082005792064
k__Bacteria|p__Actinobacteria	30.376526570991608	3.947514744596506	2.1878	4.36953	16.76885785306911	5.448793859315239	2.05112	4.14497	4.649109128342642	5.747358775780689	0.6106819864928319	15.192461025386203	1.6550332362735545	20.36752	7.73019	31.89733	28.37005344488764	4.77634	2.59289	63.12479267632437	8.297497509351405	4.532062657951284	8.12874	0.0	11.649661171565423	8.620759933791494	0.9773888524967524	5.24413	1.2357938032679578	3.102116052826012	2.48461	1.7426352561328875	5.43608	3.146296846700423	12.909810092804914	2.365211930677944	48.30435	4.483725406792021	11.41185	5.997516143762511	0.14059751488561	5.70135	6.664223054918123	15.290610696665093	20.63402	11.62494141319086	10.91675	9.45252	19.92589	18.71671	4.52234	27.09914	4.49913	15.08906	8.603062651136208	2.935719145744883	17.11905	3.4398326937122143	1.119886510688457	9.381386770748058	6.29659	3.05589	3.30589	10.092206867157572	4.444492334738825	2.45127	7.46429	1.78022	1.80357	16.746444760991153	19.37452	14.661381974621728	3.732863158695318	6.79286	10.41325	40.85608378572296	4.846594605909466	8.000992849649306	7.53719	5.145030332526456	7.1216077866808245	0.0574630774508874	9.52316	1.7889279679587828	3.635758726452633	1.1264839960739383	1.3352001197456016	3.10994	8.322784803556509	0.847625719295468	1.70499	2.6724503807028586	3.5324524286202936	3.6364812691396686	19.13349131799896	2.9007721671173963	1.526180125455067	12.356319239720966	3.15846758805714	6.344845829531423
k__Bacteria|p__Bacillota	0.1097873349220445	0.014197020132028	0.34983	1.50017	0.0404222280118251	3.3927334631032173	3.47243	0.0	0.0	2.078656658945315	0.2259927478983177	0.125440646342283	3.3609245395995666	0.0	0.51732	0.0	0.0	0.5145	0.0	0.0	0.0	0.0	2.84968	0.0	0.0	0.0	0.4156925445971173	0.0	0.0	0.0	7.24481	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3389866175732128	0.0	0.93287	2.32841138062828	0.0	0.0	3.5297097956491537	4.08215	1.07721	1.21299	0.61384	0.09167	0.0	0.0	0.0	0.2722839331303684	0.7643112250289389	0.142	2.520635811851795	0.870627603501294	0.0295327222996086	0.0	1.05785	2.45814	0.0	1.8311851317086103	0.22347	0.17682	0.7232	5.83925	0.099867013607211	0.0	0.0	0.0	6.01359	0.0	0.2912536015022817	0.0	1.066709021383906	0.0	0.0	0.2292372995173672	0.0	1.03688	0.0707052614334577	0.0131042446841752	0.2760545517465233	0.0193377369308774	1.33234	0.0	0.0600857081395698	9.15972	0.3356226471085452	0.258707149397512	1.1918235369318313	0.1972381941134848	0.0655301707268961	0.0	0.0	0.0	0.5803980787637235
k__Bacteria|p__Bacteroidota|c__Bacteroidia	29.825001398678022	36.25623612817154	33.01465	5.6498	25.43911871161624	16.32720243388563	10.5932	47.24973	1.5192585953936475	19.70092649153874	7.96899180140259	30.237391403503395	17.94629518303697	30.58312	26.18446	31.47421	16.422142916073902	38.313	47.56213	2.1228614793555525	33.35928848421768	21.926131574959847	42.01904	83.2283020454074	39.62927503168207	0.0227349438325857	21.979687711584155	48.79556	0.083370864531544	3.0557076056671906	43.61579	0.3268237939332755	0.0	11.894133683693022	38.87069385534098	1.4688615543785315	17.19151	0.0448691404357055	50.68745	31.560189242017387	2.2412792147890177	26.68764	8.372038796421808	39.070221150198826	35.80293	22.132948791426728	22.4743	19.90716	66.28625	34.06221	26.6625	43.07122	30.66057	26.49301	36.48261469149519	23.59783324095808	13.54315	23.09027865252252	6.953409775327209	30.764418900948133	25.76261	29.19311	15.8627	27.70917985901501	17.516273131988477	20.4302	29.68811	27.72503	4.92293	13.012172131290114	19.74138	1.686686907570306	9.35068427615682	7.36366	39.44208	0.0086388780106608	17.810945083293067	9.776992700443246	31.99544	33.70570764901868	30.206244523522194	7.508931602840564	14.4509	37.75565961304174	30.079363855966083	2.675830562349863	37.69400223328431	27.37701	45.58469734697708	26.755951313024507	5.09303	13.983705515613432	10.505718849809233	15.929051445681656	15.632574183405255	1.6012407329999878	4.437984814187226	48.76466392519252	36.88566123659605	16.100082005792064
k__Bacteria|p__Actinobacteria|c__Actinomycetia	28.65835769881992	3.4940883660629845	1.40032	0.56017	14.676483762298828	4.8316533449457255	0.77002	3.00444	3.926939127661446	1.0163395920256342	0.291236413348606	14.367537844426728	0.0	20.01043	6.41865	29.93562	28.30378230167216	1.39693	2.59289	62.81786265947356	7.673065100095903	4.532062657951284	5.16586	0.0	10.637063482049266	8.518583999832682	0.0806559151214335	4.6324	0.919862106095791	0.0	1.59975	0.6808016909203594	5.43608	0.0644611692539781	12.909810092804914	2.365211930677944	47.26684	3.954398660096944	10.4719	1.2478027929580418	0.14059751488561	4.95221	1.42829377769503	14.068760774635033	18.67779	9.546289014805096	8.79046	5.80753	17.17543	18.35308	2.69714	27.09914	3.30413	13.61098	5.651770000147868	0.5718530116119167	16.26966	1.3868879526918352	0.4055335130356672	8.558147703361131	5.19491	0.26219	0.63663	9.749369469028489	3.0446493285608818	0.94772	4.92391	0.06471	0.06277	15.176568924431791	14.94761	0.0	1.7839237981790128	5.94505	9.40179	40.53442662273213	3.8752619842698297	2.754034014716193	5.60804	2.899125776880967	5.976419694393381	0.0574630774508874	6.31437	1.018567120584908	2.47914785746913	0.4105863986089406	0.8681159149353195	1.60696	8.264949067917737	0.6543988989501367	1.3527	0.7321659903142307	3.199110567230214	2.8516310168897627	18.90782604551	1.8208682475121607	1.0407149084721026	12.315197977239556	2.234619648687827	5.295607207666508
k__Bacteria|p__Firmicutes|c__Tissierellia	16.2529337995138	0.0	0.19751	0.0	7.913436820052267	0.0	1.86539	0.0	0.0	0.0	0.0	9.374657263810652	0.0	6.13022	9.87881	3.82904	12.005436192581062	2.39455	1.78112	0.6475643464755672	27.18270559891829	0.0	7.37841	0.0	11.853062044856598	0.0	0.5518094537879754	0.0	0.0614064657391909	0.0	0.0	0.0	0.0	0.0	0.0	0.0602330561049229	4.21201	0.0	1.7166	0.0	0.0	0.40117	0.0	8.251428175922578	4.6827	0.0500578657641158	2.15371	1.197	0.71763	13.53645	6.29429	12.68149	11.76307	12.3925	5.93384317777448	0.1531178574708189	5.61586	0.1238740690739512	0.0	7.10917020409227	0.18772	0.0	0.04641	2.165491619722737	0.0	1.57805	1.62583	0.5303	0.0	10.80866354420291	8.12704	0.0	0.0	0.63481	4.39185	0.3936154907469698	0.0	0.0121263992894262	3.80229	4.764173612752724	0.0	0.0	2.72436	1.91240853671317	3.949028164398501	0.0	3.016578322245367	0.04836	18.422696570428425	0.0888591458402089	2.45282	0.0	0.0	0.0	18.12325165534321	0.0	0.0	9.864959141405334	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB1192	4.393410442173367	0.0	0.0	0.0	0.9385073233791092	0.0	0.43093	0.0	0.0	0.0	0.0	1.2797759583715849	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.832809309083817	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5167	0.0	0.0	0.0	0.0	0.0	0.0	6.221120691945148	1.06919	0.0	0.0	0.0261	0.0	0.0	0.0	0.0	0.0	1.42429	2.5503756002171376	0.0	0.0	0.0	0.0	7.89346160613069	0.05049	0.0	0.0	2.3505327920239334	0.0	0.1501	0.0	0.0	0.0	0.0825070884294486	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34282	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4740251805663348	0.0	0.0	0.0	0.0	0.0
